URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/600600-99999_fig2.png,600600,99999,3,HpVt,100982,19.4,55.5,34,[,210,48,113,],9,14,20,26,40,[,1,0,],32,346,[,0,122,1,166,50,5,2,],18,44,29.369,-10.18,59,1988,2020,MO,,SIDI IFNI,,600600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601010-99999_fig2.png,601010,99999,3,HpAc,101070,19.4,55.5,34,[,780,100,180,],7,19,26,34,43,[,5,0,],34,364,[,0,193,0,106,51,3,11,],47,50,35.727,-5.917,19,1987,2020,MO,,IBN BATOUTA,,601010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601050-99999_fig2.png,601050,99999,3,HpAc,100844,19.4,55.6,34,[,636,138,383,],3,14,23,30,47,[,9,1,],32,348,[,0,167,0,94,69,5,13,],48,75,35.15,-6.1,49,1987,2020,MO,,LARACHE,,601050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601060-99999_fig2.png,601060,99999,3,HpAc,98348,19.4,56.5,25,[,827,296,327,],2,14,28,37,48,[,22,2,],10,340,[,0,170,0,75,51,11,32,],93,58,35.167,-5.3,305,1995,2020,MO,,CHEFCHAOUEN,,601060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601070-99999_fig2.png,601070,99999,3,HpVt,101648,19.4,55.3,34,[,710,79,531,],3,12,19,26,41,[,4,0,],34,359,[,0,183,0,87,80,2,7,],52,78,35.177,-3.84,27,1987,2020,MO,,CHERIF EL IDRISSI,,601070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601150-99999_fig2.png,601150,99999,3,HpEv,95800,19.4,57.5,34,[,1171,185,142,],6,14,27,38,48,[,17,1,],34,360,[,1,202,0,82,50,16,9,],69,33,34.787,-1.924,468,1987,2020,MO,,ANGADS,,601150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601200-99999_fig2.png,601200,99999,3,Hp__,101575,19.4,55.3,4,[,51,2,14,],0,0,1,1,2,[,0,0,],29,22,[,0,12,0,6,4,0,0,],2,4,34.3,-6.6,6,2019,2020,MO,,KENITRA (RMAFB),,601200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601270-99999_fig2.png,601270,99999,3,HpAc,95847,19.4,57.5,32,[,984,437,181,],14,23,35,43,50,[,30,3,],30,350,[,1,178,0,71,39,28,32,],101,42,34.217,-4,510,1987,2020,MO,,TAZA,,601270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601350-99999_fig2.png,601350,99999,3,HpVt,100381,19.4,55.7,32,[,780,33,265,],1,12,19,27,40,[,5,1,],34,343,[,0,187,0,94,58,1,3,],19,58,34.051,-6.752,84,1987,2020,MO,,SALE,,601350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601410-99999_fig2.png,601410,99999,3,HpEv,94563,19.4,58,34,[,1214,267,31,],13,22,35,43,49,[,15,0,],34,362,[,1,204,0,83,36,30,8,],74,11,33.927,-4.978,579,1987,2020,MO,,SAISS,,601410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601500-99999_fig2.png,601500,99999,3,HpAc,95233,19.4,57.7,34,[,1126,230,74,],10,22,33,41,48,[,15,1,],33,361,[,1,201,0,92,36,20,11,],67,20,33.879,-5.515,576,1988,2020,MO,,BASSATINE,,601500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601550-99999_fig2.png,601550,99999,3,HpVt,101140,19.4,55.5,34,[,591,34,465,],4,13,19,25,38,[,3,0,],33,358,[,0,172,0,94,89,0,2,],26,89,33.557,-7.66,62,1987,2020,MO,,ANFA,,601550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601560-99999_fig2.png,601560,99999,3,HpVt,98870,19.4,56.3,34,[,867,79,206,],3,14,25,35,47,[,13,1,],34,363,[,0,192,0,108,54,2,7,],39,55,33.367,-7.59,200,1987,2020,MO,,MOHAMMED V,,601560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601850-99999_fig2.png,601850,99999,3,HpEv,101325,19.4,55.4,34,[,512,101,234,],7,16,24,32,45,[,8,1,],29,352,[,0,156,0,119,66,2,9,],47,64,32.283,-9.233,45,1987,2020,MO,,SAFI,,601850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601900-99999_fig2.png,601900,99999,2,HpAc,95255,19.4,57.7,28,[,669,605,55,],18,28,40,46,53,[,28,0,],18,340,[,0,142,0,80,40,55,22,],118,24,32.533,-6.283,518,1988,2014,MO,,KASBA-TADLA,,601900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601910-99999_fig2.png,601910,99999,3,HpAc,95780,19.4,57.5,34,[,876,481,66,],15,25,37,45,52,[,30,2,],31,350,[,0,165,1,77,42,43,22,],108,27,32.367,-6.4,472,1987,2020,MO,,BENI-MELLAL,,601910-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/601950-99999_fig2.png,601950,99999,3,GsEv,85313,19.4,62.3,34,[,1761,150,0,],1,NaN,32,43,43,[,0,0,],30,354,[,15,209,4,67,37,22,0,],59,0,32.683,-4.733,1515,1987,2020,MO,,MIDELT,,601950-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/602001-99999_fig2.png,602001,99999,3,HpEv,99193,19.4,56.2,1,[,192,79,114,],1,3,6,7,11,[,2,0,],4,90,[,0,44,0,21,14,8,4,],25,12,34.983,-3.017,179,2008,2008,MO,,ARWI,,602001-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/602100-99999_fig2.png,602100,99999,2,HpEv,90123,19.4,60,34,[,934,837,23,],14,28,40,46,50,[,6,0,],34,353,[,1,152,8,57,30,99,7,],136,7,31.948,-4.398,1045,1987,2020,MO,,MOULAY ALI CHERIF,,602100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/602200-99999_fig2.png,602200,99999,3,HpVt,101634,19.4,55.3,33,[,389,37,68,],6,13,21,27,36,[,3,0,],25,338,[,0,163,0,143,28,1,3,],15,27,31.399,-9.683,128,1987,2020,MO,,ESSAOUIRA,,602200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/602300-99999_fig2.png,602300,99999,2,HpAc,95852,19.4,57.5,34,[,663,460,97,],14,24,36,45,52,[,34,3,],34,364,[,0,155,1,95,51,39,23,],114,30,31.607,-8.036,468,1987,2020,MO,,MENARA,,602300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/602500-99999_fig2.png,602500,99999,3,HpVt,101404,19.4,55.4,7,[,88,12,33,],2,3,5,7,10,[,1,0,],32,78,[,0,31,0,34,12,1,1,],4,12,30.381,-9.546,27,1987,2020,MO,,INEZGANE,,602500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/602520-99999_fig2.png,602520,99999,3,HpEv,101049,19.4,55.5,28,[,467,100,82,],8,16,27,37,50,[,11,2,],28,362,[,0,149,1,159,42,6,6,],32,37,30.325,-9.413,76,1993,2020,MO,,AL MASSIRA,,602520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/602530-99999_fig2.png,602530,99999,3,____,98683,19.4,56.4,2,[,22,24,20,],1,2,2,3,3,[,3,1,],16,22,[,0,7,0,8,4,1,2,],7,5,30.5,-8.817,266,2020,2020,MO,,TAROUDANT,,602530-99999_fig2.png
