URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/614010-99999_fig2.png,614010,99999,2,HpAc,97029,19.4,57,28,[,124,1012,913,],13,28,37,44,50,[,81,42,],1,325,[,0,59,0,100,46,25,95,],165,104,25.237,-11.589,364,1988,1988,MR,,BIR MOGHREIN,,614010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/614040-99999_fig2.png,614040,99999,1,HpAc,97569,19.4,56.8,33,[,71,1434,357,],14,32,41,46,55,[,69,10,],6,325,[,0,38,15,71,44,97,61,],203,64,22.75,-12.483,343,1994,2015,MR,,ZOUERATE,,614040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/614150-99999_fig2.png,614150,99999,2,HpAc,101290,19.4,55.4,32,[,22,111,533,],4,14,21,31,44,[,19,0,],31,353,[,0,28,0,201,111,2,11,],63,109,20.933,-17.03,5,1987,2020,MR,,NOUADHIBOU,,614150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/614210-99999_fig2.png,614210,99999,1,HuAc,98740,19.4,56.4,32,[,9,1652,677,],14,27,33,38,47,[,90,22,],7,274,[,0,8,4,46,39,101,75,],215,75,20.507,-13.043,231,1987,2009,MR,,ATAR,,614210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/614370-99999_fig2.png,614370,99999,2,__Ac,100031,19.4,55.9,29,[,2,1259,1029,],6,15,22,25,33,[,85,35,],5,186,[,0,2,0,30,27,41,85,],155,88,19.75,-14.367,120,2009,2015,MR,,AKJOUJT,,614370-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/614420-99999_fig2.png,614420,99999,1,HuAc,101151,19.4,55.5,34,[,3,877,2064,],2,15,22,31,51,[,126,25,],32,356,[,0,4,6,99,104,37,106,],236,157,18.098,-15.948,2,1987,2020,MR,,NOUAKCHOTT,,614420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/614500-99999_fig2.png,614500,99999,0,HpAc,96663,19.4,57.2,30,[,17,2004,1049,],5,26,35,41,54,[,110,14,],5,324,[,0,10,8,39,38,124,105,],267,107,18.57,-11.424,401,1988,2010,MR,,TIDJIKJA,,614500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/614610-99999_fig2.png,614610,99999,0,__Ac,100427,19.4,55.7,29,[,1,1866,1385,],4,20,30,38,55,[,125,22,],4,314,[,0,1,1,34,48,110,119,],279,123,17.533,-14.683,75,1988,1998,MR,,BOUTILIMIT,,614610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/614890-99999_fig2.png,614890,99999,0,__Ac,101158,19.4,55.5,29,[,1,1849,1659,],9,22,32,38,54,[,145,31,],4,316,[,0,0,1,20,50,99,146,],295,154,16.5,-15.817,6,1988,2014,MR,,ROSSO,,614890-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/614920-99999_fig2.png,614920,99999,2,__Ac,101178,19.4,55.4,30,[,0,1624,1549,],2,13,20,24,38,[,104,41,],3,210,[,0,0,1,6,18,84,102,],204,104,16.16,-13.508,23,2009,2016,MR,,KAEDI,,614920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/614970-99999_fig2.png,614970,99999,2,__Ac,98512,19.4,56.4,27,[,1,1560,945,],4,17,23,27,36,[,80,16,],6,205,[,0,1,5,12,24,87,76,],187,79,16.622,-7.317,231,1993,2011,MR,,NEMA,,614970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/614980-99999_fig2.png,614980,99999,0,__Ac,99672,19.4,56,29,[,1,2473,1717,],4,23,33,39,56,[,150,39,],11,322,[,0,1,3,24,40,122,132,],294,134,16.59,-11.406,129,1987,2016,MR,,KIFFA,,614980-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/614990-99999_fig2.png,614990,99999,2,__Ac,98552,19.4,56.4,27,[,2,1561,918,],4,14,20,23,33,[,71,19,],5,214,[,0,2,8,17,22,90,75,],188,77,16.711,-9.638,290,1988,2009,MR,,AIOUN EL ATROUSS,,614990-99999_fig2.png
