URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/412400-99999_fig2.png,412400,99999,0,__Ac,100690,19.4,55.6,33,[,4,1922,4452,],7,21,25,30,53,[,162,105,],30,345,[,0,4,0,80,52,21,188,],255,214,26.217,56.25,4,1987,2018,MU,,KHASAB PORT,,412400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412420-99999_fig2.png,412420,99999,0,__Ac,100847,19.4,55.6,19,[,12,1675,4894,],5,16,22,29,53,[,172,120,],15,347,[,0,9,0,88,53,14,183,],239,219,25.617,56.25,10,2002,2020,MU,,DIBA,,412420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412440-99999_fig2.png,412440,99999,0,HpAc,96692,19.4,57.2,32,[,56,1998,1060,],14,30,38,44,53,[,127,55,],23,336,[,0,31,0,75,31,91,107,],229,109,24.233,55.783,299,1988,2020,MU,,BURAIMI (AUT),,412440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412460-99999_fig2.png,412460,99999,0,__Ac,101280,19.4,55.4,34,[,7,1549,5535,],2,13,21,26,50,[,175,113,],34,359,[,0,8,0,87,68,7,189,],244,245,24.467,56.65,2,1987,2020,MU,,SOHAR MAJIS,,412460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412490-99999_fig2.png,412490,99999,0,HpAc,93894,19.4,58.3,7,[,43,1931,344,],25,36,42,47,55,[,69,8,],3,346,[,0,29,6,76,39,143,53,],236,53,23.933,56.2,633,2016,2018,MU,,QUMAIRA,,412490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412500-99999_fig2.png,412500,99999,0,HpAc,97912,19.4,56.7,7,[,29,2255,895,],18,35,43,49,56,[,145,69,],5,337,[,0,20,1,73,35,94,113,],244,114,23.717,55.9,257,2014,2018,MU,,SUNAYNAH,,412500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412520-99999_fig2.png,412520,99999,0,HpAc,97310,19.4,56.9,18,[,21,2117,776,],17,31,39,45,53,[,121,48,],16,321,[,0,14,1,69,35,105,96,],236,97,23.233,56.433,327,2005,2020,MU,,IBRI,,412520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412530-99999_fig2.png,412530,99999,0,HpAc,97284,19.4,56.9,19,[,16,2028,2091,],10,24,33,40,56,[,156,88,],16,345,[,0,12,0,86,41,65,142,],245,157,23.417,57.433,322,2003,2020,MU,,RUSTAQ,,412530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412540-99999_fig2.png,412540,99999,3,HpEv,80459,19.4,65,32,[,674,247,3,],2,6,15,21,23,[,0,0,],31,329,[,0,142,34,60,60,34,0,],99,1,23.067,57.633,1755,1987,2018,MU,,SAIQ,,412540-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/412550-99999_fig2.png,412550,99999,0,HpAc,95714,19.4,57.5,19,[,15,1998,792,],18,29,39,46,56,[,128,38,],15,351,[,0,11,1,86,41,101,111,],254,113,22.867,57.55,462,2005,2020,MU,,NIZWA,,412550-99999_fig2.png
