URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/760011-99999_fig2.png,760011,99999,3,HpVt,99512,19.4,56.1,4,[,661,26,39,],10,19,27,33,40,[,2,0,],3,356,[,0,184,0,149,19,2,2,],15,16,32.533,-116.983,152,1987,1989,MX,,TIJUANA,,760011-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/760013-99999_fig2.png,760013,99999,3,HpVt,99550,19.4,56,30,[,781,27,47,],12,17,25,34,40,[,1,0,],30,362,[,0,214,3,122,21,1,1,],16,16,32.541,-116.97,149,1991,2020,MX,,GENERAL ABELARDO L RODRIGUEZ,,760013-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/760051-99999_fig2.png,760051,99999,1,HpAc,101061,19.4,55.5,4,[,359,1467,1278,],10,22,35,42,52,[,115,50,],3,354,[,0,92,0,69,33,48,111,],193,115,32.633,-115.217,22,1987,1989,MX,,MEXICALI,,760051-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/760053-99999_fig2.png,760053,99999,1,HpAc,101054,19.4,55.5,30,[,370,1393,1415,],11,23,35,42,52,[,107,56,],30,360,[,0,102,4,69,34,46,105,],187,107,32.631,-115.242,23,1991,2020,MX,,GENERAL RODOLFO SANCHEZ TABOA,,760053-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/760400-99999_fig2.png,760400,99999,2,HpAc,101114,19.4,55.5,18,[,268,879,1608,],2,12,22,29,37,[,96,69,],15,245,[,0,67,1,50,27,13,86,],125,94,32.4,-115.183,11,2007,2018,MX,,EJIDO NUEVO LEON BC.,,760400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/760550-99999_fig2.png,760550,99999,2,HpAc,100953,19.4,55.5,33,[,200,766,2105,],0,10,20,26,37,[,87,60,],5,258,[,0,62,0,63,37,4,91,],132,106,31.033,-114.85,15,1993,2007,MX,,SAN FELIPE  BCN,,760550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/760753-99999_fig2.png,760753,99999,2,HpAc,87824,19.4,61.1,29,[,897,833,88,],16,23,37,43,50,[,6,0,],29,361,[,3,137,8,55,44,83,31,],158,37,31.636,-106.429,1190,1992,2020,MX,,ABRAHAM GONZALEZ INTL,,760753-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/760754-99999_fig2.png,760754,99999,3,__Ac,94527,19.4,58,13,[,1,343,1736,],1,5,10,14,19,[,58,9,],17,168,[,0,1,0,23,83,1,60,],126,139,16.74,-93.173,582,2005,2015,MX,,GENERAL DIV P A ANGEL H CORZO,,760754-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/761130-99999_fig2.png,761130,99999,3,HpAc,96579,19.4,57.2,29,[,131,490,490,],1,9,14,18,23,[,42,18,],7,134,[,0,35,1,25,14,20,39,],73,41,30.717,-111.833,398,2017,2019,MX,,ALTAR  SON.,,761130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/761220-99999_fig2.png,761220,99999,3,HpEv,84675,19.4,62.6,34,[,1113,217,95,],2,15,29,39,45,[,12,0,],19,337,[,7,155,11,81,51,24,8,],78,26,30.367,-107.95,1487,1992,2020,MX,,NUEVA CASAS GRANDES   CHIH.,,761220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/761600-99999_fig2.png,761600,99999,1,HpAc,98801,19.4,56.3,33,[,159,1439,1723,],7,21,32,39,53,[,121,64,],28,362,[,0,62,3,82,44,56,115,],216,119,29.096,-111.048,191,1992,2020,MX,,GENERAL IGNACIO P GARCIA INTL,,761600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/761610-99999_fig2.png,761610,99999,1,HpAc,98816,19.4,56.3,2,[,202,1494,1058,],12,24,34,41,53,[,106,18,],1,350,[,0,63,0,74,34,73,106,],215,107,29.083,-110.95,211,1987,1987,MX,,HERMOSILLO INTL   &,,761610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/761613-99999_fig2.png,761613,99999,1,HpAc,99099,19.4,56.2,3,[,193,1390,1744,],5,20,30,37,52,[,113,43,],2,358,[,0,60,0,79,40,65,113,],217,118,29.1,-111.05,187,1989,1990,MX,,HERMOSILLO INTL,,761613-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/762200-99999_fig2.png,762200,99999,3,Gs__,81579,19.4,64.3,32,[,1724,15,1,],1,NaN,31,40,40,[,0,0,],22,333,[,18,202,3,100,9,1,0,],11,0,28.95,-107.817,1932,1990,2020,MX,,TEMOSACHIC  CHIH.,,762200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/762250-99999_fig2.png,762250,99999,3,HpEv,86170,19.4,61.9,33,[,752,337,11,],11,15,29,37,41,[,1,0,],26,331,[,2,129,13,80,57,48,3,],107,9,28.633,-106.083,1433,1990,2020,MX,,CHIHUAHUA  CHIH.,,762250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/762252-99999_fig2.png,762252,99999,3,____,86082,19.4,61.9,2,[,377,308,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],1,314,[,NaN,115,NaN,143,56,NaN,NaN,],92,5,28.7,-105.967,1354,1987,1987,MX,,CHIHUAHUA INTL    &,,762252-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/762253-99999_fig2.png,762253,99999,2,HpEv,86019,19.4,61.9,30,[,722,490,6,],5,20,29,36,40,[,0,0,],29,362,[,1,128,31,67,62,71,2,],138,5,28.703,-105.965,1360,1992,2020,MX,,GENERAL R FIERRO VILLALOBOS I,,762253-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/762430-99999_fig2.png,762430,99999,2,HpAc,98350,19.4,56.5,32,[,473,1093,2468,],0,16,28,37,47,[,147,73,],26,359,[,2,93,0,66,53,4,141,],191,180,28.627,-100.535,275,1991,2020,MX,,PIEDRAS NEGRAS INTL,,762430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/762530-99999_fig2.png,762530,99999,1,HpAc,100576,19.4,55.7,30,[,49,1227,1919,],7,17,26,31,44,[,105,30,],28,323,[,0,27,1,94,40,36,125,],202,129,27.393,-109.833,62,1995,2020,MX,,CIUDAD OBREGON INTL,,762530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/762555-99999_fig2.png,762555,99999,1,HpAc,101059,19.4,55.5,27,[,46,1450,3237,],3,18,26,31,48,[,124,61,],27,356,[,0,28,1,96,48,27,155,],228,168,27.969,-110.925,18,1987,2020,MX,,GENERAL JOSE MARIA YANEZ INTL,,762555-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/762560-99999_fig2.png,762560,99999,1,HpAc,101238,19.4,55.4,34,[,89,1074,2872,],0,14,24,31,48,[,129,69,],25,340,[,0,46,1,96,49,14,135,],197,150,27.95,-110.767,12,1991,2020,MX,,EMPALME  SON.,,762560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/762580-99999_fig2.png,762580,99999,3,HpAc,100710,19.4,55.6,20,[,53,555,820,],0,4,8,10,15,[,43,21,],10,160,[,0,30,0,43,25,6,55,],95,80,27.483,-109.917,38,1987,1993,MX,,CIUDAD OBREGON  SON,,762580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/762861-99999_fig2.png,762861,99999,2,HpAc,99643,19.4,56,4,[,348,1106,2378,],7,20,29,34,44,[,117,11,],2,334,[,0,76,0,52,57,3,145,],201,181,27.433,-99.567,141,1987,1989,MX,,NUEVO LAREDO,,762861-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/762863-99999_fig2.png,762863,99999,1,HpAc,99566,19.4,56,28,[,342,1332,2797,],5,19,29,35,46,[,149,53,],28,361,[,1,72,1,62,53,6,166,],220,200,27.444,-99.57,148,1991,2020,MX,,QUETZALCOATL INTL,,762863-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/763050-99999_fig2.png,763050,99999,1,HpAc,101167,19.4,55.4,31,[,18,1185,2727,],2,17,25,32,44,[,127,56,],24,347,[,0,16,0,115,54,11,151,],216,171,25.989,-111.348,10,1998,2020,MX,,LORETO INTL,,763050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/763110-99999_fig2.png,763110,99999,1,HpAc,98396,19.4,56.5,33,[,70,1007,2887,],0,9,21,32,46,[,173,93,],15,322,[,0,31,0,77,58,20,136,],205,169,26.733,-108.283,238,1990,2019,MX,,CHOIX  SIN.,,763110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/763230-99999_fig2.png,763230,99999,3,HpEv,82710,19.4,63.7,33,[,687,175,5,],6,NaN,34,41,43,[,0,0,],23,332,[,2,131,12,114,49,22,1,],74,3,26.933,-105.667,1661,1991,2019,MX,,HIDALGO DEL PARRAL   CHIH.,,763230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/763420-99999_fig2.png,763420,99999,2,HpAc,94626,19.4,58,32,[,370,994,1310,],5,18,30,38,48,[,111,18,],30,348,[,2,75,2,71,57,21,119,],194,147,26.956,-101.47,568,1992,2020,MX,,MONCLOVA INTL,,763420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/763501-99999_fig2.png,763501,99999,1,HpAc,100857,19.4,55.6,3,[,253,1251,3142,],6,18,27,32,44,[,127,15,],1,350,[,0,61,0,46,67,5,172,],231,220,26.017,-98.233,39,1987,1989,MX,,REYNOSA INTL,,763501-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/763503-99999_fig2.png,763503,99999,1,HpAc,100817,19.4,55.6,30,[,269,1095,3718,],2,14,24,30,41,[,150,54,],30,362,[,1,58,0,60,79,1,162,],225,233,26.009,-98.229,42,1991,2020,MX,,GENERAL LUCIO BLANCO INTL,,763503-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/763615-99999_fig2.png,763615,99999,1,HpAc,101266,19.4,55.4,27,[,31,1164,2412,],8,20,28,32,44,[,109,14,],26,358,[,0,22,0,111,57,13,154,],221,178,25.685,-109.081,5,1987,2020,MX,,VALLE DEL FUERTE INTL,,763615-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/763730-99999_fig2.png,763730,99999,3,HpVt,81984,19.4,64.1,24,[,220,41,0,],0,0,0,0,0,[,0,0,],4,126,[,0,53,8,47,16,2,0,],20,0,25.35,-105.75,1967,2012,2013,MX,,TEPEHUANES  DGO.,,763730-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/763820-99999_fig2.png,763820,99999,2,HpAc,88561,19.4,60.7,33,[,829,758,194,],10,18,32,40,47,[,21,0,],32,350,[,4,94,5,70,59,75,43,],176,58,25.568,-103.411,1124,1989,2020,MX,,TORREON INTL,,763820-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/763825-99999_fig2.png,763825,99999,2,HpAc,88252,19.4,60.8,5,[,185,813,222,],10,26,34,40,49,[,5,0,],4,351,[,0,57,0,103,70,64,57,],192,79,25.533,-103.45,1150,1987,1990,MX,,TORREON AIRPORT   &,,763825-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/763900-99999_fig2.png,763900,99999,3,HpEv,81675,19.4,64.3,34,[,659,137,8,],5,19,30,38,41,[,0,0,],29,363,[,4,131,2,153,60,12,1,],74,5,25.367,-101.017,1790,1992,2020,MX,,SALTILLO  COAH.,,763900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/763930-99999_fig2.png,763930,99999,2,HpAc,95737,19.4,57.5,34,[,323,687,1878,],3,16,26,35,46,[,116,16,],25,347,[,1,74,0,78,85,5,104,],177,176,25.733,-100.3,515,1990,2018,MX,,MONTERREY  N.L.,,763930-99999_fig2.png
