URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/486000-99999_fig2.png,486000,99999,2,__Ac,100888,19.4,55.6,18,[,0,968,5100,],2,7,11,15,22,[,206,10,],27,227,[,0,0,0,0,5,0,222,],227,227,6.33,99.729,9,2004,2020,MY,,LANGKAWI INTL,,486000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486010-99999_fig2.png,486010,99999,0,__Ac,101280,19.4,55.4,34,[,0,1382,7577,],2,10,17,24,35,[,321,5,],34,363,[,0,0,0,0,18,0,345,],363,363,5.297,100.277,3,1987,2020,MY,,PENANG INTL,,486010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486020-99999_fig2.png,486020,99999,3,__Ac,100914,19.4,55.5,18,[,0,711,3989,],2,5,9,12,18,[,170,4,],33,186,[,0,0,0,0,7,0,179,],185,186,5.466,100.391,3,2004,2020,MY,,BUTTERWORTH,,486020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486021-99999_fig2.png,486021,99999,0,__Ac,100786,19.4,55.6,16,[,0,1103,7608,],2,9,16,23,29,[,291,19,],16,364,[,0,0,0,0,40,0,324,],361,364,2.45,103.833,45,2005,2020,MY,,MERSING,,486021-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486022-99999_fig2.png,486022,99999,0,__Ac,101270,19.4,55.4,16,[,0,1389,8022,],3,9,16,24,36,[,335,46,],16,363,[,0,0,0,0,17,0,346,],362,363,6.194,100.403,5,2005,2020,MY,,SULTAN ABDUL HALIM,,486022-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486023-99999_fig2.png,486023,99999,0,__Ac,100850,19.4,55.6,16,[,0,1230,7093,],4,10,18,26,35,[,343,11,],16,363,[,0,0,0,0,38,0,325,],363,363,4.568,101.092,40,2005,2020,MY,,SULTAN AZLAN SHAH,,486023-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486030-99999_fig2.png,486030,99999,3,__Ac,100894,19.4,55.5,6,[,0,194,1213,],0,1,2,4,5,[,51,12,],33,53,[,0,0,0,0,2,0,51,],52,53,6.2,100.4,5,2016,2020,MY,,ALOR STAR,,486030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486150-99999_fig2.png,486150,99999,0,__Ac,100931,19.4,55.5,34,[,0,1180,7091,],2,10,17,24,31,[,273,5,],34,362,[,0,0,0,0,63,0,299,],359,362,6.167,102.293,5,1987,2020,MY,,SULTAN ISMAIL PETRA,,486150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486180-99999_fig2.png,486180,99999,1,__Ac,100924,19.4,55.5,16,[,0,1053,6509,],2,8,14,19,24,[,242,9,],18,303,[,0,0,0,0,34,0,269,],301,303,5.383,103.103,6,2006,2020,MY,,SULTAN MAHMUD,,486180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486200-99999_fig2.png,486200,99999,0,__Ac,100856,19.4,55.6,34,[,0,1176,7519,],2,8,16,25,32,[,341,12,],34,362,[,0,0,0,0,27,0,335,],361,362,4.217,100.7,8,1987,2020,MY,,SITIAWAN,,486200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486250-99999_fig2.png,486250,99999,3,__Ac,100491,19.4,55.7,6,[,0,181,1028,],1,2,3,4,5,[,51,3,],33,53,[,0,0,0,0,5,0,48,],53,53,4.567,101.1,40,2016,2020,MY,,IPOH,,486250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486320-99999_fig2.png,486320,99999,3,Hp__,84622,19.4,62.7,6,[,34,0,0,],1,0,3,5,5,[,0,0,],18,96,[,0,48,0,48,1,0,0,],0,1,4.467,101.367,1545,2016,2020,MY,,CAMERON HIGHLANDS,,486320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486470-99999_fig2.png,486470,99999,0,__Ac,100738,19.4,55.6,33,[,0,1306,7055,],2,10,18,26,33,[,332,25,],32,352,[,0,0,0,0,32,0,320,],351,352,3.131,101.549,27,1987,2020,MY,,SULTAN ABDUL AZIZ SHAH INTL,,486470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486475-99999_fig2.png,486475,99999,0,__Ac,100989,19.4,55.5,5,[,0,1443,7329,],5,12,19,27,34,[,349,12,],4,365,[,0,0,0,0,13,0,352,],365,365,3.133,101.55,28,2001,2004,MY,,SULTAN ABDUL AZIZ S,,486475-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486500-99999_fig2.png,486500,99999,1,__Ac,101073,19.4,55.5,16,[,0,1075,5931,],2,8,14,20,28,[,270,5,],20,291,[,0,0,0,0,13,0,278,],290,291,2.746,101.71,21,2005,2020,MY,,KUALA LUMPUR INTL,,486500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486570-99999_fig2.png,486570,99999,0,__Ac,100804,19.4,55.6,34,[,0,1028,7129,],1,8,16,25,32,[,295,18,],34,361,[,0,0,0,0,73,0,288,],355,361,3.775,103.209,18,1987,2020,MY,,KUANTAN,,486570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486650-99999_fig2.png,486650,99999,0,__Ac,100920,19.4,55.5,34,[,0,1233,7228,],1,10,17,25,34,[,326,7,],34,361,[,0,0,0,0,35,0,326,],360,361,2.263,102.252,11,1987,2020,MY,,MALACCA,,486650-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486726-99999_fig2.png,486726,99999,0,__Ac,101259,19.4,55.4,8,[,0,1353,8065,],2,8,16,22,29,[,295,8,],8,362,[,0,0,0,0,29,0,333,],359,362,4.537,103.427,6,2013,2020,MY,,KERTEH,,486726-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486740-99999_fig2.png,486740,99999,3,__Ac,100472,19.4,55.7,4,[,0,137,536,],0,1,1,2,2,[,22,4,],30,43,[,0,0,0,0,5,0,38,],43,43,2.45,103.833,45,2016,2020,MY,,MERSING,,486740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/486790-99999_fig2.png,486790,99999,0,__Ac,100523,19.4,55.7,21,[,0,971,7157,],3,8,16,24,31,[,304,14,],20,364,[,0,0,0,0,72,0,292,],359,364,1.641,103.67,41,2001,2020,MY,,SULTAN ISMAIL,,486790-99999_fig2.png
