URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/672150-99999_fig2.png,672150,99999,1,__Ac,100119,19.4,55.8,33,[,0,740,4252,],0,10,17,23,32,[,112,1,],15,312,[,0,0,0,11,153,0,147,],276,299,-12.987,40.522,101,1992,2020,MZ,,PEMBA,,672150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/672170-99999_fig2.png,672170,99999,3,HpVt,86301,19.4,61.8,34,[,184,13,34,],3,16,21,28,32,[,0,0,],10,331,[,0,92,0,207,32,0,0,],14,20,-13.274,35.266,1373,1993,2020,MZ,,LICHINGA,,672170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/672370-99999_fig2.png,672370,99999,2,__Ac,96149,19.4,57.4,34,[,1,486,1829,],2,12,22,30,44,[,50,0,],26,331,[,0,2,0,100,162,3,64,],199,204,-15.106,39.282,440,1987,2020,MZ,,NAMPULA,,672370-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/672610-99999_fig2.png,672610,99999,3,__Ac,99536,19.4,56.1,31,[,0,734,1591,],2,9,15,20,28,[,85,18,],7,188,[,0,0,0,29,48,6,105,],159,131,-16.183,33.583,150,1992,2020,MZ,,TETE,,672610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/672614-99999_fig2.png,672614,99999,3,__Ac,99418,19.4,56.1,14,[,1,673,1337,],1,8,13,16,27,[,69,11,],8,170,[,0,0,0,30,44,10,86,],139,108,-16.105,33.64,160,2016,2020,MZ,,TETE CHINGODZI,,672614-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/672830-99999_fig2.png,672830,99999,1,__Ac,101193,19.4,55.4,33,[,0,817,4056,],0,11,20,28,42,[,155,29,],18,346,[,0,1,0,53,138,0,154,],241,291,-17.856,36.869,11,1998,2020,MZ,,QUELIMANE,,672830-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/672950-99999_fig2.png,672950,99999,3,HpAc,93954,19.4,58.3,28,[,52,120,674,],1,6,12,17,27,[,10,0,],15,207,[,0,35,0,70,88,2,11,],62,91,-19.151,33.429,697,2006,2020,MZ,,CHIMOIO,,672950-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/672970-99999_fig2.png,672970,99999,1,__Ac,101204,19.4,55.4,33,[,0,642,3629,],0,12,19,25,38,[,99,4,],21,338,[,0,1,0,62,154,0,122,],216,275,-19.796,34.908,10,1987,2020,MZ,,BEIRA,,672970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/673150-99999_fig2.png,673150,99999,2,__Ac,101157,19.4,55.5,30,[,0,485,2406,],0,8,14,18,25,[,55,2,],14,237,[,0,1,0,49,105,0,82,],157,185,-22.018,35.313,14,2002,2020,MZ,,VILANKULO,,673150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/673230-99999_fig2.png,673230,99999,2,__Ac,101145,19.4,55.5,33,[,0,602,2728,],0,10,19,24,33,[,70,2,],12,312,[,0,0,0,73,137,0,102,],206,230,-23.867,35.383,15,1988,2020,MZ,,INHAMBANE,,673230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/673270-99999_fig2.png,673270,99999,1,__Ac,99536,19.4,56.1,13,[,3,555,1814,],5,13,23,32,44,[,73,9,],4,349,[,0,4,0,127,134,1,83,],194,196,-24.05,34.717,150,2017,2020,MZ,,PANDA,,673270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/673350-99999_fig2.png,673350,99999,2,HpAc,101265,19.4,55.4,32,[,15,377,2062,],0,12,20,28,42,[,60,7,],7,332,[,0,14,0,106,153,0,59,],158,207,-25.05,33.633,5,1991,2020,MZ,,XAI XAI,,673350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/673410-99999_fig2.png,673410,99999,2,HpAc,100800,19.4,55.6,34,[,18,407,1862,],1,13,21,29,44,[,60,6,],32,347,[,0,16,0,132,137,1,61,],163,190,-25.921,32.573,44,1987,2020,MZ,,MAPUTO,,673410-99999_fig2.png
