URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/915700-99999_fig2.png,915700,99999,2,__Ac,101195,19.4,55.4,21,[,0,488,3061,],1,9,12,16,23,[,83,3,],25,242,[,0,0,0,23,117,0,101,],188,217,-18.483,163.083,5,1994,2016,NC,,ILE SURPRISE,,915700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915710-99999_fig2.png,915710,99999,2,____,94379,19.4,58.1,0,[,83,12,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],1,358,[,NaN,82,NaN,41,234,NaN,NaN,],21,249,-20.46,164.215,595,2017,2017,NC,,TIEBAGHI RADAR,,915710-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915730-99999_fig2.png,915730,99999,2,__Ac,100327,19.4,55.8,12,[,20,347,2714,],3,13,18,23,33,[,34,0,],10,350,[,0,4,0,93,191,0,61,],184,252,-19.717,163.65,84,2003,2019,NC,,ILE ART (BELEP),,915730-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915740-99999_fig2.png,915740,99999,3,__Ac,101275,19.4,55.4,20,[,0,314,2027,],3,9,12,14,21,[,29,0,],24,229,[,0,0,1,49,122,0,57,],146,177,-19.967,158.483,4,1994,2020,NC,,ILE LOOP (CHESTERFIELD),,915740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915770-99999_fig2.png,915770,99999,2,__Ac,101106,19.4,55.5,32,[,3,345,2209,],3,11,19,24,34,[,34,0,],29,339,[,0,2,0,119,164,0,54,],171,215,-20.546,164.256,13,1987,2016,NC,,KOUMAC,,915770-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915790-99999_fig2.png,915790,99999,2,__Ac,101222,19.4,55.4,25,[,3,313,2183,],0,9,13,18,25,[,40,0,],31,266,[,0,3,0,67,141,0,55,],151,193,-20.641,166.573,7,1996,2020,NC,,OUVEA,,915790-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915820-99999_fig2.png,915820,99999,2,HpAc,100964,19.4,55.5,28,[,18,302,2595,],0,10,17,23,33,[,34,0,],27,355,[,0,15,0,101,180,0,59,],167,238,-20.775,167.24,28,1987,2017,NC,,LIFOU,,915820-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915830-99999_fig2.png,915830,99999,2,__Ac,101170,19.4,55.4,29,[,1,293,2540,],3,12,18,24,35,[,35,0,],21,352,[,0,2,0,110,189,0,51,],167,239,-20.933,165.317,13,1987,2019,NC,,POINDIMIE (NLLE-CALEDONIE),,915830-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915870-99999_fig2.png,915870,99999,3,HpAc,100857,19.4,55.6,24,[,42,147,1462,],0,8,13,18,25,[,18,0,],31,266,[,0,28,0,87,125,0,25,],94,150,-21.482,168.038,43,1996,2020,NC,,MARE,,915870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915900-99999_fig2.png,915900,99999,2,HpAc,101160,19.4,55.5,29,[,28,292,1587,],0,11,21,29,39,[,47,1,],29,362,[,0,26,0,143,154,0,40,],147,184,-22.015,166.213,16,1987,2020,NC,,LA TONTOUTA,,915900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915915-99999_fig2.png,915915,99999,1,__Ac,101289,19.4,55.4,4,[,1,409,2580,],4,14,19,24,33,[,33,0,],3,363,[,0,1,0,119,173,0,69,],177,241,-22.258,166.473,3,2007,2009,NC,,MAGENTA,,915915-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915920-99999_fig2.png,915920,99999,2,__Ac,100611,19.4,55.7,29,[,2,267,1913,],4,13,19,25,35,[,27,0,],28,363,[,0,4,0,150,172,0,37,],148,207,-22.267,166.45,72,1987,2014,NC,,NOUMEA,,915920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915925-99999_fig2.png,915925,99999,3,__Ac,101289,19.4,55.4,6,[,3,101,774,],1,4,5,7,10,[,10,0,],10,103,[,0,0,0,29,54,0,20,],52,72,-20.79,165.259,3,2007,2009,NC,,TOUHO,,915925-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915960-99999_fig2.png,915960,99999,3,HpAc,100262,19.4,55.8,26,[,10,112,1359,],2,8,13,18,25,[,12,0,],33,271,[,0,14,0,110,127,0,20,],86,147,-22.589,167.456,96,1996,2020,NC,,ILE DES PINS,,915960-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/915980-99999_fig2.png,915980,99999,3,HpAc,101095,19.4,55.5,7,[,66,157,981,],1,6,7,9,12,[,7,0,],10,217,[,0,24,0,57,113,0,23,],91,141,-22.333,171.333,27,1995,2010,NC,,MATTHEW (ILOT),,915980-99999_fig2.png
