URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/610170-99999_fig2.png,610170,99999,0,HpAc,97077,19.4,57,33,[,92,1989,543,],19,31,40,47,55,[,132,30,],17,349,[,0,41,8,56,34,137,72,],244,72,18.683,12.917,357,1987,2020,NG,,BILMA,,610170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610240-99999_fig2.png,610240,99999,0,HuAc,95512,19.4,57.6,34,[,8,2517,924,],11,26,37,43,55,[,118,12,],31,353,[,0,5,21,26,39,158,105,],302,105,16.967,7.967,505,1987,2020,NG,,AGADEZ,,610240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610360-99999_fig2.png,610360,99999,0,__Ac,98643,19.4,56.4,34,[,0,2263,2745,],3,21,30,37,54,[,190,72,],30,348,[,0,0,2,17,46,110,173,],330,181,14.2,1.45,210,1987,2020,NG,,TILLABERY,,610360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610430-99999_fig2.png,610430,99999,0,HuAc,96687,19.4,57.2,33,[,1,2083,1960,],5,22,31,38,53,[,149,17,],29,350,[,0,1,14,21,50,114,151,],315,161,14.876,5.265,386,1987,2020,NG,,TAHOUA,,610430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610450-99999_fig2.png,610450,99999,0,HuAc,96123,19.4,57.4,31,[,6,1765,1435,],6,21,30,38,53,[,133,12,],22,346,[,0,5,23,36,50,111,120,],283,134,13.983,10.3,460,1987,2020,NG,,GOURE,,610450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610490-99999_fig2.png,610490,99999,0,__Ac,97936,19.4,56.7,34,[,5,1885,1896,],5,20,30,39,54,[,168,69,],26,346,[,0,4,6,53,44,102,138,],284,142,14.25,13.117,286,1987,2020,NG,,N'GUIGMI,,610490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610520-99999_fig2.png,610520,99999,0,__Ac,98526,19.4,56.4,34,[,0,2136,2666,],3,19,28,36,53,[,180,42,],33,359,[,0,0,2,22,54,107,173,],335,187,13.482,2.184,223,1987,2020,NG,,DIORI HAMANI,,610520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610530-99999_fig2.png,610530,99999,0,__Ac,98400,19.4,56.5,10,[,0,1920,3378,],2,17,25,33,51,[,192,66,],10,357,[,0,0,1,21,60,94,181,],335,199,13.033,3.3,225,2011,2020,NG,,DOSSO,,610530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610750-99999_fig2.png,610750,99999,0,__Ac,97989,19.4,56.6,33,[,0,1910,2721,],3,18,27,34,51,[,177,58,],30,338,[,0,0,1,25,56,96,161,],312,176,13.8,5.25,273,1987,2020,NG,,BIRNI-N'KONNI,,610750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610800-99999_fig2.png,610800,99999,0,HuAc,96897,19.4,57.1,33,[,2,1658,2344,],2,17,26,33,50,[,145,24,],30,339,[,0,2,13,34,62,85,143,],289,164,13.503,7.127,378,1987,2020,NG,,MARADI,,610800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610850-99999_fig2.png,610850,99999,0,__Ac,97645,19.4,56.8,33,[,3,1624,2153,],2,17,26,35,50,[,164,56,],23,328,[,0,3,3,51,48,84,139,],271,150,13.373,12.627,303,1988,2020,NG,,DIFFA,,610850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610900-99999_fig2.png,610900,99999,0,HuAc,96006,19.4,57.4,34,[,2,2021,1727,],5,20,30,37,53,[,134,8,],34,352,[,0,2,15,28,50,120,137,],307,151,13.779,8.984,462,1987,2020,NG,,ZINDER,,610900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610910-99999_fig2.png,610910,99999,0,HuAc,96640,19.4,57.2,34,[,8,1412,2130,],4,17,27,36,52,[,156,27,],28,348,[,0,8,6,64,68,66,137,],270,164,12.983,8.933,403,1987,2020,NG,,MAGARIA,,610910-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610960-99999_fig2.png,610960,99999,0,HuAc,97251,19.4,56.9,34,[,2,1763,2039,],4,18,28,37,53,[,160,39,],29,352,[,0,2,14,40,57,98,140,],295,158,13.233,11.983,338,1987,2020,NG,,MAINE-SOROA,,610960-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/610990-99999_fig2.png,610990,99999,0,__Ac,98681,19.4,56.4,34,[,0,1912,3677,],1,14,24,32,52,[,197,59,],29,349,[,0,0,0,8,58,96,187,],340,214,11.883,3.45,202,1987,2020,NG,,GAYA,,610990-99999_fig2.png
