URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/062010-99999_fig2.png,62010,99999,4,Gs__,100893,19.4,55.5,12,[,2827,0,0,],1,NaN,19,21,25,[,0,0,],12,360,[,22,333,0,5,0,0,0,],0,0,54.317,2.933,36,2009,2020,NL,,D15-FA-1 HELIPAD OIL PLATFORM,,062010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062030-99999_fig2.png,62030,99999,4,Gs__,101038,19.4,55.5,10,[,2545,0,0,],6,NaN,22,30,32,[,0,0,],10,362,[,18,326,0,17,1,0,0,],0,1,52.367,3.35,24,2010,2020,NL,,P11-B / DE RUYTER,,062030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062040-99999_fig2.png,62040,99999,4,Gs__,101007,19.4,55.5,12,[,2566,0,0,],5,16,20,27,27,[,0,0,],11,358,[,17,325,0,15,1,0,0,],0,1,53.267,3.633,27,2009,2020,NL,,K14-FA-1C,,062040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062050-99999_fig2.png,62050,99999,4,Gs__,100929,19.4,55.5,11,[,2941,0,0,],3,NaN,19,25,25,[,0,0,],11,362,[,25,332,0,5,0,0,0,],0,0,55.417,3.817,33,2010,2020,NL,,A12-CPP HELIPAD OIL PLATFORM,,062050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062060-99999_fig2.png,62060,99999,4,Gs__,100986,19.4,55.5,13,[,2764,0,0,],2,13,18,23,25,[,0,0,],12,361,[,25,327,0,9,0,0,0,],0,0,54.117,4.017,28,2008,2019,NL,,F16-A,,062060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062070-99999_fig2.png,62070,99999,4,Gs__,100971,19.4,55.5,12,[,2598,0,2,],5,17,20,26,27,[,0,0,],11,354,[,29,303,0,21,1,0,0,],0,1,53.617,4.967,30,2009,2020,NL,,L9-FF-1,,062070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062080-99999_fig2.png,62080,99999,4,Gs__,101002,19.4,55.5,13,[,2818,1,4,],8,22,25,33,35,[,0,0,],12,361,[,52,279,0,28,2,0,0,],1,2,53.5,5.95,27,2009,2020,NL,,AWG-1,,062080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062100-99999_fig2.png,62100,99999,4,Gs__,101690,19.4,55.3,30,[,2887,1,3,],6,14,23,32,33,[,0,0,],29,364,[,60,274,0,28,2,0,0,],1,2,52.167,4.433,1,1987,2015,NL,,VALKENBURG,,062100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062110-99999_fig2.png,62110,99999,4,Gs__,100917,19.4,55.5,11,[,2745,0,0,],4,NaN,20,24,25,[,0,0,],11,356,[,20,329,0,7,0,0,0,],0,0,53.817,2.95,34,2010,2020,NL,,J6-A HELIPAD OIL PLATFORM,,062110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062120-99999_fig2.png,62120,99999,4,Gs__,100834,19.4,55.6,12,[,2490,0,3,],7,15,20,29,30,[,0,0,],9,355,[,20,314,0,19,2,0,0,],0,2,52.917,4.15,41,2010,2020,NL,,HOORN-A HELIPAD OIL PLATFORM,,062120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062250-99999_fig2.png,62250,99999,4,Gs__,101170,19.4,55.4,8,[,2842,1,4,],10,15,22,30,31,[,0,0,],7,363,[,45,289,0,27,2,0,0,],1,2,52.467,4.567,4,1987,1994,NL,,IJMUIDEN,,062250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062350-99999_fig2.png,62350,99999,4,Gs__,101281,19.4,55.4,34,[,2898,1,8,],5,12,22,31,34,[,0,0,],34,364,[,57,279,0,25,3,0,0,],1,3,52.923,4.781,1,1987,2020,NL,,DE KOOIJ,,062350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062390-99999_fig2.png,62390,99999,4,Gs__,100738,19.4,55.6,23,[,2896,0,1,],3,14,16,18,19,[,0,0,],20,356,[,32,313,0,10,1,0,0,],0,1,54.85,4.733,0,1995,2019,NL,,F3 - NETHERLANDS,,062390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062400-99999_fig2.png,62400,99999,4,Gs__,101372,19.4,55.4,33,[,2860,3,6,],7,13,24,33,35,[,0,0,],33,364,[,61,267,0,33,3,0,0,],2,3,52.309,4.764,-3,1987,2020,NL,,SCHIPHOL,,062400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062420-99999_fig2.png,62420,99999,4,Gs__,101200,19.4,55.4,33,[,2804,0,6,],3,16,21,30,32,[,0,0,],24,358,[,53,278,0,25,2,0,0,],0,2,53.25,4.917,5,1996,2020,NL,,VLIELAND ISLAND,,062420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062440-99999_fig2.png,62440,99999,4,Gs__,101337,19.4,55.4,5,[,2371,1,4,],16,NaN,25,32,32,[,0,0,],1,317,[,44,256,0,16,1,0,0,],1,1,52.65,5.05,-1,1998,1998,NL,,HOORAN AWS,,062440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062470-99999_fig2.png,62470,99999,4,Gs__,101109,19.4,55.5,5,[,2562,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],3,345,[,41,280,0,23,1,0,0,],1,0,52.417,4.55,18,1998,2000,NL,,BLOEMENDAAL,,062470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062490-99999_fig2.png,62490,99999,4,Gs__,101361,19.4,55.4,19,[,2910,2,10,],5,12,23,33,35,[,0,0,],19,361,[,66,264,0,27,4,0,0,],1,4,52.65,4.983,-3,2002,2020,NL,,BERKHOUT,,062490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062500-99999_fig2.png,62500,99999,4,Gs__,101000,19.4,55.5,5,[,3088,0,2,],4,NaN,23,30,31,[,0,0,],5,364,[,47,297,0,18,2,0,0,],0,2,53.367,5.217,27,1987,1993,NL,,TERSCHELLING(LGT-H),,062500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062510-99999_fig2.png,62510,99999,4,Gs__,101379,19.4,55.4,21,[,2932,1,8,],3,17,21,30,32,[,0,0,],20,361,[,62,274,0,22,3,0,0,],1,3,53.4,5.35,2,1998,2020,NL,,TERSCHELLING HOORN AWS,,062510-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062520-99999_fig2.png,62520,99999,4,Gs__,100971,19.4,55.5,23,[,2679,0,0,],1,NaN,15,19,20,[,0,0,],23,363,[,20,332,0,11,0,0,0,],0,0,53.217,3.217,30,1997,2020,NL,,K13-A,,062520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062530-99999_fig2.png,62530,99999,4,____,101006,19.4,55.5,0,[,2499,0,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],4,332,[,NaN,322,NaN,6,4,NaN,NaN,],0,4,56.383,2.05,34,1999,2003,NL,,AUK-ALFA,,062530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062540-99999_fig2.png,62540,99999,4,Gs__,101431,19.4,55.4,10,[,2552,0,1,],9,NaN,22,29,31,[,0,0,],7,353,[,36,287,0,29,1,0,0,],0,1,52.267,4.3,17,1999,2005,NL,,MEETPOST NOORDWIJK,,062540-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062550-99999_fig2.png,62550,99999,4,Gs__,100397,19.4,55.7,2,[,3057,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],1,334,[,26,308,0,0,0,0,0,],0,0,61.233,1.15,47,1999,2003,NL,,NOORDELIJKE ZEERAAF,,062550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062570-99999_fig2.png,62570,99999,4,Gs__,101205,19.4,55.4,19,[,2747,2,4,],6,15,26,35,37,[,0,0,],19,362,[,52,276,0,31,3,0,0,],2,2,52.5,4.6,10,2002,2020,NL,,WIJK AAN ZEE,,062570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062600-99999_fig2.png,62600,99999,4,Gs__,101460,19.4,55.3,34,[,2911,3,6,],7,13,24,34,36,[,0,0,],34,364,[,64,262,0,34,4,0,0,],3,3,52.1,5.183,4,1987,2020,NL,,DE BILT,,062600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062650-99999_fig2.png,62650,99999,4,Gs__,101275,19.4,55.4,22,[,3001,4,4,],7,11,24,34,36,[,0,0,],22,361,[,70,256,0,31,4,0,0,],3,2,52.127,5.276,20,1987,2008,NL,,SOESTERBERG,,062650-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/062670-99999_fig2.png,62670,99999,4,Gs__,101290,19.4,55.4,26,[,2882,1,9,],5,14,22,31,33,[,0,0,],22,358,[,68,257,0,29,4,0,0,],1,3,52.9,5.383,3,1998,2020,NL,,STAVOREN AWS,,062670-99999_fig2.png
