URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/010010-99999_fig2.png,10010,99999,7,Gs__,100398,19.4,55.7,33,[,6544,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],33,364,[,282,82,0,0,0,0,0,],0,0,70.933,-8.667,9,1987,2020,NO,,JAN MAYEN(NOR-NAVY),,010010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010013-99999_fig2.png,10013,99999,5,Gs__,NaN,19.4,NaN,1,[,4037,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],1,302,[,109,192,0,1,0,0,0,],0,0,NaN,NaN,0,1987,1987,NO,,ROST,,010013-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010014-99999_fig2.png,10014,99999,4,Gs__,100740,19.4,55.6,32,[,2903,2,1,],6,34,35,38,38,[,0,0,],15,306,[,58,233,0,14,1,0,0,],1,0,59.792,5.341,49,1993,2019,NO,,SORSTOKKEN,,010014-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010015-99999_fig2.png,10015,99999,5,Gs__,97458,19.4,56.8,18,[,3800,0,0,],0,0,0,0,0,[,0,0,],21,307,[,108,189,0,10,0,0,0,],0,0,61.383,5.867,327,1988,2008,NO,,BRINGELAND,,010015-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010016-99999_fig2.png,10016,99999,5,Gs__,101157,19.4,55.5,4,[,3872,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],3,340,[,89,243,0,8,0,0,0,],0,0,64.85,11.233,14,1988,1990,NO,,RORVIK/RYUM,,010016-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010017-99999_fig2.png,10017,99999,5,Gs__,100750,19.4,55.6,12,[,3185,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],2,323,[,24,299,0,0,0,0,0,],0,0,59.98,2.25,48,1999,2001,NO,,FRIGG,,010017-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010020-99999_fig2.png,10020,99999,3,Gs__,101105,19.4,55.5,9,[,1986,0,0,],0,0,0,0,0,[,0,0,],27,86,[,69,17,0,0,0,0,0,],0,0,80.05,16.25,8,2011,2019,NO,,VERLEGENHUKEN,,010020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010030-99999_fig2.png,10030,99999,7,Gs__,100922,19.4,55.5,32,[,7069,0,0,],0,0,0,0,0,[,0,0,],24,336,[,262,74,0,0,0,0,0,],0,0,77,15.5,12,1996,2019,NO,,HORNSUND,,010030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010060-99999_fig2.png,10060,99999,4,Gs__,101062,19.4,55.5,11,[,2065,0,0,],0,0,0,0,0,[,0,0,],31,91,[,84,7,0,0,0,0,0,],0,0,78.25,22.817,14,2011,2019,NO,,EDGEOYA,,010060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010100-99999_fig2.png,10100,99999,6,Gs__,101167,19.4,55.4,33,[,5084,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],33,364,[,149,214,0,1,0,0,0,],0,0,69.293,16.144,13,1987,2020,NO,,ANDOYA,,010100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010150-99999_fig2.png,10150,99999,6,Gs__,101160,19.4,55.5,30,[,4501,0,0,],0,0,0,0,0,[,0,0,],21,336,[,118,217,0,1,0,0,0,],0,0,69.6,17.833,14,1998,2020,NO,,HEKKINGEN FYR,,010150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010160-99999_fig2.png,10160,99999,4,Gs__,100981,19.4,55.5,8,[,2586,0,0,],0,0,0,0,0,[,0,0,],22,111,[,103,8,0,0,0,0,0,],0,0,78.933,28.9,20,2012,2019,NO,,KONGSOYA,,010160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010230-99999_fig2.png,10230,99999,7,Gs__,100361,19.4,55.7,32,[,6050,0,0,],0,NaN,25,33,35,[,0,0,],32,364,[,174,184,0,6,0,0,0,],0,0,69.056,18.54,77,1987,2020,NO,,BARDUFOSS,,010230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010231-99999_fig2.png,10231,99999,5,Gs__,101325,19.4,55.4,13,[,3644,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],7,359,[,38,318,0,3,0,0,0,],0,0,64.35,7.8,0,2011,2017,NO,,DRAUGEN,,010231-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010240-99999_fig2.png,10240,99999,3,Gs__,101020,19.4,55.5,9,[,1233,0,0,],0,0,0,0,0,[,0,0,],30,59,[,27,32,0,0,0,0,0,],0,0,78.65,16.367,20,2014,2019,NO,,PYRAMIDEN,,010240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010250-99999_fig2.png,10250,99999,7,Gs__,101088,19.4,55.5,33,[,5401,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],33,364,[,174,189,0,1,0,0,0,],0,0,69.683,18.919,9,1987,2020,NO,,TROMSO,,010250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/010260-99999_fig2.png,10260,99999,6,Gs__,99078,19.4,56.2,19,[,5037,0,0,],0,0,0,0,0,[,0,0,],19,344,[,157,185,0,2,0,0,0,],0,0,69.65,18.933,114,2003,2020,NO,,TROMSO,,010260-99999_fig2.png
