URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/444040-99999_fig2.png,444040,99999,3,HpVt,81188,19.4,64.5,15,[,151,2,24,],0,1,3,5,6,[,0,0,],22,58,[,1,27,0,20,10,0,0,],2,9,29.3,80.583,1848,2015,2019,NP,,DADELDHURA,,444040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/444060-99999_fig2.png,444060,99999,3,HpAc,94420,19.4,58.1,8,[,92,278,976,],0,3,7,10,16,[,44,14,],9,104,[,0,26,0,16,13,4,45,],61,54,29.25,80.95,617,2016,2019,NP,,DIPAYAL,,444060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/444090-99999_fig2.png,444090,99999,3,HpAc,98540,19.4,56.4,9,[,75,450,1571,],0,4,8,11,20,[,65,29,],10,126,[,0,25,0,20,13,3,65,],80,76,28.8,80.55,187,2015,2019,NP,,DHANGADHI (ATARIYA),,444090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/444160-99999_fig2.png,444160,99999,3,HpAc,93187,19.4,58.6,23,[,123,352,1132,],0,4,8,12,21,[,48,1,],7,158,[,0,40,0,28,25,7,57,],90,76,28.6,81.617,720,2015,2019,NP,,SURKHET,,444160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/444180-99999_fig2.png,444180,99999,3,HpAc,98947,19.4,56.3,8,[,59,441,1627,],0,3,7,10,18,[,62,37,],11,113,[,0,19,0,18,11,2,63,],74,72,28.1,81.667,165,2015,2019,NP,,NEPALGUNJ AIRPORT,,444180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/444240-99999_fig2.png,444240,99999,3,Hp__,76656,19.4,67.3,13,[,145,0,0,],0,0,1,1,1,[,0,0,],17,36,[,0,22,0,14,0,0,0,],0,0,29.283,82.167,2300,2015,2016,NP,,JUMLA,,444240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/444290-99999_fig2.png,444290,99999,3,HpAc,93386,19.4,58.5,7,[,53,140,593,],0,2,4,6,10,[,22,0,],9,72,[,0,16,0,14,13,3,25,],40,36,28.05,82.5,634,2015,2016,NP,,DANG,,444290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/444340-99999_fig2.png,444340,99999,3,HpAc,91822,19.4,59.2,13,[,51,85,419,],0,2,4,5,7,[,13,0,],21,71,[,0,17,0,15,25,1,12,],35,36,28.201,83.981,827,2014,2019,NP,,POKHARA,,444340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/444490-99999_fig2.png,444490,99999,3,__Ac,99256,19.4,56.2,13,[,22,227,976,],0,2,4,5,9,[,34,18,],20,63,[,0,8,0,10,9,1,35,],42,43,27.159,84.98,137,2015,2019,NP,,SIMARA,,444490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/444540-99999_fig2.png,444540,99999,3,HpVt,86250,19.4,61.8,15,[,612,85,664,],4,8,14,22,30,[,1,0,],9,316,[,0,137,0,54,124,0,1,],67,141,27.697,85.359,1338,1996,2020,NP,,TRIBHUVAN INTL,,444540-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/444620-99999_fig2.png,444620,99999,3,HpVt,82468,19.4,63.8,14,[,119,0,31,],0,2,3,5,6,[,0,0,],21,60,[,0,28,0,20,13,0,0,],1,12,27.3,86.5,1720,2015,2019,NP,,OKHALDHUNGA,,444620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/444740-99999_fig2.png,444740,99999,3,____,82539,19.4,63.8,13,[,38,0,17,],0,1,1,2,2,[,0,0,],16,20,[,0,9,0,7,4,0,0,],0,4,27.35,87.667,1732,2016,2016,NP,,TAPLEJUNG,,444740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/444770-99999_fig2.png,444770,99999,3,HpVt,87895,19.4,61,20,[,44,14,271,],0,2,3,5,6,[,0,0,],5,61,[,0,19,0,14,27,0,0,],15,26,26.983,87.35,1210,2017,2017,NP,,DHANKUTA,,444770-99999_fig2.png
