URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/930040-99999_fig2.png,930040,99999,3,Hp__,99256,19.4,56.2,22,[,1114,0,20,],7,10,13,19,23,[,0,0,],22,352,[,0,289,0,53,10,0,0,],0,10,-34.433,172.683,216,1988,2020,NZ,,CAPE REINGA AWS,,930040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/930120-99999_fig2.png,930120,99999,3,Hp__,100680,19.4,55.6,9,[,1272,0,20,],5,11,15,23,27,[,0,0,],8,362,[,0,295,0,60,7,0,0,],0,7,-35.133,173.267,85,1987,1994,NZ,,KAITAIA OBSERVATORY,,930120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/930230-99999_fig2.png,930230,99999,3,Hp__,100653,19.4,55.6,24,[,856,0,24,],3,7,10,14,17,[,0,0,],30,269,[,0,209,0,52,8,0,0,],0,9,-35.117,174.017,84,1996,2019,NZ,,PURERUA,,930230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/930690-99999_fig2.png,930690,99999,3,HpVt,100951,19.4,55.5,23,[,879,0,30,],9,12,15,19,23,[,0,0,],21,360,[,0,256,0,93,11,0,0,],0,11,-35.9,175.1,60,1995,2020,NZ,,MOKOHINAU AWS,,930690-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/931100-99999_fig2.png,931100,99999,3,Hp__,101664,19.4,55.3,26,[,1198,0,24,],7,12,17,24,28,[,0,0,],26,362,[,0,269,0,84,9,0,0,],0,9,-37,174.8,7,1995,2020,NZ,,AUCKLAND AERO AWS,,931100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/931190-99999_fig2.png,931190,99999,3,Hp__,101250,19.4,55.4,32,[,1250,0,25,],10,13,18,25,29,[,0,0,],32,363,[,0,271,0,83,9,0,0,],0,9,-37.008,174.792,7,1987,2020,NZ,,AUCKLAND INTL,,931190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/931860-99999_fig2.png,931860,99999,3,Hp__,101683,19.4,55.3,28,[,1295,0,18,],7,13,17,23,27,[,0,0,],28,360,[,0,266,0,86,8,0,0,],0,8,-37.672,176.196,4,1991,2020,NZ,,TAURANGA,,931860-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/931960-99999_fig2.png,931960,99999,3,Hp__,101141,19.4,55.5,23,[,1323,0,12,],5,11,15,20,23,[,0,0,],22,362,[,0,296,0,60,6,0,0,],0,6,-37.55,178.3,46,1992,2020,NZ,,HICKS BAY AWS,,931960-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/932010-99999_fig2.png,932010,99999,3,Hp__,101458,19.4,55.3,3,[,1138,0,23,],8,13,17,23,27,[,0,0,],3,356,[,0,268,0,79,9,0,0,],0,9,-38.167,174.7,28,2018,2020,NZ,,PORT TAHAROA,,932010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/932450-99999_fig2.png,932450,99999,4,Gs__,96927,19.4,57.1,24,[,2354,0,1,],1,NaN,19,26,27,[,0,0,],24,363,[,24,312,0,27,0,0,0,],0,0,-38.733,176.067,401,1997,2020,NZ,,TAUPO AWS,,932450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/932910-99999_fig2.png,932910,99999,3,Hp__,101229,19.4,55.4,5,[,1456,3,7,],3,17,21,30,32,[,0,0,],5,360,[,2,277,0,75,6,0,0,],4,4,-38.667,177.983,8,1987,1991,NZ,,GISBORNE AERODROME,,932910-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/932920-99999_fig2.png,932920,99999,3,Hp__,101617,19.4,55.3,29,[,1333,2,6,],6,9,18,24,27,[,0,0,],33,308,[,1,242,0,61,4,0,0,],3,3,-38.663,177.978,5,1993,2020,NZ,,GISBORNE,,932920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/933080-99999_fig2.png,933080,99999,3,Hp__,100893,19.4,55.5,5,[,1619,0,9,],6,12,16,22,26,[,0,0,],5,354,[,1,315,0,34,4,0,0,],0,4,-39.017,174.183,36,1987,1991,NZ,,NEW PLYMOUTH AERODR,,933080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/933090-99999_fig2.png,933090,99999,3,Hp__,101369,19.4,55.4,27,[,1417,0,6,],4,7,13,18,20,[,0,0,],32,308,[,1,271,0,33,3,0,0,],0,3,-39.017,174.183,32,1993,2020,NZ,,NEW PLYMOUTH AWS,,933090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/933340-99999_fig2.png,933340,99999,5,Gs__,92028,19.4,59.1,17,[,3400,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],16,355,[,75,277,0,3,0,0,0,],0,0,-39.467,175.683,823,1988,2011,NZ,,WAIOURU AWS,,933340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/933390-99999_fig2.png,933390,99999,5,Gs__,92244,19.4,59,9,[,3362,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],9,359,[,73,283,0,3,0,0,0,],0,0,-39.433,175.65,819,2012,2020,NZ,,WAIOURU AIRSTRIP,,933390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/933720-99999_fig2.png,933720,99999,3,HpVt,101265,19.4,55.4,2,[,902,16,0,],0,NaN,NaN,NaN,NaN,[,0,0,],1,300,[,0,208,0,80,11,1,0,],12,0,-39.467,176.867,5,1987,1987,NZ,,NAPIER/AIRPORT,,933720-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/933730-99999_fig2.png,933730,99999,3,Hp__,101626,19.4,55.3,27,[,1661,4,5,],4,12,21,28,32,[,0,0,],27,363,[,3,290,0,65,5,0,0,],4,3,-39.467,176.867,3,1993,2020,NZ,,NAPIER AERODROME AWS,,933730-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/933930-99999_fig2.png,933930,99999,3,Hp__,100039,19.4,55.9,1,[,1519,3,0,],0,NaN,NaN,NaN,NaN,[,0,0,],1,366,[,0,315,0,49,2,0,0,],2,0,-39.117,177.95,136,2020,2020,NZ,,MAHIA AWS,,933930-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/934010-99999_fig2.png,934010,99999,3,Hp__,100726,19.4,55.6,6,[,484,0,1,],1,1,2,3,4,[,0,0,],18,98,[,1,85,0,12,0,0,0,],0,0,-40.206,175.388,50,1987,1991,NZ,,OHAKEA,,934010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/934040-99999_fig2.png,934040,99999,3,Hp__,101129,19.4,55.5,28,[,1940,0,2,],3,10,20,28,30,[,0,0,],28,363,[,8,314,0,40,1,0,0,],0,1,-40.317,175.6,39,1993,2020,NZ,,PALMERSTON NORTH AWS,,934040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/934170-99999_fig2.png,934170,99999,3,Hp__,101245,19.4,55.4,8,[,1978,0,2,],0,11,13,18,23,[,0,0,],7,364,[,6,332,0,25,1,0,0,],0,1,-40.905,174.989,7,1988,1994,NZ,,PARAPARAUMU,,934170-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/934200-99999_fig2.png,934200,99999,3,Hp__,101587,19.4,55.3,25,[,1825,0,1,],2,12,18,23,23,[,0,0,],25,361,[,5,323,0,32,1,0,0,],0,1,-40.9,174.983,7,1996,2020,NZ,,PARAPARAUMU AWS,,934200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/934340-99999_fig2.png,934340,99999,3,Hp__,99809,19.4,55.9,3,[,1960,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],2,365,[,0,339,0,26,0,0,0,],0,0,-41.283,174.767,127,1987,1988,NZ,,WELLINGTON,,934340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/934360-0488_fig2.png,934360,488,3,Hp__,101230,19.4,55.4,14,[,1564,0,0,],0,0,10,14,15,[,0,0,],14,337,[,0,304,0,33,0,0,0,],0,0,-41.3,174.8,7,2006,2020,NZ,,WELLINGTON INTL,,934360-0488_fig2.png
https://bioclimatic.github.io/predilection/psych/934360-99999_fig2.png,934360,99999,3,Hp__,101230,19.4,55.4,14,[,1441,0,0,],3,4,9,11,11,[,0,0,],19,279,[,0,256,0,23,0,0,0,],0,0,-41.327,174.805,12,1989,2008,NZ,,WELLINGTON INTL,,934360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/934390-99999_fig2.png,934390,99999,3,Hp__,101454,19.4,55.3,25,[,1695,0,1,],2,14,18,25,26,[,0,0,],25,363,[,0,328,0,35,0,0,0,],0,0,-41.333,174.8,12,1996,2020,NZ,,WELLINGTON AERO AWS,,934390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/934410-99999_fig2.png,934410,99999,4,Gs__,97547,19.4,56.8,1,[,2405,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],1,365,[,21,313,0,31,0,0,0,],0,0,-40.033,176.267,330,2020,2020,NZ,,TAKAPAU PLAINS AWS,,934410-99999_fig2.png
