URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/860110-99999_fig2.png,860110,99999,1,HpAc,99536,19.4,56.1,27,[,61,1266,2644,],0,14,26,35,49,[,171,20,],7,327,[,0,22,0,38,80,18,169,],254,228,-19.533,-59.367,150,1988,2003,PA,,ADRIAN JARA,,860110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/860650-99999_fig2.png,860650,99999,3,HpAc,98710,19.4,56.4,23,[,45,355,524,],0,6,10,12,17,[,37,7,],6,106,[,0,14,0,19,24,9,40,],71,53,-22.55,-61.55,220,1995,1997,PA,,PELAYO PRAT GILL,,860650-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/860680-99999_fig2.png,860680,99999,1,HpAc,99239,19.4,56.2,34,[,141,1087,2195,],1,17,27,36,49,[,142,35,],22,329,[,0,43,0,55,76,15,140,],215,194,-22.045,-60.622,169,1988,2020,PA,,DR LUIS MARIA ARGANA INTL,,860680-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/860860-99999_fig2.png,860860,99999,2,HpAc,100352,19.4,55.7,27,[,77,797,1701,],2,13,21,27,35,[,104,8,],25,259,[,0,25,0,40,69,6,119,],184,168,-22.283,-57.933,87,1996,2020,PA,,PUERTO CASADO,,860860-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/860970-99999_fig2.png,860970,99999,3,HpAc,94937,19.4,57.9,26,[,137,265,851,],1,9,16,22,31,[,20,0,],27,242,[,0,35,0,65,108,8,27,],112,113,-23.633,-55.833,563,1996,2020,PA,,PEDRO JUAN CABALLERO,,860970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/861280-99999_fig2.png,861280,99999,1,HpAc,99993,19.4,55.9,19,[,161,941,2617,],0,14,25,33,47,[,142,39,],10,336,[,0,47,0,56,93,7,134,],208,212,-23.5,-58.783,99,2002,2020,PA,,POZO COLORADO,,861280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/861340-99999_fig2.png,861340,99999,2,HpAc,100344,19.4,55.8,34,[,188,736,2646,],1,13,22,32,45,[,145,24,],32,347,[,0,51,0,62,114,4,116,],206,216,-23.442,-57.427,77,1987,2020,PA,,TENIENTE COL CARMELO PERALTA,,861340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/861700-99999_fig2.png,861700,99999,2,HpAc,100042,19.4,55.9,19,[,203,807,2409,],0,13,24,32,47,[,119,26,],11,342,[,0,57,0,64,98,6,117,],193,197,-24.75,-58.833,86,2010,2020,PA,,GRAL. BRUGUEZ,,861700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/861850-99999_fig2.png,861850,99999,2,HpAc,100028,19.4,55.9,17,[,141,649,2103,],0,11,20,28,39,[,107,16,],15,291,[,0,40,0,53,96,4,98,],172,179,-24.067,-57.083,80,2002,2020,PA,,SAN PEDRO,,861850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/861920-99999_fig2.png,861920,99999,3,HpAc,99133,19.4,56.2,24,[,106,413,1038,],0,8,14,19,25,[,50,1,],23,188,[,0,28,0,37,57,3,63,],111,109,-24.667,-56.433,192,2000,2019,PA,,SAN ESTANISLAO,,861920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/862100-99999_fig2.png,862100,99999,2,HpAc,97780,19.4,56.7,32,[,112,454,1620,],0,10,19,26,37,[,64,2,],13,278,[,0,36,0,63,109,3,67,],150,158,-24.033,-54.35,265,1997,2020,PA,,SALTOS DEL GUAIRA,,862100-99999_fig2.png
