URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/415060-99999_fig2.png,415060,99999,3,HpEv,84801,19.4,62.6,16,[,668,121,54,],3,5,12,16,18,[,6,0,],19,129,[,9,64,0,22,14,12,8,],34,9,35.85,71.833,1500,2006,2012,PK,,CHITRAL,,415060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415080-99999_fig2.png,415080,99999,3,HpVt,85914,19.4,62,18,[,579,47,106,],1,4,8,11,14,[,4,0,],19,114,[,8,59,0,23,18,1,5,],22,17,35.2,71.85,1370,2007,2012,PK,,DIR,,415080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415150-99999_fig2.png,415150,99999,3,GsAc,85220,19.4,62.4,33,[,1597,514,43,],21,25,39,45,49,[,6,0,],14,359,[,14,169,10,49,41,63,14,],119,15,35.567,71.783,1465,2006,2019,PK,,DROSH,,415150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415205-99999_fig2.png,415205,99999,3,HpAc,84934,19.4,62.5,7,[,814,151,74,],5,10,16,19,22,[,6,0,],15,166,[,7,87,0,28,20,11,12,],44,16,35.883,71.8,1494,2014,2020,PK,,CHITRAL,,415205-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415230-99999_fig2.png,415230,99999,3,____,90410,19.4,59.8,4,[,60,21,68,],0,1,1,2,2,[,4,0,],18,19,[,1,8,0,4,4,0,3,],7,6,34.733,72.35,951,2008,2008,PK,,SAIDU SHARIF,,415230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415235-99999_fig2.png,415235,99999,3,HpAc,90741,19.4,59.7,14,[,1044,401,940,],4,13,23,30,44,[,43,1,],13,329,[,2,148,0,60,55,13,51,],115,86,34.817,72.35,970,2007,2020,PK,,SAIDU SHARIF,,415235-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415300-99999_fig2.png,415300,99999,2,HpAc,97273,19.4,56.9,34,[,632,1096,2469,],4,16,26,34,51,[,127,52,],18,356,[,0,123,0,54,32,9,138,],177,153,34.017,71.583,360,1990,2020,PK,,PESHAWAR,,415300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415350-99999_fig2.png,415350,99999,3,HpVt,86557,19.4,61.7,18,[,795,63,255,],1,6,11,16,23,[,2,0,],26,194,[,4,99,0,42,43,2,4,],36,37,34.183,73.25,1309,2007,2020,PK,,KAKUL,,415350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415360-99999_fig2.png,415360,99999,3,HpAc,90089,19.4,60,19,[,1004,379,836,],4,13,24,32,46,[,30,0,],14,352,[,2,154,0,69,71,18,38,],123,83,34.383,73.35,981,2007,2020,PK,,BALAKOT,,415360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415600-99999_fig2.png,415600,99999,4,GsAc,82802,19.4,63.6,26,[,2163,123,387,],3,16,24,32,40,[,8,1,],12,340,[,20,187,1,69,46,5,12,],56,43,33.867,70.083,1726,2006,2020,PK,,PARACHINAR,,415600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415710-99999_fig2.png,415710,99999,2,HpAc,95286,19.4,57.7,34,[,709,874,1941,],1,14,24,33,51,[,105,24,],27,361,[,0,131,0,57,41,21,110,],170,131,33.617,73.099,508,1992,2020,PK,,CHAKLALA,,415710-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415730-99999_fig2.png,415730,99999,3,Gs__,79628,19.4,65.5,17,[,877,4,9,],3,4,8,11,14,[,0,0,],29,172,[,12,102,0,52,6,0,0,],3,4,33.917,73.383,2127,2007,2020,PK,,MURREE,,415730-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415925-99999_fig2.png,415925,99999,1,HpAc,100628,19.4,55.6,11,[,154,1851,4294,],3,16,26,32,46,[,177,137,],11,320,[,0,54,0,52,28,7,179,],213,193,27.722,68.792,58,2007,2018,PK,,SUKKUR,,415925-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415940-99999_fig2.png,415940,99999,2,HpAc,98731,19.4,56.4,31,[,460,1259,2945,],5,18,26,33,51,[,139,70,],9,333,[,0,99,0,48,28,9,149,],184,161,32.05,72.667,188,1995,2018,PK,,SARGODHA,,415940-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415980-99999_fig2.png,415980,99999,2,HpAc,98170,19.4,56.6,34,[,537,1104,3015,],1,13,23,31,51,[,143,66,],16,356,[,0,113,0,55,31,14,143,],186,162,32.933,73.717,234,2005,2020,PK,,JHELUM,,415980-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/415990-99999_fig2.png,415990,99999,2,HpAc,98299,19.4,56.5,9,[,518,1033,2443,],4,15,24,31,52,[,118,30,],9,342,[,0,110,0,51,34,16,130,],179,151,32.5,74.533,255,2010,2018,PK,,SIALKOT,,415990-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/416000-99999_fig2.png,416000,99999,3,HpAc,97987,19.4,56.6,23,[,336,617,1793,],1,7,13,18,31,[,82,31,],25,213,[,0,68,0,31,22,8,84,],111,100,32.5,74.533,256,2006,2020,PK,,SIALKOT,,416000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/416200-99999_fig2.png,416200,99999,2,HpAc,85659,19.4,62.1,31,[,1113,680,290,],10,25,34,41,50,[,23,1,],17,353,[,2,146,12,40,49,61,43,],153,51,31.358,69.464,1417,2002,2020,PK,,ZHOB,,416200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/416240-99999_fig2.png,416240,99999,1,HpAc,98846,19.4,56.3,34,[,416,1357,3656,],1,14,25,33,50,[,158,100,],19,346,[,0,98,0,52,29,5,162,],195,178,31.909,70.897,181,1990,2020,PK,,D I KHAN,,416240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/416300-99999_fig2.png,416300,99999,3,HpAc,99134,19.4,56.2,19,[,245,675,1659,],1,8,12,16,25,[,76,44,],30,177,[,0,53,0,25,13,5,80,],98,86,31.433,73.1,184,2006,2020,PK,,FAISALABAD,,416300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/416400-99999_fig2.png,416400,99999,1,HpAc,98436,19.4,56.5,34,[,337,1285,3102,],1,16,24,31,51,[,137,64,],26,340,[,0,86,0,59,28,16,151,],194,162,31.55,74.333,215,1989,2020,PK,,LAHORE CITY,,416400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/416410-99999_fig2.png,416410,99999,2,HpAc,98750,19.4,56.3,27,[,378,1014,2323,],2,12,20,26,43,[,116,49,],27,296,[,0,85,0,48,27,15,120,],163,135,31.522,74.404,217,1993,2018,PK,,ALLAMA IQBAL INTL,,416410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/416600-99999_fig2.png,416600,99999,3,HpEv,84145,19.4,62.9,33,[,1540,427,34,],16,24,36,43,47,[,5,0,],23,341,[,9,166,6,50,42,60,9,],111,10,30.251,66.938,1600,1989,2020,PK,,QUETTA,,416600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/416750-99999_fig2.png,416750,99999,1,HpAc,99427,19.4,56.1,34,[,374,1589,3390,],4,19,28,35,52,[,158,105,],20,346,[,0,90,0,53,27,10,166,],202,175,30.203,71.419,122,1990,2020,PK,,MULTAN INTL,,416750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/416780-99999_fig2.png,416780,99999,3,HpAc,99382,19.4,56.1,23,[,122,591,1235,],1,6,10,12,18,[,63,40,],17,127,[,0,31,0,18,10,4,64,],78,65,29.95,73.25,163,2007,2012,PK,,BAHAWALNAGAR,,416780-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/416850-99999_fig2.png,416850,99999,2,HpAc,88808,19.4,60.6,33,[,701,757,811,],6,19,30,37,50,[,50,1,],16,354,[,0,123,6,55,54,46,71,],171,91,29.883,69.717,1098,1989,2020,PK,,BAR KHAN,,416850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/416960-99999_fig2.png,416960,99999,3,HpVt,80052,19.4,65.2,20,[,1030,45,0,],1,0,2,3,3,[,0,0,],28,179,[,3,104,9,35,25,3,0,],29,0,29.033,66.583,2017,2007,2020,PK,,KALAT,,416960-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/416970-99999_fig2.png,416970,99999,2,HpAc,99726,19.4,56,22,[,135,1269,2820,],1,10,16,21,31,[,105,83,],24,208,[,0,43,1,31,16,10,107,],133,112,29.55,67.883,134,2007,2020,PK,,SIBI,,416970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417000-99999_fig2.png,417000,99999,3,HpAc,99869,19.4,55.9,22,[,196,826,1942,],2,9,14,18,26,[,91,60,],25,186,[,0,47,0,27,15,4,92,],110,99,29.4,71.783,113,2006,2020,PK,,BAHAWALPUR,,417000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417100-99999_fig2.png,417100,99999,1,HpEv,93198,19.4,58.6,34,[,499,1813,102,],15,34,44,49,54,[,30,3,],16,355,[,0,94,25,28,27,174,7,],209,7,28.817,62.75,683,2005,2020,PK,,NOKKUNDI,,417100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417120-99999_fig2.png,417120,99999,1,HpAc,91595,19.4,59.3,33,[,648,1605,186,],24,33,45,50,56,[,61,11,],17,351,[,1,109,6,46,26,134,29,],190,29,28.883,64.4,850,1991,2020,PK,,DAL BANDIN,,417120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417150-99999_fig2.png,417150,99999,1,HpAc,100186,19.4,55.8,32,[,203,1893,4531,],3,18,27,34,53,[,181,138,],17,346,[,0,68,0,53,30,11,184,],223,198,28.284,68.45,56,2001,2020,PK,,SHAHBAZ AB,,417150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417180-99999_fig2.png,417180,99999,1,HpAc,99752,19.4,56,34,[,379,1611,4235,],5,16,26,34,51,[,184,133,],15,360,[,0,92,0,52,29,7,179,],214,195,28.65,70.683,88,2006,2020,PK,,KHANPUR,,417180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417250-99999_fig2.png,417250,99999,2,HpAc,100000,19.4,55.9,23,[,108,1120,2189,],4,12,17,21,29,[,104,77,],25,200,[,0,37,0,33,16,7,107,],131,112,27.667,68.9,68,2007,2020,PK,,ROHRI,,417250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417390-99999_fig2.png,417390,99999,2,HpAc,90151,19.4,60,34,[,599,1224,435,],17,26,37,45,53,[,60,7,],16,356,[,0,110,5,48,33,98,62,],194,63,26.955,64.133,1002,2005,2020,PK,,PANJGUR,,417390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417440-99999_fig2.png,417440,99999,2,HpAc,87568,19.4,61.2,33,[,585,987,277,],12,23,35,42,50,[,25,2,],15,355,[,0,113,12,47,41,107,36,],183,37,27.833,66.633,1232,2005,2020,PK,,KHUZDAR,,417440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417460-99999_fig2.png,417460,99999,3,HpAc,100367,19.4,55.7,22,[,139,967,2505,],3,8,14,19,28,[,112,86,],25,201,[,0,43,0,30,16,4,108,],129,116,26.85,68.133,47,2007,2020,PK,,PADIDAN,,417460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417490-99999_fig2.png,417490,99999,1,HpAc,100491,19.4,55.7,31,[,176,1776,3650,],4,17,28,36,49,[,195,148,],21,340,[,0,62,0,54,26,13,185,],224,191,26.219,68.39,28,1994,2020,PK,,NAWABSHAH,,417490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417560-99999_fig2.png,417560,99999,1,HpAc,100285,19.4,55.8,32,[,20,1116,4577,],2,14,20,26,45,[,169,39,],22,346,[,0,11,1,76,65,5,188,],244,240,25.068,61.805,58,1990,2020,PK,,JIWANI,,417560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417570-99999_fig2.png,417570,99999,1,HpAc,100861,19.4,55.6,15,[,15,1150,4536,],0,11,20,27,52,[,167,75,],1,300,[,0,12,2,60,46,11,169,],212,207,25.233,62.329,29,2015,2015,PK,,GWADAR,,417570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417590-99999_fig2.png,417590,99999,3,__Ac,100992,19.4,55.5,23,[,12,644,2893,],0,6,10,14,26,[,109,38,],25,201,[,0,9,1,48,33,3,107,],135,134,25.29,63.344,4,2007,2020,PK,,PASNI,,417590-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417640-99999_fig2.png,417640,99999,1,HpAc,100277,19.4,55.8,30,[,50,1423,3435,],3,14,22,30,45,[,167,105,],24,303,[,0,27,1,56,29,21,169,],220,174,25.383,68.417,41,1993,2020,PK,,HYDERABAD AIRPORT,,417640-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417680-99999_fig2.png,417680,99999,0,HpAc,100751,19.4,55.6,34,[,108,1704,4744,],3,14,24,33,50,[,214,144,],16,355,[,0,44,0,62,31,12,206,],248,216,25.517,69.783,6,2005,2020,PK,,CHHOR,,417680-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417800-99999_fig2.png,417800,99999,1,HpAc,100588,19.4,55.7,33,[,23,1300,4081,],2,16,22,28,47,[,185,48,],31,346,[,0,16,2,72,47,14,195,],255,216,24.907,67.161,30,1990,2020,PK,,JINNAH INTL,,417800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/417850-99999_fig2.png,417850,99999,3,HpAc,101189,19.4,55.4,20,[,37,760,2298,],3,8,12,15,24,[,105,52,],28,180,[,0,19,0,34,16,3,108,],128,115,24.633,68.9,11,2007,2020,PK,,BADIN,,417850-99999_fig2.png
