URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/120010-99999_fig2.png,120010,99999,3,Gs__,101063,19.4,55.5,3,[,1148,0,0,],4,0,5,6,6,[,0,0,],5,132,[,29,91,0,12,0,0,0,],0,0,55.467,18.167,46,2019,2020,PL,,PETROBALTIC BETA,,120010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/121000-99999_fig2.png,121000,99999,5,Gs__,101423,19.4,55.4,33,[,3321,4,8,],4,12,24,32,36,[,0,0,],32,361,[,100,223,0,34,4,0,0,],2,3,54.183,15.583,5,1987,2020,PL,,KOLOBRZEG,,121000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/121050-99999_fig2.png,121050,99999,5,Gs__,101082,19.4,55.5,34,[,3529,3,5,],6,17,25,35,36,[,0,0,],34,364,[,110,220,0,31,3,0,0,],2,2,54.2,16.15,34,1987,2020,PL,,KOSZALIN,,121050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/121051-99999_fig2.png,121051,99999,4,GsVt,100043,19.4,55.9,16,[,2909,60,42,],10,18,29,34,40,[,1,0,],15,346,[,82,174,0,61,22,3,4,],27,12,52.268,20.911,107,2006,2020,PL,,BABICE,,121051-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/121052-99999_fig2.png,121052,99999,5,Gs__,100372,19.4,55.7,16,[,3207,11,10,],9,12,28,36,39,[,0,0,],12,351,[,103,183,0,55,8,1,1,],8,5,52.817,18.333,83,2008,2020,PL,,INOWROCLAW,,121052-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/121053-99999_fig2.png,121053,99999,3,Gs__,100037,19.4,55.9,17,[,1694,11,9,],5,5,14,19,21,[,0,0,],32,188,[,53,98,0,30,6,0,1,],6,3,52,19.15,150,2004,2020,PL,,LECZYCA,,121053-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/121054-99999_fig2.png,121054,99999,5,GsVt,99347,19.4,56.1,16,[,3330,22,11,],10,15,29,37,40,[,0,0,],16,356,[,103,185,0,56,9,1,2,],12,5,51.533,20.017,190,2005,2020,PL,,TOMASZOW,,121054-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/121055-99999_fig2.png,121055,99999,5,Gs__,99135,19.4,56.2,16,[,3453,12,11,],8,17,27,36,39,[,0,0,],16,364,[,109,194,0,51,9,0,1,],8,5,51.717,19.4,184,2005,2020,PL,,LUBLINEK,,121055-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/121056-99999_fig2.png,121056,99999,5,GsVt,100083,19.4,55.8,8,[,3276,12,16,],7,14,26,35,39,[,0,0,],8,362,[,105,187,0,60,9,0,1,],8,6,52.451,20.652,104,2013,2020,PL,,MODLIN,,121056-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/121150-99999_fig2.png,121150,99999,5,Gs__,101325,19.4,55.4,34,[,3470,3,7,],4,13,22,31,35,[,0,0,],34,362,[,108,223,0,28,3,0,0,],2,2,54.583,16.867,11,1987,2020,PL,,USTKA,,121150-99999_fig2.png
