URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/783842-99999_fig2.png,783842,99999,0,__Ac,101220,19.4,55.4,14,[,0,1422,6512,],5,13,20,25,36,[,237,1,],14,351,[,0,0,0,0,18,0,333,],351,351,8.967,-79.55,10,2006,2020,PM,,MARCOS A GELABERT I,,783842-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787920-99999_fig2.png,787920,99999,0,__Ac,100790,19.4,55.6,32,[,0,1100,5982,],2,11,18,27,37,[,266,4,],32,362,[,0,0,0,0,95,0,267,],361,362,9.071,-79.383,41,1987,2020,PM,,TOCUMEN INTL,,787920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787930-99999_fig2.png,787930,99999,0,__Ac,100748,19.4,55.6,33,[,0,1345,6043,],1,9,19,25,41,[,266,3,],32,336,[,0,0,0,0,35,0,301,],335,336,8.391,-82.435,27,1987,2020,PM,,ENRIQUE MALEK INTL,,787930-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787935-99999_fig2.png,787935,99999,3,__Ac,101289,19.4,55.4,9,[,0,261,1277,],1,3,5,6,8,[,31,0,],22,78,[,0,0,0,0,22,0,56,],75,78,9.341,-82.251,3,2007,2012,PM,,BOCAS DEL TORO INTL,,787935-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787945-99999_fig2.png,787945,99999,2,__Ac,101255,19.4,55.4,7,[,0,682,3438,],2,7,13,17,24,[,114,0,],3,212,[,0,0,0,0,75,0,137,],202,212,9.459,-82.517,6,2007,2008,PM,,CAP MANUEL NINO INTL,,787945-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787950-99999_fig2.png,787950,99999,0,__Ac,100050,19.4,55.9,34,[,0,1315,5458,],1,9,21,28,40,[,270,3,],15,338,[,0,0,0,0,74,0,264,],335,338,8.086,-80.945,83,1988,2017,PM,,RUBEN CANTU,,787950-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787955-99999_fig2.png,787955,99999,2,__Ac,101169,19.4,55.4,9,[,0,821,3899,],1,5,9,11,18,[,156,4,],4,233,[,0,0,0,0,46,0,187,],228,233,8.917,-79.6,13,2016,2020,PM,,PANAMA PACIFICO,,787955-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/787957-99999_fig2.png,787957,99999,3,__Ac,91424,19.4,59.4,4,[,0,122,666,],0,1,2,2,3,[,21,0,],11,33,[,0,0,0,0,2,0,31,],33,33,8.383,-80.133,859,2017,2017,PM,,COCLE/CAP SCARLETT MARTINEZ A,,787957-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/788060-99999_fig2.png,788060,99999,1,__Ac,101169,19.4,55.4,12,[,0,1128,5612,],2,12,17,23,33,[,242,3,],9,324,[,0,0,0,0,59,0,265,],324,324,8.917,-79.6,13,1992,2002,PM,,HOWARD,,788060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/788067-99999_fig2.png,788067,99999,0,__Ac,101169,19.4,55.4,15,[,0,1437,6669,],3,13,19,24,35,[,218,2,],10,345,[,0,0,0,0,27,0,318,],344,345,8.983,-79.517,13,1987,2000,PM,,MARCOS A. GELABERT,,788067-99999_fig2.png
