URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/080001-99999_fig2.png,80001,99999,3,HpVt,100624,19.4,55.6,16,[,271,19,67,],12,16,21,27,33,[,0,0,],16,364,[,0,148,0,182,32,2,0,],16,26,32.698,-16.774,58,2005,2020,PO,,MADEIRA,,080001-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085010-99999_fig2.png,85010,99999,3,HpVt,101757,19.4,55.2,33,[,559,13,285,],5,14,19,24,31,[,0,0,],29,363,[,0,202,0,99,62,0,0,],17,62,39.455,-31.131,34,1987,2020,PO,,FLORES,,085010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085020-99999_fig2.png,85020,99999,3,HpVt,102056,19.4,55.1,12,[,348,7,369,],6,10,12,15,20,[,0,0,],4,271,[,0,149,0,64,58,0,0,],11,58,39.67,-31.12,26,2017,2020,PO,,CORVO ISLAND AZORES,,085020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085050-99999_fig2.png,85050,99999,3,HpVt,100830,19.4,55.6,34,[,518,5,300,],7,12,17,22,30,[,0,0,],31,364,[,0,205,0,99,60,0,0,],10,60,38.52,-28.716,36,1987,2020,PO,,HORTA,,085050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085060-99999_fig2.png,85060,99999,3,HpVt,101628,19.4,55.3,20,[,382,0,141,],4,7,10,14,18,[,0,0,],26,226,[,0,136,0,56,34,0,0,],1,35,38.517,-28.633,62,1999,2020,PO,,HORTA (ACORES),,085060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085070-99999_fig2.png,85070,99999,3,____,101868,19.4,55.2,0,[,500,1,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],1,365,[,NaN,223,NaN,133,9,NaN,NaN,],4,5,39.1,-28.033,26,2019,2019,PO,,GRACIOSA AERODROME,,085070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085090-99999_fig2.png,85090,99999,3,HpVt,101635,19.4,55.3,34,[,624,6,202,],5,13,19,25,31,[,0,0,],34,364,[,0,214,0,100,50,0,0,],9,50,38.762,-27.091,55,1987,2020,PO,,LAJES,,085090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085095-99999_fig2.png,85095,99999,3,HpVt,100191,19.4,55.8,12,[,378,11,146,],7,11,14,18,22,[,0,0,],8,244,[,0,136,0,75,33,0,0,],13,32,38.666,-28.176,95,2011,2020,PO,,SAO JORGE,,085095-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085110-99999_fig2.png,85110,99999,3,HpVt,101205,19.4,55.4,18,[,644,1,155,],7,12,16,23,29,[,0,0,],16,353,[,0,212,4,94,43,0,0,],3,43,38.667,-27.217,76,1999,2020,PO,,ANGRA DO HEROISMO (ACORES),,085110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085120-99999_fig2.png,85120,99999,3,HpVt,100461,19.4,55.7,31,[,595,0,170,],5,11,15,21,27,[,0,0,],28,338,[,0,205,0,94,39,0,0,],1,39,37.741,-25.698,79,1987,2020,PO,,PONTA DELGADA,,085120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085125-99999_fig2.png,85125,99999,3,HpVt,101840,19.4,55.2,13,[,371,17,219,],6,12,16,20,27,[,0,0,],11,277,[,0,140,0,88,49,0,0,],19,48,38.554,-28.441,33,2008,2020,PO,,PICO,,085125-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085150-99999_fig2.png,85150,99999,3,HpVt,100131,19.4,55.8,33,[,548,2,219,],6,13,17,23,30,[,0,0,],33,364,[,0,206,0,107,51,0,0,],6,51,36.971,-25.171,94,1987,2020,PO,,SANTA MARIA,,085150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085155-99999_fig2.png,85155,99999,3,HpVt,101011,19.4,55.5,10,[,470,18,313,],7,14,18,21,27,[,0,0,],2,314,[,0,180,0,79,55,0,0,],19,55,39.092,-28.03,26,2011,2012,PO,,GRACIOSA,,085155-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085210-99999_fig2.png,85210,99999,3,HpVt,101397,19.4,55.4,34,[,282,14,72,],11,16,21,27,33,[,0,0,],34,364,[,0,154,0,178,32,1,0,],13,28,32.683,-16.767,58,1987,2020,PO,,FUNCHAL/S.CATARINA,,085210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085220-99999_fig2.png,85220,99999,3,HpVt,101393,19.4,55.4,23,[,148,9,70,],9,12,16,20,25,[,0,0,],31,258,[,0,98,0,130,30,0,0,],12,28,32.633,-16.9,56,1998,2020,PO,,FUNCHAL,,085220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085240-99999_fig2.png,85240,99999,3,HpVt,100343,19.4,55.8,34,[,330,3,133,],8,14,19,25,32,[,0,0,],34,364,[,0,169,0,153,42,0,0,],4,42,33.073,-16.35,104,1987,2020,PO,,PORTO SANTO,,085240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085300-99999_fig2.png,85300,99999,3,Hp__,101164,19.4,55.5,22,[,904,0,8,],8,10,15,20,22,[,0,0,],11,302,[,0,238,0,58,6,0,0,],0,5,39.35,-9.4,34,1987,2009,PO,,CABO CARVOEIRO,,085300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085310-99999_fig2.png,85310,99999,3,Hp__,101669,19.4,55.3,7,[,685,0,3,],5,4,8,11,12,[,0,0,],5,264,[,0,193,0,68,3,0,0,],0,4,39.35,-9.4,34,2008,2015,PO,,CABO CARVOEIRO,,085310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/085320-99999_fig2.png,85320,99999,3,HpVt,99799,19.4,56,24,[,774,21,9,],6,6,18,23,26,[,0,0,],19,243,[,0,156,0,75,10,1,1,],10,5,38.831,-9.34,134,1998,2010,PO,,SINTRA,,085320-99999_fig2.png
