URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/920030-99999_fig2.png,920030,99999,1,__Ac,100844,19.4,55.6,11,[,0,999,6188,],3,13,17,21,30,[,139,0,],2,339,[,0,0,0,0,103,0,236,],337,338,-9.083,143.2,9,1999,2000,PP,,DARU W.O.,,920030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/920040-99999_fig2.png,920040,99999,0,__Ac,100808,19.4,55.6,21,[,0,1237,7361,],2,10,17,22,31,[,266,1,],2,352,[,0,0,0,0,10,0,342,],351,352,-3.584,143.669,6,1999,2000,PP,,WEWAK INTL,,920040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/920140-99999_fig2.png,920140,99999,3,__Ac,100912,19.4,55.5,10,[,0,130,708,],0,1,2,2,3,[,26,0,],10,34,[,0,0,0,0,1,0,33,],34,34,-5.207,145.789,6,1999,1999,PP,,MADANG,,920140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/920145-99999_fig2.png,920145,99999,3,____,83090,19.4,63.5,4,[,1,0,0,],0,0,0,0,0,[,0,0,],16,20,[,0,1,0,19,0,0,0,],0,0,-5.827,144.296,1642,2018,2018,PP,,MOUNT HAGEN,,920145-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/920148-99999_fig2.png,920148,99999,1,__Ac,101281,19.4,55.4,12,[,0,1074,5596,],6,11,15,19,22,[,215,0,],5,298,[,0,0,0,0,16,0,282,],298,298,-2.062,147.424,4,2005,2010,PP,,MOMOTE,,920148-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/920350-99999_fig2.png,920350,99999,1,__Ac,100353,19.4,55.7,23,[,0,1061,5991,],3,12,18,25,35,[,212,0,],23,348,[,0,0,0,1,103,0,244,],343,346,-9.443,147.22,44,1998,2020,PP,,PORT MORESBY JACKSONS INTL,,920350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/920360-99999_fig2.png,920360,99999,0,____,101313,19.4,55.4,0,[,0,1172,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],7,347,[,NaN,NaN,NaN,NaN,NaN,NaN,NaN,],347,347,-2.417,147.383,1,2004,2010,PP,,LOMBRUM  MANUS ISLAND,,920360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/920440-99999_fig2.png,920440,99999,0,__Ac,100848,19.4,55.6,20,[,0,1312,7323,],1,12,18,22,29,[,292,0,],8,348,[,0,0,0,0,11,0,337,],348,348,-2.05,147.417,4,2000,2010,PP,,MOMOTE W.O.,,920440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/920470-99999_fig2.png,920470,99999,2,__Ac,100445,19.4,55.7,21,[,0,1083,3807,],4,9,15,19,26,[,137,2,],3,262,[,0,0,0,0,68,0,194,],259,262,-6.57,146.726,73,2018,2020,PP,,NADZAB,,920470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/920760-99999_fig2.png,920760,99999,1,__Ac,100817,19.4,55.6,22,[,0,1245,6960,],2,11,17,21,27,[,263,0,],2,323,[,0,0,0,0,4,0,319,],323,323,-2.567,150.817,4,1999,2000,PP,,KAVIENG W.O.,,920760-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/920870-99999_fig2.png,920870,99999,1,__Ac,100868,19.4,55.6,16,[,0,1022,6419,],0,12,16,19,31,[,178,0,],1,304,[,0,0,0,0,45,0,259,],304,304,-10.683,152.833,7,2000,2000,PP,,MISIMA W.O.,,920870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/940030-99999_fig2.png,940030,99999,1,__Ac,100848,19.4,55.6,5,[,0,979,5861,],5,13,17,20,28,[,108,0,],1,305,[,0,0,0,0,56,0,249,],305,305,-9.067,143.2,4,1996,1996,PP,,DARU W.O.,,940030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/940350-99999_fig2.png,940350,99999,1,__Ac,100242,19.4,55.8,10,[,0,875,5229,],2,13,19,25,36,[,134,1,],8,356,[,0,0,0,1,183,0,172,],348,354,-9.433,147.217,28,1989,1996,PP,,PORT MORESBY W.O.,,940350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/940440-99999_fig2.png,940440,99999,1,__Ac,100775,19.4,55.6,10,[,0,1200,6802,],2,13,17,21,27,[,209,0,],2,322,[,0,0,0,0,6,0,316,],322,322,-2.067,147.433,4,1993,1996,PP,,MOMOTE/MANUS ISLAND,,940440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/940760-99999_fig2.png,940760,99999,3,__Ac,100871,19.4,55.6,6,[,0,371,2239,],1,3,6,7,10,[,79,0,],6,106,[,0,0,0,0,3,0,103,],106,106,-2.567,150.817,7,1993,1996,PP,,KAVIENG W.O.,,940760-99999_fig2.png
