URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/411600-99999_fig2.png,411600,99999,1,HpAc,100887,19.4,55.6,9,[,20,1606,4808,],5,20,25,28,46,[,149,102,],3,341,[,0,20,0,89,46,5,181,],225,212,26.15,51.2,6,2018,2020,QA,,AI RUWAIS,,411600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411610-99999_fig2.png,411610,99999,1,HpAc,100855,19.4,55.6,7,[,54,1692,2875,],4,17,28,36,56,[,149,100,],1,321,[,0,31,0,70,42,25,153,],215,172,25.617,51.517,11,2018,2018,QA,,AL KHOR AIRPORT,,411610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411670-99999_fig2.png,411670,99999,1,HpAc,100889,19.4,55.6,9,[,71,1599,3740,],8,21,28,33,50,[,151,91,],4,334,[,0,38,0,73,45,8,170,],217,198,25.4,50.75,5,2012,2020,QA,,DUKHAN,,411670-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411680-99999_fig2.png,411680,99999,3,__Ac,101277,19.4,55.4,6,[,7,185,444,],0,2,3,3,5,[,16,8,],30,35,[,0,4,0,8,3,0,20,],23,22,25.3,51.55,4,1987,1989,QA,,DOHA PORT,,411680-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411700-99999_fig2.png,411700,99999,0,HpAc,101200,19.4,55.4,34,[,60,1995,3675,],8,21,28,36,54,[,177,113,],34,363,[,0,33,0,83,40,18,189,],240,213,25.261,51.565,11,1987,2020,QA,,DOHA INTL,,411700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411703-99999_fig2.png,411703,99999,0,HpAc,101316,19.4,55.4,6,[,41,1971,3539,],13,23,30,36,54,[,165,109,],6,361,[,0,27,0,92,36,16,190,],237,209,25.267,51.6,4,2015,2020,QA,,DOHA,,411703-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411705-99999_fig2.png,411705,99999,0,HpAc,100850,19.4,55.6,14,[,97,1956,1978,],8,22,31,39,51,[,159,95,],13,336,[,0,44,0,68,33,42,149,],222,160,25.117,51.315,40,2006,2020,QA,,AL UDEID AB,,411705-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411710-99999_fig2.png,411710,99999,3,HpAc,100822,19.4,55.6,4,[,37,822,1194,],7,11,14,18,28,[,72,33,],2,156,[,0,20,0,41,10,12,72,],96,76,25.383,51.483,12,2014,2014,QA,,QATAR UNIVERSITY,,411710-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411750-99999_fig2.png,411750,99999,1,HpAc,100502,19.4,55.7,4,[,141,1571,1133,],15,27,36,43,55,[,120,45,],1,301,[,0,51,0,65,21,53,111,],184,114,25,51.033,49,2014,2014,QA,,AL KARANA,,411750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411760-99999_fig2.png,411760,99999,3,__Ac,100857,19.4,55.6,9,[,4,166,348,],0,2,2,3,5,[,14,11,],23,30,[,0,2,0,7,4,1,16,],21,19,24.95,51.567,5,2019,2020,QA,,UMM SAID,,411760-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411770-99999_fig2.png,411770,99999,1,HpAc,100512,19.4,55.7,3,[,136,1581,1405,],11,24,33,41,54,[,131,54,],2,320,[,0,50,0,68,37,56,110,],200,126,24.717,51.217,41,2012,2014,QA,,TURAYNA,,411770-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/411780-99999_fig2.png,411780,99999,1,HpAc,100884,19.4,55.6,9,[,75,1710,3263,],6,21,30,36,54,[,158,96,],3,341,[,0,37,0,75,43,14,172,],225,198,24.75,50.817,8,2018,2020,QA,,ABU SAMRA,,411780-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/692314-99999_fig2.png,692314,99999,3,__Ev,100897,19.4,55.5,7,[,51,119,3,],3,3,3,4,4,[,5,1,],15,24,[,0,8,0,3,2,9,2,],13,2,25.15,51.333,36,2008,2008,QA,,AL UDEID AB / TEST,,692314-99999_fig2.png
