URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/130670-99999_fig2.png,130670,99999,4,GsVt,100539,19.4,55.7,33,[,2709,60,51,],9,16,29,36,41,[,2,0,],33,352,[,80,170,0,70,24,2,5,],30,16,46.1,19.767,105,1987,2020,RI,,PALIC,,130670-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131600-99999_fig2.png,131600,99999,4,GsVt,100720,19.4,55.6,33,[,2640,47,39,],10,13,28,37,41,[,2,0,],34,345,[,76,170,0,71,22,2,4,],26,13,45.767,19.15,89,1987,2020,RI,,SOMBOR,,131600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131680-99999_fig2.png,131680,99999,4,GsVt,100741,19.4,55.6,33,[,2597,54,86,],7,12,27,35,40,[,4,0,],33,349,[,80,166,0,71,25,1,5,],28,21,45.333,19.85,87,1988,2020,RI,,NOVI SAD RIMSKI SANCEVI,,131680-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131730-99999_fig2.png,131730,99999,4,GsVt,100780,19.4,55.6,31,[,2411,67,73,],8,13,26,34,39,[,4,0,],33,328,[,72,156,0,67,25,2,6,],29,20,45.367,20.417,82,1990,2020,RI,,ZRENJANIN,,131730-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131740-99999_fig2.png,131740,99999,4,GsVt,100785,19.4,55.6,33,[,2636,61,54,],10,14,28,36,41,[,3,0,],33,348,[,82,164,0,70,25,2,5,],30,16,45.85,20.467,82,1988,2020,RI,,KIKINDA,,131740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131800-99999_fig2.png,131800,99999,4,GsVt,100709,19.4,55.6,28,[,2520,56,84,],5,12,26,35,41,[,5,0,],29,346,[,75,164,0,73,28,2,5,],29,22,45.05,21.033,91,1992,2020,RI,,BANATSKI KARLOVAC,,131800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131830-99999_fig2.png,131830,99999,4,GsEv,100310,19.4,55.8,33,[,2489,85,55,],6,20,29,36,42,[,2,0,],33,349,[,68,174,0,72,24,5,6,],33,17,45.147,21.31,84,1987,2020,RI,,VRSAC,,131830-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/132620-99999_fig2.png,132620,99999,4,GsVt,100334,19.4,55.8,33,[,2516,49,86,],6,13,26,35,41,[,5,0,],34,351,[,73,176,0,72,25,1,4,],26,22,44.55,19.233,122,1987,2020,RI,,LOZNICA,,132620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/132660-99999_fig2.png,132660,99999,4,GsVt,100806,19.4,55.6,33,[,2624,42,72,],5,12,26,35,40,[,4,0,],34,348,[,82,166,0,71,25,1,3,],24,20,45.1,19.55,83,1987,2020,RI,,SREMSKA MITROVICA,,132660-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/132690-99999_fig2.png,132690,99999,4,GsVt,99701,19.4,56,33,[,2561,52,68,],7,12,27,35,41,[,4,0,],32,350,[,74,175,0,70,25,2,5,],27,19,44.317,19.917,177,1989,2020,RI,,VALJEVO,,132690-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/132720-99999_fig2.png,132720,99999,4,GsEv,100140,19.4,55.8,34,[,2625,79,81,],7,14,29,37,43,[,4,0,],34,364,[,79,173,0,73,28,3,7,],34,23,44.818,20.309,102,1987,2020,RI,,BEOGRAD,,132720-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/132725-99999_fig2.png,132725,99999,4,GsVt,100358,19.4,55.7,12,[,2602,68,94,],6,12,27,36,42,[,5,0,],12,363,[,77,172,0,74,31,2,6,],33,25,44.935,20.258,81,2009,2020,RI,,BEOGRAD/BATAJNICA,,132725-99999_fig2.png
