URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/150000-99999_fig2.png,150000,99999,4,GsVt,98716,19.4,56.4,5,[,2120,12,15,],1,3,6,8,9,[,0,0,],13,220,[,31,137,0,35,17,0,0,],8,14,48.2,26.583,260,1988,2020,RO,,DARABANI,,150000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150001-99999_fig2.png,150001,99999,4,GsEv,100094,19.4,55.8,12,[,2689,102,55,],11,16,31,37,42,[,1,0,],12,356,[,74,158,0,75,36,6,7,],48,17,45.21,26.97,103,2009,2020,RO,,BOBOC AIR BASE,,150001-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150002-99999_fig2.png,150002,99999,3,GsEv,100678,19.4,55.6,10,[,1870,89,60,],6,11,21,27,31,[,3,0,],7,254,[,59,102,0,56,26,5,7,],37,15,44.383,27.717,54,2009,2020,RO,,BORCEA FETESTI AIR BASE,,150002-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150010-99999_fig2.png,150010,99999,5,GsVt,98762,19.4,56.3,1,[,3615,17,89,],0,8,21,30,36,[,1,0,],1,351,[,142,155,0,40,14,0,0,],9,17,48.017,26.95,240,1987,1997,RO,,AVRAMENI,,150010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150040-99999_fig2.png,150040,99999,4,Gs__,98519,19.4,56.4,27,[,2646,7,12,],5,2,19,26,28,[,0,0,],31,281,[,81,147,0,46,7,0,0,],6,4,47.933,23.9,276,1987,2020,RO,,SIGHETUL MARMATIEI,,150040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150070-99999_fig2.png,150070,99999,4,Gs__,97143,19.4,57,10,[,2416,3,4,],2,1,10,14,15,[,0,0,],17,231,[,49,144,0,33,5,0,0,],2,4,47.833,25.9,391,1987,2020,RO,,RADAUTI,,150070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150090-99999_fig2.png,150090,99999,5,____,98638,19.4,56.4,0,[,3439,23,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],11,343,[,NaN,261,NaN,62,21,NaN,NaN,],11,17,47.967,26.4,241,1987,1998,RO,,DOROHOI,,150090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150100-99999_fig2.png,150100,99999,5,GsVt,99842,19.4,55.9,33,[,3135,28,47,],4,11,26,36,40,[,2,0,],33,364,[,101,177,0,66,18,0,2,],17,14,47.703,22.886,126,1987,2020,RO,,SATU MARE,,150100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150110-99999_fig2.png,150110,99999,5,____,NaN,19.4,NaN,2,[,3093,28,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],4,342,[,NaN,264,NaN,43,35,NaN,NaN,],14,32,NaN,NaN,0,1987,1990,RO,,BOGUS ROMANIAN,,150110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150140-99999_fig2.png,150140,99999,4,GsVt,98947,19.4,56.3,22,[,3078,28,45,],8,13,27,36,40,[,1,0,],22,358,[,93,181,0,62,18,1,2,],16,15,47.658,23.47,184,1987,2020,RO,,TAUTII MAGHERAUS,,150140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150150-99999_fig2.png,150150,99999,5,Gs__,95828,19.4,57.5,20,[,3468,7,3,],5,NaN,26,35,36,[,0,0,],17,356,[,91,211,0,47,7,0,0,],5,5,47.733,23.95,503,1987,2020,RO,,OCNA SUGATAG,,150150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150200-99999_fig2.png,150200,99999,5,GsVt,99810,19.4,55.9,28,[,3305,22,49,],6,11,26,35,41,[,3,0,],28,364,[,95,184,0,67,17,0,2,],14,13,47.733,26.65,163,1987,2020,RO,,BOTOSANI,,150200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150230-99999_fig2.png,150230,99999,5,GsVt,97194,19.4,57,23,[,3564,11,21,],8,11,26,34,36,[,0,0,],23,359,[,111,181,0,54,11,0,1,],8,7,47.688,26.354,419,1987,2020,RO,,STEFAN CEL MARE,,150230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150250-99999_fig2.png,150250,99999,3,GsVt,100395,19.4,55.7,10,[,1854,20,28,],2,4,9,12,14,[,1,0,],17,205,[,39,109,0,37,18,1,1,],11,16,47.833,27.217,110,1987,2020,RO,,STANCA STEFANESTI,,150250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150330-99999_fig2.png,150330,99999,5,Gs__,82013,19.4,64.1,9,[,3733,0,0,],0,0,0,0,0,[,0,0,],16,228,[,65,162,0,1,0,0,0,],0,0,47.6,24.65,1786,1987,2020,RO,,IEZER,,150330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150400-99999_fig2.png,150400,99999,5,Gs__,93785,19.4,58.3,2,[,4011,5,0,],0,NaN,NaN,NaN,NaN,[,0,0,],1,346,[,129,193,0,19,4,0,0,],3,5,47.533,25.567,660,1987,1998,RO,,CIMPULUNG MOLDOVENE,,150400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150410-99999_fig2.png,150410,99999,5,GsVt,100758,19.4,55.6,2,[,3404,25,66,],0,9,24,33,41,[,1,0,],1,349,[,123,161,0,42,22,0,1,],13,27,47.567,27.2,61,1987,1998,RO,,RAUSENI,,150410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/150420-99999_fig2.png,150420,99999,3,GsVt,100242,19.4,55.8,12,[,1856,34,45,],2,6,12,16,18,[,2,0,],18,226,[,39,126,0,41,16,1,3,],15,14,47.35,22.1,113,1987,2020,RO,,SACUIENI,,150420-99999_fig2.png
