URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/981320-99999_fig2.png,981320,99999,2,__Ac,99844,19.4,55.9,28,[,1,602,4829,],0,6,12,16,25,[,124,11,],31,279,[,0,2,0,24,98,0,155,],203,254,20.8,121.85,124,1995,2020,RP,,ITBAYAT,,981320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/981330-99999_fig2.png,981330,99999,3,__Ac,101169,19.4,55.4,20,[,0,277,2037,],0,2,4,6,8,[,62,22,],11,88,[,0,0,0,1,22,0,65,],77,87,19.267,121.467,13,2015,2017,RP,,CALAYAN,,981330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/981340-99999_fig2.png,981340,99999,1,__Ac,99337,19.4,56.1,17,[,2,701,5424,],0,9,16,20,32,[,135,1,],17,353,[,0,3,0,38,132,0,180,],254,312,20.433,121.967,167,2003,2020,RP,,BASCO RADAR,,981340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/981350-99999_fig2.png,981350,99999,1,__Ac,100264,19.4,55.8,15,[,0,1022,6613,],0,9,16,21,34,[,193,35,],9,348,[,0,0,0,20,113,0,215,],289,328,20.451,121.98,89,1990,2000,RP,,BASCO,,981350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/982220-99999_fig2.png,982220,99999,1,__Ac,100630,19.4,55.6,28,[,0,995,5542,],0,8,15,21,32,[,208,5,],28,304,[,0,0,0,3,79,0,222,],297,300,17.555,120.356,5,1995,2020,RP,,VIGAN,,982220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/982230-99999_fig2.png,982230,99999,0,__Ac,101260,19.4,55.4,33,[,0,1306,6788,],0,7,17,24,37,[,262,45,],34,349,[,0,0,0,4,77,0,268,],339,343,18.178,120.532,8,1987,2020,RP,,LAOAG INTL,,982230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/982320-99999_fig2.png,982320,99999,1,__Ac,101112,19.4,55.5,32,[,0,1129,7340,],0,9,16,23,32,[,238,52,],27,349,[,0,0,0,1,88,0,260,],321,348,18.367,121.633,3,1991,2020,RP,,APARRI,,982320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/982330-99999_fig2.png,982330,99999,1,__Ac,100580,19.4,55.7,33,[,0,1049,5384,],0,10,19,27,35,[,217,57,],27,339,[,0,0,0,6,136,0,197,],295,333,17.638,121.731,21,1989,2020,RP,,TUGUEGARAO,,982330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/983240-99999_fig2.png,983240,99999,0,__Ac,100953,19.4,55.5,33,[,1,1229,6877,],0,9,18,24,36,[,258,18,],26,355,[,0,1,0,3,75,0,276,],342,350,15.333,119.967,5,1990,2020,RP,,IBA/LUZON ISLAND,,983240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/983250-99999_fig2.png,983250,99999,0,__Ac,101300,19.4,55.4,34,[,0,1318,7909,],0,7,16,24,35,[,301,67,],34,355,[,0,0,0,0,52,0,303,],353,355,16.083,120.35,2,1987,2020,RP,,DAGUPAN,,983250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/983270-99999_fig2.png,983270,99999,2,__Ac,99343,19.4,56.1,24,[,0,742,3683,],2,8,14,19,28,[,141,6,],31,258,[,0,0,0,6,102,0,150,],247,249,15.186,120.56,148,1987,2020,RP,,CLARK INTL,,983270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/983275-99999_fig2.png,983275,99999,3,__Ac,99524,19.4,56.1,4,[,0,386,1971,],2,5,8,12,16,[,67,0,],7,152,[,0,0,0,6,71,0,76,],142,145,15.183,120.55,151,2003,2008,RP,,CLARK INTL,,983275-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/983280-99999_fig2.png,983280,99999,3,HpVt,85150,19.4,62.4,34,[,100,0,25,],1,NaN,17,28,33,[,0,0,],34,359,[,0,92,0,249,18,0,0,],0,18,16.375,120.62,1296,1987,2020,RP,,BAGUIO,,983280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/983290-99999_fig2.png,983290,99999,1,__Ac,100420,19.4,55.7,15,[,0,1063,6469,],0,8,17,26,35,[,267,46,],11,335,[,0,0,0,0,82,0,253,],331,334,15.733,120.933,76,1989,2002,RP,,MUNOZ,,983290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/983300-99999_fig2.png,983300,99999,0,__Ac,100673,19.4,55.6,28,[,0,1203,7719,],0,7,15,25,35,[,309,115,],22,352,[,0,0,0,0,58,0,294,],345,351,15.467,120.95,32,1996,2018,RP,,CABANATUAN,,983300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/983330-99999_fig2.png,983330,99999,1,__Ac,100930,19.4,55.5,9,[,0,1058,6190,],0,8,18,26,34,[,226,31,],7,344,[,0,0,0,1,126,0,217,],323,343,15.73,121.5,33,1987,1994,RP,,BALER,,983330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/983340-99999_fig2.png,983340,99999,1,__Ac,99094,19.4,56.2,24,[,0,816,6535,],0,9,15,23,32,[,219,9,],12,350,[,0,0,0,3,116,0,231,],308,348,15.75,121.633,178,2008,2020,RP,,BALER RADAR,,983340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/983360-99999_fig2.png,983360,99999,1,__Ac,101063,19.4,55.5,33,[,0,968,7253,],0,6,15,22,32,[,242,51,],18,349,[,0,0,0,2,94,0,253,],313,347,16.267,122.133,4,1994,2020,RP,,CASIGURAN,,983360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984250-99999_fig2.png,984250,99999,0,__Ac,100877,19.4,55.6,33,[,0,1581,7110,],1,14,20,25,36,[,256,20,],28,354,[,0,0,0,0,37,0,317,],354,354,14.583,120.983,13,1990,2020,RP,,MANILA,,984250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984260-99999_fig2.png,984260,99999,0,__Ac,101100,19.4,55.5,4,[,0,1342,5566,],6,14,21,27,39,[,219,4,],4,365,[,0,0,0,0,81,0,284,],365,359,14.794,120.271,20,2001,2004,RP,,SUBIC BAY INTL,,984260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984270-99999_fig2.png,984270,99999,1,__Ac,99256,19.4,56.2,34,[,0,830,6403,],0,9,16,23,32,[,210,5,],30,355,[,0,0,0,0,127,0,228,],328,354,14.017,121.6,158,1987,2020,RP,,TAYABAS,,984270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984280-41224_fig2.png,984280,41224,0,__Ac,101280,19.4,55.4,11,[,0,1609,7698,],0,13,19,24,34,[,278,40,],9,349,[,0,0,0,0,26,0,323,],349,349,14.5,120.9,4,1987,1999,RP,,SANGLEY POINT,,984280-41224_fig2.png
https://bioclimatic.github.io/predilection/psych/984280-99999_fig2.png,984280,99999,0,__Ac,100998,19.4,55.5,20,[,0,1660,8612,],2,12,17,23,31,[,305,80,],18,359,[,0,0,0,0,23,0,336,],359,359,14.495,120.904,2,2002,2020,RP,,SANGLEY POINT AB,,984280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984290-99999_fig2.png,984290,99999,0,__Ac,101140,19.4,55.5,34,[,0,1419,6984,],1,12,19,25,36,[,267,25,],34,364,[,0,0,0,0,64,0,300,],362,363,14.509,121.02,23,1987,2020,RP,,NINOY AQUINO INTL,,984290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984300-99999_fig2.png,984300,99999,0,__Ac,100533,19.4,55.7,33,[,0,1201,6188,],0,10,18,25,36,[,255,20,],29,344,[,0,0,0,0,78,0,266,],339,343,14.65,121.05,46,1989,2020,RP,,SCIENCE GARDEN,,984300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984310-99999_fig2.png,984310,99999,0,__Ac,100586,19.4,55.7,34,[,0,1128,7581,],0,7,16,23,31,[,283,26,],32,353,[,0,0,0,0,50,0,303,],350,353,13.417,121.183,41,1989,2020,RP,,CALAPAN/MINDORO ISL,,984310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984320-99999_fig2.png,984320,99999,0,__Ac,100890,19.4,55.5,34,[,0,1299,7339,],0,9,17,24,33,[,273,49,],24,344,[,0,0,0,0,58,0,286,],342,344,14.083,121.05,11,1990,2020,RP,,AMBULONG,,984320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984330-99999_fig2.png,984330,99999,3,__Vt,93902,19.4,58.3,18,[,0,41,1536,],0,5,8,12,17,[,5,0,],29,186,[,0,0,0,15,169,0,2,],49,171,14.583,121.367,651,2006,2020,RP,,TANAY,,984330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984340-99999_fig2.png,984340,99999,0,__Ac,101019,19.4,55.5,34,[,0,1153,7776,],0,8,15,22,31,[,256,47,],27,353,[,0,0,0,0,58,0,295,],341,353,14.75,121.65,7,1990,2020,RP,,INFANTA,,984340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984350-99999_fig2.png,984350,99999,1,__Ac,101009,19.4,55.5,34,[,0,1121,7299,],0,8,16,22,30,[,243,22,],27,345,[,0,0,0,0,60,0,285,],341,345,14.1,122.017,5,1990,2020,RP,,ALABAT,,984350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984400-99999_fig2.png,984400,99999,0,__Ac,101005,19.4,55.5,34,[,0,1222,8633,],0,7,14,20,30,[,281,54,],34,354,[,0,0,0,0,34,0,320,],351,354,14.129,122.98,3,1987,2020,RP,,DAET,,984400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984420-99999_fig2.png,984420,99999,3,__Ac,100905,19.4,55.5,5,[,0,286,1702,],0,2,4,6,8,[,65,11,],12,80,[,0,0,0,0,13,0,67,],80,80,13.583,123.267,35,2004,2006,RP,,PILI,,984420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984440-99999_fig2.png,984440,99999,0,__Ac,100844,19.4,55.6,33,[,0,1229,7830,],1,9,16,22,30,[,271,20,],33,354,[,0,0,0,0,48,0,306,],351,354,13.157,123.746,20,1987,2020,RP,,LEGAZPI,,984440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984460-99999_fig2.png,984460,99999,0,__Ac,100659,19.4,55.6,34,[,0,1165,7961,],0,7,15,21,30,[,270,23,],30,353,[,0,0,0,0,52,0,301,],350,353,13.576,124.206,37,1990,2020,RP,,VIRAC,,984460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/984470-99999_fig2.png,984470,99999,1,__Ac,98337,19.4,56.5,24,[,0,610,6227,],1,10,14,19,31,[,117,1,],11,343,[,0,0,0,0,124,0,219,],305,342,13.654,124.341,233,1990,2011,RP,,CATANDUANES RADAR,,984470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/985260-99999_fig2.png,985260,99999,2,__Ac,100606,19.4,55.7,28,[,0,841,5064,],0,5,10,14,19,[,187,26,],16,208,[,0,0,0,0,6,0,202,],208,208,12.217,120.2,60,1991,2012,RP,,CORON,,985260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/985310-99999_fig2.png,985310,99999,0,__Ac,100932,19.4,55.5,34,[,0,1462,7662,],1,9,17,25,37,[,317,45,],23,355,[,0,0,0,0,19,0,336,],354,354,12.362,121.047,4,1990,2020,RP,,SAN JOSE,,985310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/985360-99999_fig2.png,985360,99999,1,__Ac,99033,19.4,56.2,32,[,0,1057,6630,],3,12,16,21,28,[,179,2,],23,339,[,0,0,0,0,85,0,254,],333,339,12.583,122.283,47,1996,2020,RP,,ROMBLON,,985360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/985380-99999_fig2.png,985380,99999,0,__Ac,100971,19.4,55.5,31,[,0,1310,7760,],1,10,16,21,30,[,282,9,],31,343,[,0,0,0,0,20,0,323,],342,343,11.598,122.752,3,1987,2020,RP,,ROXAS,,985380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/985430-99999_fig2.png,985430,99999,0,__Ac,100942,19.4,55.5,33,[,0,1373,8082,],1,9,16,23,29,[,315,49,],32,346,[,0,0,0,0,17,0,329,],345,346,12.369,123.629,8,1989,2020,RP,,MASBATE,,985430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/985460-99999_fig2.png,985460,99999,0,__Ac,100947,19.4,55.5,34,[,0,1194,7895,],0,7,15,23,31,[,297,30,],28,352,[,0,0,0,0,27,0,325,],351,352,12.502,124.636,2,1990,2020,RP,,CATARMAN,,985460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/985480-99999_fig2.png,985480,99999,0,__Ac,100964,19.4,55.5,34,[,0,1372,7814,],1,9,17,24,33,[,307,49,],28,349,[,0,0,0,0,27,0,322,],348,349,11.783,124.883,5,1989,2020,RP,,CATBALOGAN,,985480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/985500-99999_fig2.png,985500,99999,1,__Ac,100970,19.4,55.5,30,[,0,1151,7318,],0,9,15,21,29,[,268,26,],30,329,[,0,0,0,0,39,0,290,],326,329,11.228,125.028,3,1988,2020,RP,,DANIEL Z ROMUALDEZ,,985500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/985530-99999_fig2.png,985530,99999,3,__Ac,100977,19.4,55.5,20,[,0,608,4429,],0,4,8,12,17,[,170,8,],32,194,[,0,0,0,0,10,0,184,],193,194,11.667,125.45,3,2002,2020,RP,,BORONGAN,,985530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/985580-99999_fig2.png,985580,99999,0,__Ac,100404,19.4,55.7,33,[,0,1250,8679,],0,8,14,20,28,[,286,31,],26,352,[,0,0,0,0,13,0,339,],352,352,11.036,125.742,2,1992,2020,RP,,GUIUAN,,985580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/986180-99999_fig2.png,986180,99999,0,__Ac,101140,19.4,55.5,33,[,0,1332,7479,],2,10,17,24,32,[,312,7,],33,356,[,0,0,0,0,30,0,326,],356,356,9.742,118.759,22,1987,2020,RP,,PUERTO PRINCESA,,986180-99999_fig2.png
