URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/403415-99999_fig2.png,403415,99999,1,HpEv,96303,19.4,57.3,9,[,259,1962,14,],30,40,48,49,52,[,30,0,],8,337,[,0,68,11,47,29,178,4,],212,5,24.061,47.411,427,2006,2013,SA,,AL KHARJ,,403415-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/403560-99999_fig2.png,403560,99999,2,HpEv,91654,19.4,59.3,34,[,1200,710,1,],8,43,43,48,49,[,3,0,],34,364,[,5,158,7,49,42,103,1,],147,1,31.693,38.731,854,1987,2020,SA,,TURAIF,,403560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/403570-99999_fig2.png,403570,99999,2,HpAc,94862,19.4,57.9,34,[,828,1443,117,],19,37,46,51,55,[,52,8,],34,363,[,1,134,3,44,27,127,28,],182,29,30.907,41.138,553,1987,2020,SA,,ARAR,,403570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/403584-99999_fig2.png,403584,99999,2,HpAc,94981,19.4,57.8,5,[,1024,1148,54,],25,43,46,49,53,[,29,0,],4,362,[,1,151,3,43,27,118,19,],165,19,30.967,40.983,542,1987,1990,SA,,ARAR              &,,403584-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/403600-99999_fig2.png,403600,99999,2,HpEv,95412,19.4,57.7,34,[,1011,664,21,],17,19,40,47,51,[,18,1,],34,364,[,1,154,4,56,49,94,6,],150,6,31.412,37.279,510,1987,2020,SA,,GURIAT,,403600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/403610-99999_fig2.png,403610,99999,2,HpEv,93634,19.4,58.4,34,[,737,1358,0,],8,NaN,52,55,56,[,10,0,],34,364,[,0,128,11,40,28,157,0,],185,0,29.785,40.1,689,1987,2020,SA,,AL JOUF,,403610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/403620-99999_fig2.png,403620,99999,1,HpAc,96029,19.4,57.4,34,[,683,1597,47,],19,33,48,52,55,[,58,4,],34,364,[,0,122,3,45,26,152,15,],194,16,29.626,43.491,449,1987,2020,SA,,RAFHA,,403620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/403730-99999_fig2.png,403730,99999,1,HpAc,96991,19.4,57,34,[,519,1963,173,],17,33,44,51,56,[,87,17,],34,364,[,0,106,3,47,24,153,32,],208,33,28.335,46.125,358,1987,2020,SA,,QAISUMAH,,403730-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/403750-99999_fig2.png,403750,99999,2,HpEv,92510,19.4,58.9,34,[,665,1011,3,],8,29,43,50,51,[,9,0,],34,364,[,0,125,10,51,35,141,2,],179,2,28.365,36.619,778,1987,2020,SA,,TABUK,,403750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/403760-99999_fig2.png,403760,99999,3,____,99125,19.4,56.2,1,[,1100,608,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],1,328,[,NaN,221,NaN,25,82,NaN,NaN,],143,23,27.6,38.567,860,1992,1992,SA,,TAYMA,,403760-99999_fig2.png
