URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/681550-99999_fig2.png,681550,99999,2,HpAc,92338,19.4,59,17,[,281,381,340,],8,15,26,37,46,[,27,2,],16,347,[,0,97,5,95,94,34,23,],135,82,-23.683,27.7,839,1998,2020,SF,,ELLISRAS,,681550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681630-99999_fig2.png,681630,99999,3,HpVt,90640,19.4,59.7,6,[,223,90,34,],4,4,11,15,18,[,6,0,],13,163,[,0,60,2,53,39,5,4,],45,23,-23.6,28.383,996,2014,2020,SF,,MARKEN,,681630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681710-99999_fig2.png,681710,99999,3,HpAc,92200,19.4,59,2,[,263,150,771,],0,8,18,31,45,[,22,0,],2,321,[,0,98,0,83,125,4,12,],82,131,-22.683,29.1,839,1999,2001,SF,,ALLDAYS,,681710-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681740-99999_fig2.png,681740,99999,3,HpVt,88176,19.4,60.9,19,[,524,37,11,],8,7,21,29,32,[,0,0,],22,313,[,0,137,3,141,30,2,0,],29,7,-23.867,29.45,1224,1987,2008,SF,,POLOKWANE,,681740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681760-99999_fig2.png,681760,99999,3,HpEv,91669,19.4,59.3,24,[,269,99,68,],6,10,17,25,30,[,12,0,],12,230,[,0,84,1,87,46,9,3,],50,23,-23.15,29.567,897,2012,2020,SF,,MARA,,681760-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681810-99999_fig2.png,681810,99999,2,HpAc,95640,19.4,57.6,5,[,142,449,709,],5,15,26,37,49,[,54,2,],3,319,[,0,69,0,77,105,20,48,],153,144,-22.617,30.167,527,1999,2005,SF,,TSHIPISE,,681810-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681820-99999_fig2.png,681820,99999,3,HpAc,93854,19.4,58.3,25,[,132,147,276,],2,9,18,27,36,[,23,1,],8,252,[,0,67,0,100,68,6,10,],65,57,-23.083,30.283,706,2015,2020,SF,,LEVUBU,,681820-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681830-99999_fig2.png,681830,99999,2,HpAc,94787,19.4,57.9,22,[,206,204,353,],6,14,25,35,45,[,16,0,],20,342,[,0,93,1,131,91,11,15,],93,77,-23.067,30.383,618,1999,2020,SF,,THOHOYANDOU,,681830-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681840-99999_fig2.png,681840,99999,3,HpVt,90979,19.4,59.6,11,[,68,14,26,],1,2,4,6,8,[,0,0,],25,68,[,0,26,0,30,11,1,0,],9,8,-25.1,30.467,1425,2014,2019,SF,,LYDENBURG,,681840-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681850-99999_fig2.png,681850,99999,3,Hp__,86262,19.4,61.8,18,[,584,3,1,],6,5,15,22,22,[,0,0,],8,242,[,0,142,1,96,3,0,0,],3,1,-25.1,30.467,1434,2005,2020,SF,,LYDENBURG,,681850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681860-99999_fig2.png,681860,99999,3,HpVt,93359,19.4,58.5,7,[,99,64,144,],2,4,8,12,17,[,9,0,],17,118,[,0,35,0,43,32,3,5,],29,29,-23.833,30.15,716,2015,2020,SF,,TZANEEN,,681860-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681863-99999_fig2.png,681863,99999,3,HpVt,94510,19.4,58,5,[,184,12,26,],2,5,8,12,15,[,0,0,],11,121,[,0,56,0,50,14,1,0,],9,11,-23.824,30.329,583,2011,2014,SF,,TZANEEN,,681863-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681880-99999_fig2.png,681880,99999,3,HpVt,92383,19.4,59,17,[,391,71,124,],8,14,23,36,43,[,8,0,],8,345,[,0,140,1,128,71,3,2,],47,66,-23.767,30.067,896,2004,2020,SF,,TZANEEN-GRENSHOEK,,681880-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681900-99999_fig2.png,681900,99999,3,HpVt,96190,19.4,57.4,10,[,16,53,330,],0,2,3,5,8,[,10,1,],16,66,[,0,11,0,21,25,0,8,],23,31,-23.937,31.155,436,1998,2000,SF,,PHALABORWA,,681900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681910-99999_fig2.png,681910,99999,2,HpAc,96794,19.4,57.1,12,[,144,328,811,],5,13,24,35,46,[,56,4,],11,351,[,0,76,1,106,118,11,39,],130,151,-23.933,31.15,407,1998,2013,SF,,PHALABORWA,,681910-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681920-99999_fig2.png,681920,99999,3,HpVt,95442,19.4,57.7,4,[,24,35,76,],0,2,3,4,6,[,6,0,],25,43,[,0,11,0,15,12,1,4,],14,13,-22.967,30.5,600,2018,2020,SF,,THOHOYANDOU,,681920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681960-99999_fig2.png,681960,99999,3,HpAc,96508,19.4,57.2,7,[,33,263,381,],3,8,14,21,27,[,35,3,],9,186,[,0,24,0,72,49,12,28,],79,61,-22.683,31.017,457,2016,2020,SF,,PUNDA MARIA,,681960-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682410-99999_fig2.png,682410,99999,3,HpEv,90283,19.4,59.9,7,[,165,184,41,],5,5,13,19,22,[,3,0,],8,186,[,0,58,6,53,47,20,1,],67,17,-24.683,26.2,1027,2014,2018,SF,,MADIKWE GAME RESERVE,,682410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682420-99999_fig2.png,682420,99999,3,HpEv,87645,19.4,61.1,33,[,621,141,6,],8,14,27,37,40,[,0,0,],24,362,[,0,147,13,129,58,15,0,],73,4,-25.798,25.548,1274,1997,2020,SF,,MAFIKENG,,682420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682530-99999_fig2.png,682530,99999,2,HpEv,90804,19.4,59.7,21,[,446,360,190,],8,17,27,38,45,[,15,0,],11,342,[,0,104,5,86,98,40,10,],138,45,-24.583,27.417,977,2005,2020,SF,,THABAZIMBI,,682530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682550-99999_fig2.png,682550,99999,3,HpEv,88972,19.4,60.5,18,[,638,103,56,],7,14,24,36,41,[,1,0,],7,328,[,0,135,6,93,78,14,2,],59,51,-25.65,27.233,1151,2001,2020,SF,,RUSTENBURG,,682550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682570-99999_fig2.png,682570,99999,3,HpEv,89619,19.4,60.2,8,[,160,116,19,],5,3,10,14,16,[,1,1,],13,131,[,0,44,4,38,29,15,1,],44,3,-25.25,27.217,1086,2015,2019,SF,,PILANESBERG,,682570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682580-99999_fig2.png,682580,99999,3,HpVt,88904,19.4,60.5,8,[,151,26,2,],2,0,5,7,7,[,1,0,],32,64,[,0,28,1,22,11,3,0,],13,1,-24.233,28.033,1200,2015,2020,SF,,GOEDEHOOP,,682580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682610-99999_fig2.png,682610,99999,3,HpVt,85259,19.4,62.3,5,[,650,34,0,],0,NaN,NaN,NaN,NaN,[,0,0,],4,359,[,0,166,10,158,23,3,0,],26,0,-25.817,28.25,1517,2014,2017,SF,,BOLEPI HOUSE,,682610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682620-99999_fig2.png,682620,99999,3,HpVt,86533,19.4,61.7,32,[,617,51,8,],8,15,26,36,39,[,0,0,],25,354,[,0,150,5,156,40,3,0,],41,5,-25.733,28.183,1322,1987,2014,SF,,PRETORIA(MET),,682620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682630-99999_fig2.png,682630,99999,3,HpVt,85246,19.4,62.3,27,[,684,21,1,],3,4,18,26,29,[,0,0,],27,330,[,0,162,6,145,16,1,0,],17,1,-25.917,28.217,1500,1995,2020,SF,,PRETORIA/IRENE,,682630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682635-99999_fig2.png,682635,99999,3,HpVt,85842,19.4,62,14,[,394,25,1,],3,0,7,11,12,[,0,0,],26,200,[,0,92,4,80,23,1,0,],18,14,-25.939,27.926,1377,2005,2020,SF,,LANSERIA,,682635-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682640-99999_fig2.png,682640,99999,3,HpVt,84497,19.4,62.7,4,[,136,18,0,],0,0,0,0,0,[,0,0,],16,69,[,0,30,0,27,10,1,0,],11,3,-25.83,28.223,1506,2013,2016,SF,,WATERKLOOF AFB,,682640-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682643-99999_fig2.png,682643,99999,3,HpVt,87202,19.4,61.4,10,[,490,70,3,],10,0,17,24,28,[,0,0,],9,265,[,0,110,4,108,36,6,0,],43,2,-25.654,28.224,1248,2011,2017,SF,,WONDERBOOM,,682643-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682650-99999_fig2.png,682650,99999,3,Hp__,84224,19.4,62.9,1,[,799,1,0,],0,NaN,NaN,NaN,NaN,[,0,0,],1,353,[,0,195,11,142,5,0,0,],5,0,-25.983,28.133,1621,2014,2014,SF,,GRAND CENTRAL,,682650-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682670-99999_fig2.png,682670,99999,3,Hp__,82803,19.4,63.6,22,[,1405,1,0,],0,NaN,NaN,NaN,NaN,[,0,0,],21,354,[,2,275,3,73,1,0,0,],1,0,-26.5,29.983,1766,1999,2020,SF,,ERMELO,,682670-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682671-99999_fig2.png,682671,99999,3,Hp__,83287,19.4,63.4,10,[,1043,2,0,],0,NaN,NaN,NaN,NaN,[,0,0,],10,355,[,1,226,10,115,3,0,0,],3,0,-25.986,28.14,1623,2005,2014,SF,,GRAND CENTRAL,,682671-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682672-99999_fig2.png,682672,99999,3,HpVt,83257,19.4,63.4,14,[,995,8,0,],0,NaN,NaN,NaN,NaN,[,0,0,],12,347,[,0,200,7,128,11,1,0,],8,4,-26.15,28,1626,2005,2019,SF,,JOHANNESBURG B/G,,682672-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682673-99999_fig2.png,682673,99999,3,HpVt,88490,19.4,60.7,2,[,417,21,0,],0,0,0,0,0,[,0,0,],3,180,[,0,89,0,37,54,0,0,],14,54,-25.644,27.271,1128,2005,2007,SF,,RUSTENBURG,,682673-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682674-99999_fig2.png,682674,99999,3,Hp__,83241,19.4,63.4,15,[,1125,2,0,],1,NaN,27,36,37,[,0,0,],10,345,[,1,209,6,126,3,0,0,],3,0,-26.248,28.398,1628,2005,2014,SF,,SPRINGS,,682674-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682677-99999_fig2.png,682677,99999,3,HpVt,88238,19.4,60.9,15,[,691,30,6,],6,17,25,35,37,[,0,0,],15,363,[,0,177,4,157,24,2,0,],24,4,-23.867,29.433,1222,2006,2020,SF,,PIETERSBURG,,682677-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682680-99999_fig2.png,682680,99999,3,HpEv,89205,19.4,60.4,26,[,323,129,33,],6,6,17,25,28,[,7,0,],13,236,[,0,85,6,81,50,12,2,],62,12,-24.9,28.333,1132,2007,2019,SF,,WARMBAD TOWOOMBA,,682680-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682690-99999_fig2.png,682690,99999,3,HpVt,86082,19.4,61.9,7,[,216,21,0,],0,0,0,0,0,[,1,0,],13,119,[,0,54,2,48,13,2,0,],14,3,-25.767,28.2,1439,2014,2020,SF,,PRETORIA-UNISA,,682690-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682710-99999_fig2.png,682710,99999,3,HpEv,89511,19.4,60.2,19,[,393,126,31,],11,16,26,38,43,[,2,0,],12,337,[,0,116,2,134,73,11,1,],73,29,-24.2,29,1097,1998,2020,SF,,KOPANE,,682710-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682720-99999_fig2.png,682720,99999,3,HpEv,91247,19.4,59.5,17,[,199,94,73,],4,7,13,19,23,[,9,0,],16,165,[,0,55,1,57,41,6,4,],48,22,-25.183,29.333,949,2013,2020,SF,,OUDESTAD,,682720-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682730-99999_fig2.png,682730,99999,3,Hp__,85007,19.4,62.5,17,[,809,5,1,],2,NaN,26,38,40,[,0,0,],12,327,[,0,186,6,128,7,0,0,],7,1,-25.833,29.183,1550,2005,2020,SF,,WITBANK,,682730-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682850-99999_fig2.png,682850,99999,3,Hp__,81811,19.4,64.2,4,[,1481,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],2,329,[,0,285,2,40,2,0,0,],1,1,-25.692,30.034,1879,2014,2018,SF,,BELFAST,,682850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682870-99999_fig2.png,682870,99999,3,Hp__,86191,19.4,61.9,13,[,1023,1,4,],4,14,20,31,33,[,0,0,],6,327,[,0,235,1,88,3,0,0,],1,2,-24.933,30.85,1436,2005,2020,SF,,GRASKOP,,682870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682880-99999_fig2.png,682880,99999,3,Hp__,93486,19.4,58.5,8,[,44,5,21,],1,2,3,4,5,[,0,0,],8,37,[,0,15,1,14,7,0,0,],5,6,-25.433,30.983,674,1998,1998,SF,,NELSPRUIT,,682880-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682890-99999_fig2.png,682890,99999,3,HpVt,91981,19.4,59.1,18,[,421,31,82,],6,14,22,32,40,[,1,0,],15,340,[,0,143,3,152,40,1,1,],26,27,-25.433,30.983,883,1999,2020,SF,,NELSPRUIT,,682890-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682900-99999_fig2.png,682900,99999,3,HpAc,95103,19.4,57.8,15,[,38,112,277,],2,5,9,12,18,[,8,0,],18,133,[,0,22,0,56,41,3,11,],46,40,-24.369,31.049,531,1998,2020,SF,,HOEDSPRUIT AFB,,682900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682904-99999_fig2.png,682904,99999,3,HpVt,91386,19.4,59.4,13,[,370,39,95,],6,11,21,29,37,[,1,0,],14,333,[,0,136,4,146,45,1,1,],29,30,-25.383,31.106,862,2008,2020,SF,,KRUGER MPUMALANGA INTL,,682904-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682905-99999_fig2.png,682905,99999,3,HpEv,89440,19.4,60.3,12,[,470,147,15,],7,9,18,24,29,[,0,0,],9,273,[,0,103,6,93,53,17,0,],70,8,-25.334,27.173,1040,2009,2017,SF,,PILANESBERG INTL,,682905-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682910-99999_fig2.png,682910,99999,2,HpAc,95949,19.4,57.4,21,[,151,210,481,],6,14,25,36,47,[,39,1,],6,331,[,0,73,2,135,94,6,21,],97,88,-24.35,31.05,510,1999,2020,SF,,HOEDSPRUIT,,682910-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682960-99999_fig2.png,682960,99999,3,HpAc,98585,19.4,56.4,24,[,163,163,337,],2,8,14,21,27,[,42,5,],9,180,[,0,50,0,59,49,3,19,],63,56,-24.983,31.6,271,2013,2019,SF,,SKUKUZA,,682960-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682970-99999_fig2.png,682970,99999,3,HpAc,99647,19.4,56,8,[,76,260,871,],2,9,16,23,31,[,63,9,],6,245,[,0,44,0,72,93,1,36,],100,132,-25.517,31.9,183,2004,2020,SF,,KOMATIDRAAI,,682970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/682974-99999_fig2.png,682974,99999,3,Hp__,84061,19.4,63,5,[,120,8,1,],1,0,3,4,4,[,0,0,],10,65,[,0,30,2,28,4,1,0,],5,0,-25.832,29.192,1548,2012,2014,SF,,WITBANK,,682974-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683007-99999_fig2.png,683007,99999,3,HpVt,84794,19.4,62.6,13,[,951,9,4,],0,-2,10,16,17,[,0,0,],12,284,[,1,164,6,96,17,0,0,],6,14,-26.566,27.961,1477,2000,2017,SF,,VEREENIGING,,683007-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683220-99999_fig2.png,683220,99999,3,HpEv,91657,19.4,59.3,26,[,509,465,47,],9,11,23,31,36,[,20,0,],12,256,[,0,93,16,36,40,65,6,],111,13,-26.467,20.617,879,2009,2020,SF,,TWEE RIVIEREN,,683220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683290-99999_fig2.png,683290,99999,2,HpEv,91182,19.4,59.5,18,[,637,540,56,],13,18,31,42,48,[,24,0,],8,338,[,0,127,17,51,56,78,8,],137,36,-26.883,22.05,928,2005,2020,SF,,VAN ZYLSRUS,,683290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683310-99999_fig2.png,683310,99999,3,HpEv,88579,19.4,60.7,15,[,751,234,4,],8,NaN,26,37,39,[,1,0,],8,333,[,0,143,23,72,61,34,0,],94,12,-27.667,23,1186,2005,2020,SF,,KATHU,,683310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683330-99999_fig2.png,683330,99999,3,HpEv,87178,19.4,61.4,7,[,434,103,2,],2,0,7,10,10,[,0,0,],12,176,[,0,80,10,41,32,13,0,],46,1,-27.433,23.45,1315,2014,2019,SF,,KURUMAN,,683330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683350-99999_fig2.png,683350,99999,3,HpEv,89335,19.4,60.3,18,[,752,184,22,],12,16,27,38,41,[,2,0,],12,334,[,0,141,12,97,57,26,1,],81,10,-27.55,24.767,1100,2001,2020,SF,,TAUNG,,683350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683354-99999_fig2.png,683354,99999,3,HpEv,88006,19.4,61,2,[,705,174,118,],7,17,26,34,43,[,0,0,],1,327,[,0,150,12,77,70,11,7,],80,38,-27.65,23,1173,2000,2000,SF,,SISHEN,,683354-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683380-99999_fig2.png,683380,99999,3,HpEv,87920,19.4,61,25,[,334,90,6,],2,2,7,10,11,[,1,0,],9,149,[,0,63,8,41,26,12,0,],38,2,-26.982,24.729,1195,2014,2017,SF,,VRYBURG,,683380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683410-99999_fig2.png,683410,99999,3,HpVt,85596,19.4,62.2,17,[,876,42,1,],4,NaN,25,36,38,[,0,0,],10,342,[,0,166,9,139,24,4,0,],28,2,-26.176,26.185,1486,2005,2020,SF,,LICHTENBURG,,683410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683420-99999_fig2.png,683420,99999,3,HpVt,85475,19.4,62.2,17,[,591,40,1,],1,2,7,11,11,[,0,0,],12,211,[,0,107,8,72,21,3,0,],25,4,-26.817,26.017,1500,2013,2020,SF,,OTTOSDAL,,683420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683430-99999_fig2.png,683430,99999,3,HpEv,88268,19.4,60.8,22,[,958,120,6,],8,13,26,37,41,[,1,0,],12,334,[,0,155,9,109,48,13,0,],61,4,-27.65,25.617,1128,2002,2020,SF,,BLOEMHOF,,683430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683450-99999_fig2.png,683450,99999,3,HpVt,87056,19.4,61.4,21,[,783,86,4,],5,NaN,25,36,38,[,0,0,],19,351,[,0,156,10,131,46,8,0,],54,2,-28,26.667,1342,1999,2020,SF,,WELKOM,,683450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683460-99999_fig2.png,683460,99999,3,HpVt,86221,19.4,61.8,9,[,319,43,7,],5,10,13,16,18,[,0,0,],7,151,[,0,66,2,55,24,3,0,],27,5,-27.998,26.67,1341,1998,2000,SF,,WELKOM,,683460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683465-99999_fig2.png,683465,99999,3,Hp__,82122,19.4,64,20,[,393,0,0,],0,0,0,0,0,[,0,0,],16,110,[,1,77,1,30,1,0,0,],1,0,-26.496,29.98,1737,1998,2002,SF,,ERMELO,,683465-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683470-99999_fig2.png,683470,99999,3,HpVt,87188,19.4,61.4,12,[,512,43,1,],2,0,7,11,11,[,0,0,],17,214,[,0,104,7,74,24,5,0,],26,6,-26.871,26.718,1354,1999,2020,SF,,P C PELSER,,683470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683490-99999_fig2.png,683490,99999,3,HpVt,85478,19.4,62.2,15,[,955,19,0,],0,NaN,NaN,NaN,NaN,[,0,0,],5,326,[,1,188,6,115,14,2,0,],14,3,-26.32,26.82,1496,2005,2017,SF,,VENTERSDORP,,683490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683500-99999_fig2.png,683500,99999,3,HpVt,86988,19.4,61.5,19,[,792,43,3,],6,0,21,28,30,[,0,0,],14,304,[,0,148,4,103,44,5,0,],30,27,-26.733,27.067,1351,1998,2020,SF,,POTCHEFSTROOM,,683500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683530-99999_fig2.png,683530,99999,3,HpVt,85402,19.4,62.3,13,[,1066,14,0,],0,NaN,38,44,48,[,0,0,],7,336,[,0,186,9,113,27,1,0,],11,21,-26.567,27.95,1481,2004,2017,SF,,VEREENIGING,,683530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683550-99999_fig2.png,683550,99999,3,HpVt,86130,19.4,61.9,16,[,923,43,7,],0,8,19,34,42,[,0,0,],13,339,[,1,169,13,128,25,3,0,],29,1,-27.666,27.314,1434,2006,2020,SF,,KROONSTAD,,683550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683610-99999_fig2.png,683610,99999,3,Hp__,84231,19.4,62.9,8,[,328,9,0,],0,0,0,0,0,[,0,0,],14,149,[,0,74,4,63,7,0,0,],7,0,-26.15,28,1626,2014,2019,SF,,JOHANNESBURG BOT. GARDENS,,683610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683620-99999_fig2.png,683620,99999,3,Hp__,84783,19.4,62.6,24,[,1102,9,0,],0,0,0,0,0,[,0,0,],10,284,[,0,172,4,101,6,1,0,],7,0,-27.267,28.5,1503,2009,2020,SF,,FRANKFORT,,683620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683630-99999_fig2.png,683630,99999,3,Hp__,84512,19.4,62.7,7,[,112,0,0,],0,0,0,0,0,[,0,0,],9,34,[,0,22,1,11,0,0,0,],0,0,-26.2,28.45,1588,2014,2014,SF,,SPRINGS,,683630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683680-99999_fig2.png,683680,99999,3,Hp__,83552,19.4,63.2,33,[,1051,4,0,],0,0,14,21,21,[,0,0,],33,352,[,1,223,7,117,4,0,0,],4,0,-26.139,28.246,1694,1987,2018,SF,,JOHANNESBURG INTL,,683680-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683685-99999_fig2.png,683685,99999,2,HpAc,99477,19.4,56.1,4,[,126,69,1079,],4,11,16,21,32,[,1,0,],3,349,[,0,79,0,135,124,0,10,],57,133,-30.85,30.333,155,1998,2000,SF,,MARGATE,,683685-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683720-99999_fig2.png,683720,99999,3,Hp__,84770,19.4,62.6,18,[,1502,0,3,],1,NaN,18,32,33,[,0,0,],11,341,[,2,254,4,77,4,0,0,],1,4,-26.933,29.233,1564,1997,2008,SF,,STANDERTON,,683720-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683750-99999_fig2.png,683750,99999,3,Hp__,83790,19.4,63.1,8,[,504,2,0,],0,0,0,0,0,[,0,0,],14,151,[,0,94,3,52,2,0,0,],3,0,-27.433,29.167,1671,2014,2019,SF,,VREDE,,683750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683770-99999_fig2.png,683770,99999,3,HpVt,88164,19.4,60.9,13,[,758,18,45,],3,12,22,34,40,[,0,0,],5,324,[,0,171,1,123,29,0,0,],17,17,-27.767,29.983,1238,2005,2016,SF,,NEWCASTLE,,683770-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683783-99999_fig2.png,683783,99999,3,HpVt,87270,19.4,61.3,1,[,133,7,0,],0,0,0,0,0,[,0,0,],9,63,[,0,32,0,19,12,0,0,],5,11,-27.771,29.977,1242,1998,1999,SF,,NEWCASTLE,,683783-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683784-99999_fig2.png,683784,99999,3,HpVt,88166,19.4,60.9,4,[,766,67,180,],5,11,22,28,39,[,3,2,],3,343,[,0,183,3,121,30,2,4,],30,17,-27.783,30.8,1158,1998,2000,SF,,VRYHEID,,683784-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683800-99999_fig2.png,683800,99999,3,Hp__,83886,19.4,63.1,22,[,372,0,0,],0,0,0,0,0,[,0,0,],9,104,[,0,75,0,29,0,0,0,],0,0,-26.067,30.117,1700,2012,2018,SF,,CAROLINA,,683800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683850-99999_fig2.png,683850,99999,3,HpVt,88128,19.4,60.9,4,[,826,15,8,],10,NaN,23,34,37,[,0,0,],3,329,[,0,189,3,103,34,0,0,],13,31,-27.017,30.8,1235,1999,2005,SF,,PIET RETIEF,,683850-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683870-99999_fig2.png,683870,99999,3,HpVt,88929,19.4,60.5,18,[,791,16,16,],6,15,25,36,39,[,1,0,],7,322,[,0,183,5,116,17,1,0,],14,7,-27.783,30.8,1163,2005,2018,SF,,VRYHEID,,683870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683970-99999_fig2.png,683970,99999,3,HpAc,100862,19.4,55.6,8,[,37,126,935,],1,7,13,21,29,[,54,8,],9,220,[,0,28,0,86,88,0,17,],67,104,-27.467,32.583,61,2014,2020,SF,,MBAZWANA AIRFIELD,,683970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/684000-99999_fig2.png,684000,99999,2,HpAc,100961,19.4,55.5,21,[,69,279,981,],3,12,21,31,39,[,79,15,],9,303,[,0,46,0,125,92,0,40,],112,122,-27.383,32.183,63,2011,2020,SF,,MAKATINI,,684000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/684030-99999_fig2.png,684030,99999,3,HpVt,101431,19.4,55.4,19,[,773,11,5,],8,17,24,35,37,[,1,0,],14,346,[,0,238,1,97,9,1,0,],5,7,-28.575,16.533,30,1998,2020,SF,,ALEXANDER BAY,,684030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/684060-99999_fig2.png,684060,99999,3,HpVt,101073,19.4,55.5,2,[,555,20,0,],0,NaN,NaN,NaN,NaN,[,0,0,],1,334,[,0,202,3,118,9,2,0,],12,0,-28.567,16.533,21,1987,1987,SF,,ALEXANDER BAY,,684060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/684080-99999_fig2.png,684080,99999,3,Hp__,101616,19.4,55.3,26,[,1060,4,0,],1,5,9,12,13,[,0,0,],11,321,[,0,283,1,35,2,0,0,],3,0,-29.233,16.867,10,2009,2020,SF,,PORT NOLLOTH,,684080-99999_fig2.png
