URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/616000-99999_fig2.png,616000,99999,1,__Ac,101141,19.4,55.5,34,[,1,850,3408,],0,11,18,27,48,[,150,28,],32,356,[,0,1,0,83,117,19,137,],249,213,16.051,-16.463,3,1987,2020,SG,,SAINT LOUIS,,616000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/616120-99999_fig2.png,616120,99999,0,__Ac,101080,19.4,55.5,34,[,0,2065,2443,],4,18,29,37,55,[,192,86,],28,349,[,0,0,1,32,52,93,171,],317,173,16.65,-14.967,7,1987,2020,SG,,PODOR,,616120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/616270-99999_fig2.png,616270,99999,0,__Ac,101070,19.4,55.5,34,[,0,1985,3061,],2,14,25,34,53,[,213,84,],30,350,[,0,0,0,17,46,90,197,],333,200,15.383,-15.117,21,1987,2020,SG,,LINGUERE,,616270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/616300-99999_fig2.png,616300,99999,0,__Ac,100955,19.4,55.5,34,[,0,2409,3387,],2,18,28,36,54,[,236,124,],29,356,[,0,0,0,17,44,84,211,],339,211,15.65,-13.25,17,1987,2020,SG,,MATAM/OURO SOGUI,,616300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/616410-99999_fig2.png,616410,99999,1,__Ac,100923,19.4,55.5,34,[,1,592,3576,],1,12,17,24,41,[,108,3,],34,364,[,0,2,0,99,133,1,129,],208,249,14.74,-17.49,26,1987,2020,SG,,LEOPOLD SEDAR SENGHOR INTL,,616410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/616660-99999_fig2.png,616660,99999,0,__Ac,101106,19.4,55.5,33,[,0,1646,3553,],0,9,22,32,49,[,230,96,],29,335,[,0,0,0,14,56,57,208,],321,219,14.65,-16.233,9,1987,2020,SG,,DIOURBEL,,616660-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/616790-99999_fig2.png,616790,99999,0,__Ac,101134,19.4,55.5,34,[,0,1728,4152,],0,12,21,32,52,[,260,107,],30,357,[,0,0,0,10,50,61,236,],348,246,14.147,-16.051,8,1987,2020,SG,,KAOLACK,,616790-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/616870-99999_fig2.png,616870,99999,0,__Ac,100524,19.4,55.7,34,[,0,2069,3458,],1,13,23,32,53,[,223,54,],32,356,[,0,0,0,6,44,101,205,],350,219,13.737,-13.653,49,1987,2020,SG,,TAMBACOUNDA,,616870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/616950-99999_fig2.png,616950,99999,0,__Ac,100918,19.4,55.5,34,[,0,1150,4604,],0,9,18,30,48,[,264,72,],33,357,[,0,0,0,19,96,17,225,],336,279,12.556,-16.282,23,1987,2020,SG,,ZIGUINCHOR,,616950-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/616970-99999_fig2.png,616970,99999,1,__Ac,101041,19.4,55.5,34,[,0,821,4464,],0,11,18,25,43,[,176,7,],29,355,[,0,0,0,42,141,2,170,],284,284,12.41,-16.746,16,1988,2020,SG,,CAP SKIRING,,616970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/616980-99999_fig2.png,616980,99999,0,__Ac,100970,19.4,55.5,34,[,0,1670,4152,],1,11,22,32,51,[,249,85,],27,341,[,0,0,0,17,53,42,229,],324,246,12.883,-14.967,10,1988,2020,SG,,KOLDA,,616980-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/616990-99999_fig2.png,616990,99999,0,__Ac,99120,19.4,56.2,34,[,0,1887,3588,],1,13,24,32,52,[,208,42,],24,338,[,0,0,0,4,56,81,197,],331,226,12.572,-12.22,178,1988,2020,SG,,KEDOUGOU,,616990-99999_fig2.png
