URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/130080-99999_fig2.png,130080,99999,7,Gs__,74835,19.4,68.5,9,[,6503,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],5,346,[,193,153,0,0,0,0,0,],0,0,46.383,13.85,2514,1989,1995,SI,,KREDARICA,,130080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/130140-99999_fig2.png,130140,99999,5,Gs__,96785,19.4,57.1,18,[,3403,3,4,],4,NaN,26,36,37,[,0,0,],17,365,[,104,204,0,52,5,0,0,],3,2,46.217,14.483,385,1987,2004,SI,,LJUBLJANA/BRNIK,,130140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/130145-99999_fig2.png,130145,99999,4,GsVt,99472,19.4,56.1,15,[,2745,29,69,],5,12,26,35,40,[,4,0,],15,359,[,78,189,0,68,21,1,2,],18,19,45.9,15.53,155,2006,2020,SI,,CERKLJE,,130145-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/130150-99999_fig2.png,130150,99999,4,GsVt,98155,19.4,56.6,4,[,2795,15,5,],11,NaN,28,37,39,[,0,0,],4,347,[,74,201,0,60,12,1,0,],12,3,46.067,14.517,299,1988,1995,SI,,LJUBLJANA/BEZIGRAD,,130150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/130240-99999_fig2.png,130240,99999,5,Gs__,90618,19.4,59.7,8,[,3678,1,0,],0,NaN,NaN,NaN,NaN,[,0,0,],6,347,[,96,222,0,28,1,0,0,],1,0,46.067,15.283,941,1988,1995,SI,,LISCA,,130240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/130260-99999_fig2.png,130260,99999,5,Gs__,98502,19.4,56.4,9,[,3104,9,9,],3,22,26,35,37,[,0,0,],8,360,[,93,199,0,60,8,0,0,],8,4,46.483,15.683,265,1987,1995,SI,,MARIBOR,,130260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/130310-99999_fig2.png,130310,99999,4,GsVt,99446,19.4,56.1,4,[,2772,19,16,],3,NaN,27,35,38,[,0,0,],3,329,[,77,175,0,60,17,0,0,],16,8,46.65,16.183,188,1993,1995,SI,,MURSKA SOBOTA,,130310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131050-99999_fig2.png,131050,99999,3,GsVt,101289,19.4,55.4,19,[,1801,41,91,],6,13,22,29,34,[,1,0,],18,321,[,17,199,0,73,29,0,3,],26,26,45.483,13.617,3,1988,2004,SI,,PORTOROZ/SECOVLJE,,131050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/131210-99999_fig2.png,131210,99999,4,GsVt,99220,19.4,56.2,9,[,2743,16,14,],10,NaN,28,36,39,[,0,0,],3,339,[,71,191,0,61,16,0,0,],15,9,45.783,15.183,213,1993,1995,SI,,NOVO MESTO,,131210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/132180-99999_fig2.png,132180,99999,3,HpEv,101276,19.4,55.4,8,[,699,73,44,],8,12,15,17,21,[,0,0,],2,150,[,1,91,0,33,14,5,6,],24,9,44.983,14.9,26,1995,1995,SI,,SENJ              &,,132180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/140060-99999_fig2.png,140060,99999,3,Hp__,84194,19.4,62.9,0,[,407,0,0,],0,0,0,0,0,[,0,0,],21,32,[,0,32,0,0,0,0,0,],0,0,46.267,13.833,1535,2019,2020,SI,,VOGEL,,140060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/140070-99999_fig2.png,140070,99999,3,Gs__,91770,19.4,59.2,11,[,1917,0,0,],0,0,3,4,4,[,0,0,],16,179,[,59,102,0,17,1,0,0,],1,0,46.5,13.717,864,2013,2020,SI,,RATECE,,140070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/140080-99999_fig2.png,140080,99999,7,Gs__,74994,19.4,68.4,24,[,6783,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],24,363,[,199,164,0,0,0,0,0,],0,0,46.383,13.85,2515,1997,2020,SI,,KREDARICA,,140080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/140100-99999_fig2.png,140100,99999,3,Gs__,95800,19.4,57.5,6,[,1063,2,3,],2,0,6,9,9,[,0,0,],21,122,[,23,74,0,21,3,0,0,],2,2,46.367,14.183,515,2013,2020,SI,,LESCE,,140100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/140120-99999_fig2.png,140120,99999,3,Hp__,93362,19.4,58.5,0,[,263,0,0,],0,0,0,0,0,[,0,0,],21,32,[,0,27,0,1,4,0,0,],1,4,46.1,14.367,685,2019,2020,SI,,KATARINA,,140120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/140140-99999_fig2.png,140140,99999,5,Gs__,96780,19.4,57.1,23,[,3125,6,17,],3,8,24,33,35,[,0,0,],24,349,[,96,189,0,57,7,0,0,],6,6,46.224,14.458,388,1997,2020,SI,,LJUBLJANA,,140140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/140150-99999_fig2.png,140150,99999,4,GsVt,98275,19.4,56.5,23,[,2675,28,31,],10,14,27,35,38,[,2,0,],24,348,[,72,189,0,68,17,0,2,],19,10,46.067,14.517,298,1997,2020,SI,,LJUBLJANA/BEZIGRAD,,140150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/140210-99999_fig2.png,140210,99999,3,Gs__,96104,19.4,57.4,17,[,2050,3,6,],2,0,13,19,20,[,0,0,],16,223,[,61,128,0,30,4,0,0,],2,5,46.483,15.117,444,2000,2020,SI,,SLOVENJ GRADEC,,140210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/140230-99999_fig2.png,140230,99999,4,GsVt,98908,19.4,56.3,23,[,2542,12,48,],2,7,22,31,34,[,2,0,],9,321,[,73,175,0,57,15,0,1,],9,14,46.233,15.233,244,2013,2020,SI,,CELJE,,140230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/140240-99999_fig2.png,140240,99999,5,Gs__,90938,19.4,59.6,23,[,3559,2,1,],6,0,20,27,29,[,0,0,],21,345,[,94,214,0,34,3,0,0,],2,1,46.067,15.283,941,1997,2020,SI,,LISCA,,140240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/140260-99999_fig2.png,140260,99999,4,GsVt,98180,19.4,56.6,23,[,2835,18,24,],6,11,26,35,37,[,1,0,],24,349,[,79,190,0,66,13,0,1,],13,8,46.48,15.686,267,1997,2020,SI,,MARIBOR,,140260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/140310-99999_fig2.png,140310,99999,4,GsVt,99571,19.4,56,24,[,2958,20,39,],4,11,26,35,39,[,2,0,],21,361,[,86,191,0,67,16,0,1,],14,12,46.65,16.2,187,1997,2020,SI,,MURSKA SOBOTA,,140310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/141050-99999_fig2.png,141050,99999,3,GsVt,100190,19.4,55.8,24,[,1988,63,127,],6,14,26,34,40,[,4,0,],24,364,[,20,220,0,80,38,1,5,],37,34,45.473,13.615,2,1997,2020,SI,,PORTOROZ,,141050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/141060-99999_fig2.png,141060,99999,4,GsVt,101047,19.4,55.5,24,[,2189,61,82,],6,14,27,36,40,[,4,0,],22,355,[,34,209,0,74,31,1,6,],33,24,45.9,13.633,56,1997,2020,SI,,NOVA GORICA,,141060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/141120-99999_fig2.png,141120,99999,3,Gs__,95084,19.4,57.8,6,[,1074,2,3,],2,0,8,11,12,[,0,0,],20,131,[,22,85,0,21,3,0,0,],2,3,45.767,14.2,533,2013,2020,SI,,POSTOJNA,,141120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/141180-99999_fig2.png,141180,99999,3,HpVt,95839,19.4,57.5,0,[,903,1,0,],0,0,0,0,0,[,0,0,],12,102,[,0,85,0,5,12,0,0,],1,14,45.65,14.85,467,2015,2020,SI,,KOCEVJE,,141180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/141200-99999_fig2.png,141200,99999,3,GsVt,99942,19.4,55.9,6,[,1201,18,51,],1,3,9,12,14,[,2,0,],14,166,[,27,93,0,31,14,0,1,],10,14,45.567,15.15,157,2013,2020,SI,,CRNOMELJ,,141200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/141210-99999_fig2.png,141210,99999,4,GsVt,99237,19.4,56.2,23,[,2738,21,42,],6,10,25,34,38,[,1,0,],23,347,[,79,187,0,64,16,0,1,],14,12,45.8,15.183,220,1997,2020,SI,,NOVO MESTO,,141210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/141220-99999_fig2.png,141220,99999,4,GsVt,99879,19.4,55.9,14,[,2689,54,94,],3,11,27,35,41,[,4,0,],14,360,[,77,184,0,68,25,1,5,],27,23,45.9,15.517,162,2007,2020,SI,,CERKLJE OB KRKI,,141220-99999_fig2.png
