URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/080010-99999_fig2.png,80010,99999,3,Hp__,101099,19.4,55.5,34,[,1407,1,2,],6,14,22,30,31,[,0,0,],34,363,[,0,290,0,71,2,0,0,],1,1,43.367,-8.417,67,1987,2020,SP,,LA CORUNA,,080010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080020-99999_fig2.png,80020,99999,3,Hp__,100148,19.4,55.8,34,[,1464,6,15,],5,14,24,32,36,[,0,0,],33,360,[,3,269,0,81,6,0,1,],4,6,43.302,-8.377,98,1987,2020,SP,,A CORUNA,,080020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080080-99999_fig2.png,80080,99999,3,Gs__,96680,19.4,57.2,29,[,1530,2,3,],5,0,19,26,27,[,1,0,],17,246,[,20,188,0,35,3,0,0,],2,2,43.117,-7.45,446,1987,2020,SP,,LUGO/ROZAS,,080080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080110-99999_fig2.png,80110,99999,3,Hp__,99809,19.4,55.9,34,[,1659,1,7,],5,12,20,27,31,[,0,0,],34,364,[,3,292,0,66,3,0,0,],1,3,43.564,-6.035,127,1987,2020,SP,,ASTURIAS,,080110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080140-99999_fig2.png,80140,99999,3,HpVt,101596,19.4,55.3,28,[,1098,1,22,],5,11,16,20,24,[,0,0,],18,277,[,2,200,0,64,11,0,0,],1,10,43.567,-5.7,6,1987,2018,SP,,GIJON-MUSEL,,080140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080141-99999_fig2.png,80141,99999,3,GsEv,93994,19.4,58.3,16,[,1643,378,10,],6,34,40,45,47,[,1,0,],9,344,[,21,176,1,56,33,54,3,],90,3,38.983,-3.917,629,2005,2015,SP,,CIUDAD REAL,,080141-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080142-99999_fig2.png,80142,99999,3,HpVt,97831,19.4,56.7,10,[,857,65,2,],7,0,16,19,20,[,1,0,],10,172,[,9,102,0,36,15,8,2,],25,2,42.2,-1.45,295,2008,2020,SP,,BARDENAS REALES,,080142-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080143-99999_fig2.png,80143,99999,3,HpVt,100726,19.4,55.6,13,[,746,90,196,],5,10,16,22,28,[,3,0,],9,239,[,0,133,0,55,45,2,4,],47,37,39.583,-0.45,50,2015,2020,SP,,VALENCIA,,080143-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080144-99999_fig2.png,80144,99999,3,HpAc,93193,19.4,58.6,16,[,1466,344,49,],15,23,35,41,45,[,4,0,],16,359,[,7,196,0,67,36,41,12,],90,14,37.133,-3.636,700,2005,2020,SP,,ARMILLA,,080144-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080150-99999_fig2.png,80150,99999,3,Gs__,97875,19.4,56.7,34,[,2033,2,7,],7,12,21,32,35,[,0,0,],34,362,[,17,292,0,50,3,0,0,],1,3,43.35,-5.867,339,1987,2020,SP,,OVIEDO,,080150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080210-99999_fig2.png,80210,99999,3,HpVt,101265,19.4,55.4,34,[,1469,4,33,],4,13,20,29,35,[,0,0,],32,360,[,4,258,0,85,13,0,0,],3,12,43.427,-3.82,5,1987,2020,SP,,SANTANDER,,080210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080230-99999_fig2.png,80230,99999,3,HpVt,101153,19.4,55.5,34,[,1434,2,38,],7,12,17,25,32,[,0,0,],34,363,[,2,269,0,77,15,0,0,],2,14,43.483,-3.8,59,1987,2020,SP,,SANTANDER,,080230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080250-99999_fig2.png,80250,99999,3,HpVt,100863,19.4,55.6,34,[,1472,26,88,],4,12,23,33,43,[,4,0,],34,364,[,7,236,0,93,25,1,2,],14,23,43.301,-2.911,42,1987,2020,SP,,BILBAO,,080250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080270-99999_fig2.png,80270,99999,3,GsVt,98795,19.4,56.3,34,[,1859,6,25,],7,13,20,30,38,[,1,0,],34,361,[,14,278,0,58,11,0,0,],4,9,43.3,-2.033,259,1987,2020,SP,,SAN SEBASTIAN/IGUELDO,,080270-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080290-99999_fig2.png,80290,99999,3,HpVt,101270,19.4,55.4,34,[,1393,22,128,],3,13,21,30,41,[,2,0,],34,364,[,7,230,0,93,32,0,2,],14,30,43.357,-1.791,5,1987,2020,SP,,SAN SEBASTIAN,,080290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080420-99999_fig2.png,80420,99999,4,Gs__,96990,19.4,57,33,[,2169,5,3,],4,6,27,38,40,[,1,0,],33,364,[,13,304,0,44,3,0,0,],3,1,42.896,-8.415,370,1987,2020,SP,,SANTIAGO,,080420-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080440-99999_fig2.png,80440,99999,3,HpVt,100514,19.4,55.7,34,[,1324,27,19,],7,15,27,35,39,[,1,0,],28,344,[,1,236,0,90,14,1,2,],15,7,42.433,-8.617,108,1987,2020,SP,,PONTEVEDRA,,080440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080450-99999_fig2.png,80450,99999,3,Hp__,98304,19.4,56.5,34,[,1818,12,11,],9,15,27,37,40,[,1,0,],34,364,[,6,284,0,65,8,0,1,],8,5,42.232,-8.627,261,1987,2020,SP,,VIGO,,080450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080480-99999_fig2.png,80480,99999,3,GsVt,100053,19.4,55.9,32,[,1312,64,29,],7,13,28,37,41,[,7,0,],20,304,[,14,185,0,74,24,2,5,],32,11,42.333,-7.867,147,1987,2019,SP,,ORENSE,,080480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080530-99999_fig2.png,80530,99999,3,GsVt,95479,19.4,57.6,23,[,1193,23,1,],7,0,16,20,21,[,0,0,],17,201,[,19,127,0,42,11,2,0,],13,1,42.567,-6.6,550,1987,2020,SP,,PONFERRADA,,080530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080550-99999_fig2.png,80550,99999,4,GsVt,90802,19.4,59.7,34,[,2589,35,0,],1,NaN,29,37,38,[,0,0,],33,361,[,49,229,0,64,15,4,0,],19,0,42.589,-5.656,916,1987,2020,SP,,LEON,,080550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/080720-99999_fig2.png,80720,99999,4,GsVt,91411,19.4,59.4,3,[,2724,18,1,],5,NaN,33,42,42,[,0,0,],3,350,[,72,204,0,64,8,2,0,],10,0,42,-4.6,860,2018,2020,SP,,PALENCIA-AUTILLA PINO,,080720-99999_fig2.png
