URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/626000-99999_fig2.png,626000,99999,1,HpAc,99148,19.4,56.2,26,[,48,1556,69,],29,25,42,45,49,[,78,2,],8,291,[,0,30,0,65,26,130,39,],196,39,21.817,31.483,183,1999,2009,SU,,HALFA (WADI),,626000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/626400-99999_fig2.png,626400,99999,1,HuAc,97287,19.4,56.9,24,[,8,1724,275,],14,25,32,36,42,[,102,16,],8,245,[,0,6,4,37,33,118,46,],198,46,19.533,33.317,312,1999,2009,SU,,ABU HAMED,,626400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/626410-99999_fig2.png,626410,99999,2,__Ac,100609,19.4,55.7,29,[,0,1371,2188,],1,17,23,29,41,[,138,58,],9,249,[,0,0,0,31,57,15,146,],215,189,19.583,37.217,3,1999,2013,SU,,PORT SUDAN,,626410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/626414-99999_fig2.png,626414,99999,3,__Ac,100832,19.4,55.6,6,[,0,328,548,],0,4,5,6,8,[,26,11,],13,52,[,0,0,0,5,13,2,32,],48,44,19.434,37.234,41,2017,2018,SU,,PORT SUDAN,,626414-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/626500-99999_fig2.png,626500,99999,2,HpAc,98402,19.4,56.5,27,[,39,1488,89,],22,24,32,36,41,[,70,6,],11,239,[,0,20,6,39,23,133,17,],173,17,19.154,30.43,236,1999,2013,SU,,DONGOLA,,626500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/626600-99999_fig2.png,626600,99999,2,HuAc,98050,19.4,56.6,29,[,8,1448,231,],13,23,28,32,37,[,76,14,],6,219,[,0,6,9,33,27,109,35,],173,35,18.55,31.85,249,1999,2006,SU,,KARIMA,,626600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/626800-99999_fig2.png,626800,99999,1,__Ac,96881,19.4,57.1,29,[,2,1767,617,],12,24,30,35,42,[,127,33,],8,249,[,0,1,0,31,35,93,89,],217,89,17.7,33.967,345,1999,2009,SU,,ATBARA,,626800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/627210-99999_fig2.png,627210,99999,0,__Ac,96778,19.4,57.1,33,[,3,2415,1161,],10,26,35,42,54,[,137,19,],24,350,[,0,2,6,29,38,151,123,],313,125,15.589,32.553,386,1990,2020,SU,,KHARTOUM,,627210-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/627300-99999_fig2.png,627300,99999,3,__Ac,95352,19.4,57.7,29,[,0,938,556,],3,11,17,21,27,[,85,2,],4,155,[,0,0,0,5,20,47,83,],150,90,15.387,36.329,509,1999,2000,SU,,KASSALA,,627300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/627330-99999_fig2.png,627330,99999,3,__Ac,95798,19.4,57.5,20,[,0,701,496,],3,8,12,16,20,[,70,4,],16,120,[,0,0,0,8,19,32,61,],113,66,15.317,35.6,451,1999,2008,SU,,HALFA EL GAIDIDA,,627330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/627500-99999_fig2.png,627500,99999,3,__Ac,96866,19.4,57.1,24,[,0,219,157,],0,2,4,5,6,[,17,1,],8,38,[,0,0,0,4,6,15,13,],34,15,14,32.333,378,2001,2001,SU,,ED DUEIM,,627500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/627510-99999_fig2.png,627510,99999,2,__Ac,96344,19.4,57.3,28,[,0,1231,996,],5,14,23,30,40,[,121,15,],8,234,[,0,0,0,19,47,77,91,],214,106,14.4,33.483,408,1999,2009,SU,,WAD MEDANI,,627510-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/627520-99999_fig2.png,627520,99999,2,__Ac,94157,19.4,58.2,28,[,0,1375,1072,],2,13,23,30,42,[,125,7,],9,249,[,0,0,0,6,49,94,100,],239,128,14.033,35.4,599,1999,2009,SU,,GEDAREF/AZAZA,,627520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/627600-99999_fig2.png,627600,99999,3,HuAc,92866,19.4,58.7,24,[,12,535,342,],5,10,15,20,25,[,40,0,],6,155,[,0,8,6,28,32,44,37,],113,48,13.615,25.325,729,1999,2001,SU,,EL FASHIR,,627600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/627620-99999_fig2.png,627620,99999,2,__Ac,95998,19.4,57.4,27,[,0,988,1236,],1,12,19,25,35,[,112,15,],6,211,[,0,1,0,18,54,50,88,],191,106,13.55,33.617,418,1999,2008,SU,,SENNAR,,627620-99999_fig2.png
