URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/400010-99999_fig2.png,400010,99999,2,HpAc,95980,19.4,57.4,34,[,1212,1042,67,],25,28,44,50,54,[,25,2,],25,354,[,6,157,2,42,27,107,13,],147,13,37.021,41.191,451,1991,2020,SY,,KAMISHLY,,400010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400070-99999_fig2.png,400070,99999,3,GsAc,96800,19.4,57.1,28,[,1217,399,107,],13,19,28,34,40,[,19,0,],31,289,[,10,136,0,44,36,36,27,],99,30,36.181,37.224,389,1987,2011,SY,,ALEPPO INTL,,400070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400090-99999_fig2.png,400090,99999,3,HpAc,97202,19.4,56.9,26,[,1290,735,239,],16,24,39,46,52,[,51,7,],12,334,[,10,152,0,45,30,49,49,],128,49,36.7,38.95,349,1997,2011,SY,,TEL ABIADH,,400090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400160-99999_fig2.png,400160,99999,3,HpAc,97679,19.4,56.8,27,[,594,765,187,],12,22,27,30,34,[,39,6,],13,200,[,2,82,0,23,13,40,40,],93,40,36.5,40.75,308,1995,2011,SY,,HASSAKAH,,400160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400220-99999_fig2.png,400220,99999,2,HpAc,101240,19.4,55.4,34,[,645,346,1454,],2,15,21,26,40,[,31,1,],30,350,[,0,147,0,66,80,2,55,],123,126,35.533,35.767,7,1987,2019,SY,,LATTAKIA,,400220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400250-99999_fig2.png,400250,99999,3,HpAc,100730,19.4,55.6,24,[,521,202,746,],2,10,16,21,29,[,15,0,],34,255,[,0,112,0,53,61,2,27,],83,81,35.401,35.949,48,1997,2020,SY,,BASSEL AL ASSAD INTL,,400250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400300-99999_fig2.png,400300,99999,3,HpAc,97740,19.4,56.7,34,[,1245,515,130,],19,26,36,43,50,[,25,2,],32,347,[,9,159,0,55,43,46,35,],124,38,35.117,36.75,303,1987,2019,SY,,HAMA,,400300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400390-99999_fig2.png,400390,99999,2,HpAc,98400,19.4,56.5,27,[,1221,723,246,],18,27,38,45,51,[,48,6,],16,349,[,6,154,0,55,34,45,55,],135,57,35.933,39.017,246,1996,2012,SY,,RAQQA,,400390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400450-99999_fig2.png,400450,99999,2,HpAc,98800,19.4,56.3,26,[,1183,1015,127,],28,33,43,48,53,[,50,4,],22,359,[,7,150,0,48,30,87,37,],154,37,35.285,40.176,213,1990,2011,SY,,DEIR ZZOR,,400450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400610-99999_fig2.png,400610,99999,2,HpAc,96560,19.4,57.2,29,[,1160,728,85,],20,25,38,46,51,[,35,2,],20,356,[,4,155,2,51,39,79,26,],144,27,34.557,38.317,403,1995,2014,SY,,PALMYRA,,400610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400660-99999_fig2.png,400660,99999,3,HpAc,97090,19.4,57,34,[,981,203,609,],6,16,23,30,42,[,10,0,],26,352,[,2,162,1,74,91,9,14,],100,86,34.817,36.133,359,1987,2013,SY,,SAFITA,,400660-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400720-99999_fig2.png,400720,99999,2,HpAc,99158,19.4,56.2,26,[,879,1077,149,],24,30,41,46,51,[,48,6,],20,323,[,2,127,1,43,24,89,36,],150,36,34.417,40.917,182,1989,2011,SY,,ABUKMAL,,400720-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400800-99999_fig2.png,400800,99999,3,HpEv,94250,19.4,58.2,34,[,1464,336,13,],18,21,36,45,48,[,16,0,],34,362,[,10,173,2,68,58,46,6,],110,6,33.412,36.516,616,1987,2020,SY,,DAMASCUS INTL,,400800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400830-99999_fig2.png,400830,99999,3,GsVt,86300,19.4,61.8,26,[,2055,64,0,],2,NaN,33,40,40,[,0,0,],22,350,[,33,185,4,92,29,7,0,],36,0,34.033,36.717,1333,1987,2011,SY,,NABK,,400830-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/400950-99999_fig2.png,400950,99999,3,HpAc,95073,19.4,57.8,25,[,1122,225,127,],10,17,29,38,45,[,7,0,],23,346,[,4,162,1,82,70,17,11,],98,34,32.6,36.1,543,1987,2010,SY,,DARA'A,,400950-99999_fig2.png
