URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/066010-99999_fig2.png,66010,99999,4,Gs__,98029,19.4,56.6,23,[,2129,13,9,],8,4,21,27,30,[,0,0,],28,273,[,55,164,0,44,8,1,1,],8,4,47.55,7.583,317,1991,2020,SZ,,BASEL-BINNINGEN,,066010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/066020-99999_fig2.png,66020,99999,5,Gs__,96628,19.4,57.2,7,[,3103,7,9,],5,NaN,26,36,38,[,1,0,],7,361,[,93,214,0,48,6,0,0,],5,3,47.35,7.35,439,2013,2020,SZ,,DELEMONT,,066020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/066040-99999_fig2.png,66040,99999,4,Gs__,96106,19.4,57.4,34,[,2958,9,2,],10,17,29,37,39,[,0,0,],34,364,[,76,223,0,59,6,0,0,],7,2,47,6.95,487,1987,2020,SZ,,NEUCHATEL (AUT),,066040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/066045-99999_fig2.png,66045,99999,5,Gs__,89585,19.4,60.2,16,[,3877,2,0,],0,NaN,NaN,NaN,NaN,[,0,0,],16,362,[,118,215,0,27,2,0,0,],2,0,47.084,6.793,1027,2005,2020,SZ,,LES EPLATURES,,066045-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/066050-99999_fig2.png,66050,99999,5,Gs__,84017,19.4,63,24,[,3828,0,0,],0,0,0,0,0,[,0,0,],29,277,[,110,163,0,4,0,0,0,],0,0,47.133,7.067,1631,1989,2020,SZ,,CHASSERAL,,066050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/066060-99999_fig2.png,66060,99999,4,Gs__,96747,19.4,57.1,9,[,2910,8,15,],4,NaN,25,35,37,[,0,0,],9,361,[,86,206,0,61,8,0,0,],7,6,47.05,7.067,431,2012,2020,SZ,,CRESSIER,,066060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/066080-99999_fig2.png,66080,99999,5,Gs__,88875,19.4,60.5,7,[,3903,2,0,],0,NaN,NaN,NaN,NaN,[,0,0,],7,361,[,114,220,0,25,2,0,0,],2,0,47.05,6.983,1136,2014,2020,SZ,,CHAUMONT,,066080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/066090-99999_fig2.png,66090,99999,5,Gs__,80221,19.4,65.1,20,[,4052,0,0,],0,0,0,0,0,[,0,0,],25,272,[,101,169,0,1,0,0,0,],0,0,46.55,7.017,1973,1991,2020,SZ,,LE MOLESON,,066090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/066099-99999_fig2.png,66099,99999,4,Gs__,96057,19.4,57.4,15,[,2990,11,8,],10,NaN,28,37,38,[,0,0,],13,354,[,92,197,0,56,8,0,1,],8,4,47.399,8.648,448,2006,2020,SZ,,DUBENDORF,,066099-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/066100-99999_fig2.png,66100,99999,5,Gs__,95622,19.4,57.6,34,[,3201,4,4,],4,NaN,28,37,39,[,0,0,],34,364,[,97,212,0,51,4,0,0,],4,2,46.817,6.95,490,1987,2020,SZ,,PAYERNE,,066100-99999_fig2.png
