URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/483000-99999_fig2.png,483000,99999,1,__Ac,97813,19.4,56.7,34,[,3,1081,4073,],2,11,21,30,47,[,217,26,],34,364,[,0,3,0,66,89,7,199,],282,272,19.301,97.976,283,1987,2020,TH,,MAE HONG SON,,483000-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/483020-99999_fig2.png,483020,99999,3,HpVt,84704,19.4,62.6,12,[,226,22,71,],4,12,18,25,33,[,0,0,],10,357,[,0,101,0,194,62,0,0,],21,43,19.917,99.033,1530,2011,2020,TH,,DOI ANG KHANG,,483020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/483030-99999_fig2.png,483030,99999,1,HpAc,96525,19.4,57.2,34,[,20,671,3539,],3,11,19,28,44,[,157,3,],34,364,[,0,13,0,86,132,2,130,],243,251,19.885,99.827,400,1987,2020,TH,,CHIANG RAI,,483030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/483031-99999_fig2.png,483031,99999,1,__Ac,96726,19.4,57.1,15,[,10,839,3778,],4,12,20,27,44,[,130,3,],15,363,[,0,5,0,72,121,3,163,],266,267,19.952,99.883,390,2006,2020,TH,,CHIANG RAI INTL,,483031-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/483033-99999_fig2.png,483033,99999,0,__Ac,99194,19.4,56.2,15,[,2,1592,5051,],4,15,22,27,45,[,178,19,],11,350,[,0,1,0,23,55,7,264,],324,294,17.384,104.643,179,2009,2020,TH,,NAKHON PHANOM,,483033-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/483034-99999_fig2.png,483034,99999,0,__Ac,99684,19.4,56,15,[,3,1374,4904,],4,13,22,28,45,[,198,21,],7,360,[,0,3,0,32,82,2,241,],321,307,16.117,103.774,138,2013,2020,TH,,ROI ET,,483034-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/483040-99999_fig2.png,483040,99999,1,HpAc,96336,19.4,57.3,11,[,21,624,3984,],1,9,18,28,42,[,178,11,],11,358,[,0,10,0,78,123,0,147,],234,266,19.867,99.767,401,2010,2020,TH,,CHAING RAI ARGOMET,,483040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/483070-99999_fig2.png,483070,99999,2,__Ac,97192,19.4,57,14,[,15,618,4026,],0,8,16,26,39,[,188,18,],14,332,[,0,9,0,64,108,0,152,],229,258,19.417,100.883,335,2008,2020,TH,,TUNG CHANG,,483070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/483100-99999_fig2.png,483100,99999,1,HpAc,96411,19.4,57.3,34,[,16,812,3931,],1,11,20,29,45,[,188,8,],32,362,[,0,11,0,66,125,3,157,],258,273,19.193,99.9,399,1989,2020,TH,,PHAYAO,,483100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/483150-99999_fig2.png,483150,99999,1,__Ac,98304,19.4,56.5,32,[,10,851,4578,],0,9,18,27,41,[,209,35,],27,343,[,0,8,0,55,91,0,189,],254,276,19.117,100.8,237,1989,2020,TH,,THA WANG PHA,,483150-99999_fig2.png
