URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/381413-99999_fig2.png,381413,99999,4,GsEv,96127,19.4,57.4,16,[,2242,415,3,],22,27,40,45,47,[,4,0,],16,364,[,63,138,0,58,38,64,2,],105,2,40.215,69.695,442,2005,2020,TI,,KHUDZHAND,,381413-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/385980-99999_fig2.png,385980,99999,4,GsAc,97225,19.4,56.9,10,[,2235,292,186,],8,20,31,39,47,[,15,0,],10,362,[,73,131,0,64,47,18,29,],94,40,40.267,69.817,347,2011,2020,TI,,KAJRAKKUMSKOE,,385980-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/385990-99999_fig2.png,385990,99999,3,GsEv,96736,19.4,57.1,26,[,1757,289,5,],19,5,30,34,35,[,5,0,],22,278,[,49,108,0,45,30,44,2,],76,2,40.217,69.733,427,1987,2020,TI,,KHUDJANT,,385990-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/386090-99999_fig2.png,386090,99999,4,GsEv,91609,19.4,59.3,11,[,2386,191,1,],7,NaN,35,40,40,[,0,0,],7,334,[,55,154,1,60,37,27,0,],65,0,40.133,70.6,873,1987,1994,TI,,ISFARA,,386090-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/387050-99999_fig2.png,387050,99999,3,GsVt,90147,19.4,60,17,[,796,39,0,],0,0,0,0,0,[,0,0,],22,115,[,23,48,0,25,13,5,0,],19,0,39.5,67.6,1015,2014,2020,TI,,PENDZHIKENT,,387050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/387130-99999_fig2.png,387130,99999,3,GsVt,90368,19.4,59.9,23,[,1657,62,0,],0,0,0,0,0,[,0,0,],24,209,[,36,103,0,42,20,8,0,],28,0,39.9,68.983,1005,1987,2020,TI,,URA-TYUBE,,387130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/387150-99999_fig2.png,387150,99999,3,Gs__,68843,19.4,72.9,15,[,1966,0,0,],0,0,0,0,0,[,0,0,],22,115,[,27,88,0,0,0,0,0,],0,0,39.567,68.583,3143,2014,2020,TI,,SHAHRISTANSKIJ PEREVAL,,387150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/387180-99999_fig2.png,387180,99999,3,Hp__,77503,19.4,66.7,8,[,837,0,0,],0,0,0,0,0,[,0,0,],33,76,[,6,63,0,7,0,0,0,],0,0,39.1,68.383,2204,2014,2020,TI,,ISKANDERKUL,,387180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/387190-99999_fig2.png,387190,99999,3,Gs__,66847,19.4,74.5,9,[,1576,0,0,],0,0,0,0,0,[,0,0,],32,79,[,30,49,0,0,0,0,0,],0,0,39.083,68.867,3373,2014,2020,TI,,ANZQBSKIJ PEREVAL,,387190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/387250-99999_fig2.png,387250,99999,4,Gs__,77213,19.4,66.9,26,[,2350,0,0,],0,0,0,0,0,[,0,0,],19,229,[,14,186,3,26,0,0,0,],0,0,39.433,69.667,2234,2009,2020,TI,,MADRUSHKAT,,387250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/387340-99999_fig2.png,387340,99999,4,Gs__,74112,19.4,69,16,[,2182,0,0,],0,0,0,0,0,[,0,0,],33,161,[,27,131,0,3,0,0,0,],0,0,39.45,70.2,2561,2006,2020,TI,,DEHAVZ,,387340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/387440-99999_fig2.png,387440,99999,5,Gs__,82141,19.4,64,28,[,3402,2,0,],0,0,0,0,0,[,0,0,],22,294,[,69,180,1,42,2,0,0,],2,0,39.283,71.867,1198,2003,2020,TI,,LAHSH,,387440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388360-99999_fig2.png,388360,99999,3,GsEv,92082,19.4,59.1,34,[,1947,312,12,],13,23,38,46,47,[,6,0,],27,363,[,36,167,0,65,46,45,4,],95,4,38.543,68.825,785,1987,2020,TI,,DUSHANBE,,388360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388380-99999_fig2.png,388380,99999,3,GsEv,95095,19.4,57.8,20,[,998,329,4,],12,0,20,23,24,[,12,0,],32,202,[,23,80,0,32,18,46,2,],67,2,38.05,68.35,563,2003,2020,TI,,ISAMBAJ,,388380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388440-99999_fig2.png,388440,99999,3,Gs__,77165,19.4,67,16,[,1568,0,0,],0,0,0,0,0,[,0,0,],30,144,[,21,99,1,23,0,0,0,],0,0,38.25,69.233,2239,2009,2020,TI,,SANGLOK,,388440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388460-99999_fig2.png,388460,99999,4,GsVt,85322,19.4,62.3,10,[,2428,80,85,],8,15,28,36,40,[,5,0,],11,328,[,70,145,0,70,34,2,7,],42,18,38.367,69.983,1468,2010,2020,TI,,HOVALING,,388460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388470-99999_fig2.png,388470,99999,3,GsEv,93644,19.4,58.4,13,[,655,210,1,],6,2,11,12,13,[,4,0,],34,137,[,13,56,1,23,13,30,1,],44,1,38.1,69.317,660,2008,2020,TI,,DANGARA,,388470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388510-99999_fig2.png,388510,99999,3,Gs__,86483,19.4,61.7,15,[,789,14,0,],1,0,3,4,4,[,0,0,],25,101,[,15,53,0,25,7,1,0,],8,0,39,70.3,1316,2014,2020,TI,,RASHT,,388510-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388560-99999_fig2.png,388560,99999,3,GsEv,87325,19.4,61.3,15,[,675,99,3,],4,0,8,9,9,[,1,0,],23,110,[,10,54,0,18,12,14,1,],27,1,38.467,70.883,1288,2014,2020,TI,,DARVAZ,,388560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388690-99999_fig2.png,388690,99999,3,Gs__,67683,19.4,73.8,14,[,1568,0,0,],0,0,0,0,0,[,0,0,],26,97,[,15,81,0,1,0,0,0,],0,0,38.167,72.633,3276,2014,2020,TI,,IHRT,,388690-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388750-99999_fig2.png,388750,99999,3,Gs__,62124,19.4,78.9,13,[,2028,0,0,],0,0,0,0,0,[,0,0,],25,97,[,25,72,0,0,0,0,0,],0,0,39.017,73.55,3940,2014,2020,TI,,KARAKUL,,388750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388780-99999_fig2.png,388780,99999,3,Gs__,65124,19.4,76,16,[,1926,0,0,],0,0,0,0,0,[,0,0,],24,105,[,14,91,0,0,0,0,0,],0,0,38.167,73.967,3576,2014,2020,TI,,MURGAB,,388780-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389320-99999_fig2.png,389320,99999,3,GsEv,92611,19.4,58.9,9,[,1628,375,0,],0,0,0,0,0,[,0,0,],7,306,[,40,125,1,49,34,57,0,],91,0,37.95,68.567,752,2015,2020,TI,,GANDZHINA,,389320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389330-99999_fig2.png,389330,99999,3,GsAc,96646,19.4,57.2,31,[,1461,389,306,],10,17,31,39,42,[,44,5,],20,314,[,29,130,0,56,35,15,48,],99,52,37.817,68.783,429,1987,2020,TI,,KURGAN-TYUBE,,389330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389370-99999_fig2.png,389370,99999,3,HpEv,96843,19.4,57.1,5,[,524,120,37,],6,9,12,15,16,[,14,1,],3,109,[,9,50,0,19,12,10,9,],31,9,37.317,68.133,380,1987,1987,TI,,SHAARTUZ,,389370-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389430-99999_fig2.png,389430,99999,3,HpVt,93833,19.4,58.3,6,[,233,52,2,],3,1,6,6,7,[,1,0,],29,44,[,5,20,0,6,4,7,1,],12,1,37.917,69.783,659,1987,1991,TI,,KULYAB,,389430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389440-99999_fig2.png,389440,99999,3,GsAc,95803,19.4,57.5,25,[,1147,349,29,],14,8,25,29,30,[,17,0,],27,237,[,28,92,0,38,24,44,10,],78,10,37.483,69.383,448,1987,2020,TI,,PARKHAR,,389440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389470-99999_fig2.png,389470,99999,3,GsAc,97396,19.4,56.9,14,[,577,163,102,],4,6,12,14,16,[,17,2,],30,117,[,13,48,0,18,12,8,18,],39,19,37.233,69.083,363,1987,2020,TI,,PYANDJ,,389470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389510-99999_fig2.png,389510,99999,5,GsVt,79683,19.4,65.4,7,[,3200,47,1,],1,NaN,35,43,44,[,0,0,],7,361,[,40,217,0,75,26,3,0,],30,0,37.95,71.55,1981,2014,2020,TI,,RUSHAN,,389510-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389540-99999_fig2.png,389540,99999,5,GsVt,79358,19.4,65.6,33,[,3391,31,0,],1,NaN,34,43,44,[,0,0,],24,345,[,53,198,1,73,18,2,0,],21,0,37.5,71.5,2077,1987,2020,TI,,KHOROG,,389540-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389570-99999_fig2.png,389570,99999,3,Gs__,74469,19.4,68.7,15,[,1307,0,0,],0,0,0,0,0,[,0,0,],21,120,[,18,82,0,19,1,0,0,],1,0,36.717,71.6,2523,2014,2020,TI,,ISHKASHIM,,389570-99999_fig2.png
