URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/607100-99999_fig2.png,607100,99999,3,HpAc,100957,19.4,55.5,32,[,842,268,575,],2,14,24,33,49,[,24,3,],32,361,[,0,179,0,77,70,6,28,],90,87,36.98,8.877,70,1987,2020,TS,,TABARKA 7 NOVEMBRE,,607100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607140-99999_fig2.png,607140,99999,3,HpAc,101688,19.4,55.3,33,[,906,248,755,],1,14,24,33,46,[,35,5,],33,363,[,0,187,0,69,72,2,33,],92,95,37.245,9.791,6,1987,2020,TS,,SIDI AHMED AIR BASE,,607140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607150-99999_fig2.png,607150,99999,3,HpAc,101280,19.4,55.4,34,[,799,342,659,],4,17,27,35,48,[,39,5,],34,364,[,0,173,0,77,63,4,48,],107,94,36.851,10.227,7,1987,2020,TS,,CARTHAGE,,607150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607200-99999_fig2.png,607200,99999,3,HpAc,101404,19.4,55.4,34,[,759,238,1033,],2,13,21,28,41,[,23,1,],34,361,[,0,176,0,71,80,0,35,],94,110,36.85,11.083,30,1987,2020,TS,,KELIBIA,,607200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607230-99999_fig2.png,607230,99999,3,HpAc,99986,19.4,55.9,25,[,538,260,118,],6,13,21,25,31,[,22,4,],5,205,[,0,99,0,44,25,16,20,],60,28,36.733,9.183,159,2010,2020,TS,,BEJA,,607230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607250-99999_fig2.png,607250,99999,3,HpAc,100059,19.4,55.9,31,[,1033,481,438,],4,19,32,41,51,[,52,10,],31,362,[,1,185,0,63,46,15,52,],110,78,36.483,8.8,144,1987,2020,TS,,JENDOUBA,,607250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607280-99999_fig2.png,607280,99999,3,HpAc,100767,19.4,55.6,27,[,568,286,1091,],1,12,20,24,40,[,23,1,],15,319,[,0,149,0,60,60,2,48,],95,100,36.467,10.7,78,1987,2020,TS,,NABEUL,,607280-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607290-99999_fig2.png,607290,99999,3,HpAc,100077,19.4,55.8,10,[,570,190,218,],1,6,11,15,20,[,21,6,],5,209,[,0,113,0,43,34,3,16,],56,40,36.433,10.083,156,2014,2020,TS,,ZAGHONAN MAGRANE,,607290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607310-99999_fig2.png,607310,99999,3,HpAc,101253,19.4,55.4,11,[,786,263,677,],3,14,24,32,45,[,23,1,],11,363,[,0,173,0,77,74,4,34,],101,93,36.083,10.433,6,2010,2020,TS,,ENFIDHA,,607310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607320-99999_fig2.png,607320,99999,3,HpVt,95814,19.4,57.5,17,[,431,102,14,],2,2,6,9,11,[,5,0,],14,111,[,1,66,0,21,13,7,2,],25,6,36.133,8.7,518,2016,2020,TS,,LE KEF,,607320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607340-99999_fig2.png,607340,99999,3,HpAc,96659,19.4,57.2,33,[,1073,529,147,],8,20,35,43,52,[,24,1,],15,348,[,2,175,0,66,36,41,28,],104,36,36.067,9.367,445,1996,2020,TS,,SILIANA,,607340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607350-99999_fig2.png,607350,99999,2,HpAc,101033,19.4,55.5,34,[,691,592,539,],7,19,32,40,52,[,62,11,],34,363,[,0,154,0,77,47,20,65,],128,87,35.667,10.1,68,1987,2020,TS,,KAIROUAN,,607350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607380-99999_fig2.png,607380,99999,3,GsEv,89580,19.4,60.2,33,[,1927,166,1,],2,NaN,28,37,38,[,0,0,],32,355,[,34,195,1,70,31,24,0,],55,0,35.55,8.683,1092,1987,2020,TS,,THALA,,607380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607390-99999_fig2.png,607390,99999,3,HpAc,93752,19.4,58.4,18,[,1161,384,98,],7,19,31,41,50,[,15,0,],10,346,[,2,178,1,65,44,40,16,],96,29,35.167,8.833,707,2008,2020,TS,,KASSERINE,,607390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/607400-99999_fig2.png,607400,99999,2,HpAc,101659,19.4,55.3,34,[,653,343,1077,],2,16,24,31,47,[,39,5,],34,362,[,0,161,0,75,74,1,52,],111,117,35.667,10.75,2,1987,2020,TS,,MONASTIR-SKANES,,607400-99999_fig2.png
