URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/170200-99999_fig2.png,170200,99999,3,GsVt,101149,19.4,55.5,13,[,723,45,136,],1,5,9,11,15,[,2,0,],33,129,[,15,68,0,22,19,0,5,],20,21,41.633,32.333,33,2009,2020,TU,,BARTIN,,170200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/170220-99999_fig2.png,170220,99999,3,GsVt,100015,19.4,55.9,33,[,1868,32,181,],6,13,20,27,36,[,1,0,],34,352,[,31,198,0,82,38,1,2,],24,35,41.45,31.8,137,1987,2020,TU,,ZONGULDAK,,170220-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/170240-99999_fig2.png,170240,99999,3,GsVt,100806,19.4,55.6,33,[,1914,71,328,],3,11,21,27,34,[,2,0,],31,351,[,34,197,0,69,42,0,9,],35,47,41.983,33.783,64,1987,2020,TU,,INEBOLU,,170240-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/170260-99999_fig2.png,170260,99999,3,GsAc,101172,19.4,55.4,32,[,1780,72,574,],3,12,19,24,34,[,4,0,],29,360,[,18,210,0,59,62,0,11,],44,69,42.033,35.167,32,1987,2020,TU,,SINOP,,170260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/170300-99999_fig2.png,170300,99999,3,GsVt,101602,19.4,55.3,27,[,1332,56,245,],6,13,18,22,27,[,1,0,],32,282,[,14,162,0,58,44,0,4,],34,44,41.283,36.3,4,1987,2020,TU,,SAMSUN,,170300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/170310-99999_fig2.png,170310,99999,3,GsVt,101241,19.4,55.4,19,[,1876,33,314,],1,12,21,28,36,[,2,0,],18,364,[,22,213,0,73,55,0,1,],30,55,41.254,36.567,6,2002,2020,TU,,CARSAMBA,,170310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/170330-99999_fig2.png,170330,99999,3,HpAc,101624,19.4,55.3,14,[,959,117,453,],5,11,17,19,26,[,0,0,],11,259,[,5,140,0,46,54,1,13,],59,62,40.983,37.9,4,2013,2020,TU,,ORDU,,170330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/170340-99999_fig2.png,170340,99999,3,HpVt,101273,19.4,55.4,20,[,911,56,201,],7,10,14,16,20,[,0,0,],33,208,[,6,118,0,47,31,0,6,],31,33,40.917,38.383,37,2002,2020,TU,,GIRESUN,,170340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/170380-99999_fig2.png,170380,99999,3,GsVt,100919,19.4,55.5,33,[,1642,58,392,],8,15,21,26,32,[,1,0,],34,353,[,15,203,0,71,59,0,5,],40,63,40.995,39.79,32,1987,2020,TU,,TRABZON,,170380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/170400-99999_fig2.png,170400,99999,3,HpAc,101576,19.4,55.3,14,[,974,163,735,],4,10,16,18,25,[,5,0,],11,257,[,6,135,0,40,52,0,24,],64,74,41.033,40.517,9,2009,2020,TU,,RIZE,,170400-99999_fig2.png
