URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/466860-99999_fig2.png,466860,99999,2,HpAc,100930,19.4,55.5,34,[,272,643,3353,],2,13,19,25,35,[,111,19,],34,364,[,0,91,0,68,84,0,121,],169,204,25.078,121.233,33,1987,2020,TW,,CHIANG KAI SHEK INTL,,466860-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/466890-99999_fig2.png,466890,99999,3,HpAc,99983,19.4,55.9,13,[,1027,294,2498,],0,9,15,21,32,[,68,2,],12,365,[,2,169,0,45,66,0,84,],108,149,26.16,119.958,68,1987,1998,TW,,NANGAN,,466890-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/466920-99999_fig2.png,466920,99999,2,HpAc,101270,19.4,55.4,12,[,235,645,2963,],3,14,21,27,37,[,107,14,],12,360,[,0,81,0,77,91,0,111,],171,199,25.033,121.517,9,1987,1998,TW,,TAIBEI,,466920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/466940-99999_fig2.png,466940,99999,2,HpAc,101030,19.4,55.5,12,[,242,582,2897,],2,14,20,26,36,[,96,6,],12,360,[,0,88,0,74,90,0,107,],160,195,25.15,121.8,3,1987,1998,TW,,CHILUNG,,466940-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/466950-99999_fig2.png,466950,99999,2,HpAc,100190,19.4,55.8,12,[,278,428,3450,],0,10,15,21,33,[,92,6,],12,360,[,0,91,0,68,92,0,110,],146,201,25.633,122.067,102,1987,1998,TW,,PENGJIA YU(=589740),,466950-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/466960-99999_fig2.png,466960,99999,2,HpAc,101250,19.4,55.4,33,[,220,690,3284,],3,14,19,26,35,[,115,24,],32,353,[,0,74,0,73,84,0,122,],172,204,25.069,121.552,6,1987,2020,TW,,SUNGSHAN,,466960-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/466970-99999_fig2.png,466970,99999,2,HpAc,100813,19.4,55.6,12,[,317,531,3297,],0,11,17,24,32,[,103,13,],11,347,[,0,98,0,51,89,0,109,],152,199,25.056,121.243,46,1987,1998,TW,,TAOYUAN,,466970-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/466990-99999_fig2.png,466990,99999,2,HpAc,101114,19.4,55.5,12,[,91,536,3254,],1,12,18,24,34,[,98,3,],12,360,[,0,48,0,85,118,0,109,],178,226,23.983,121.6,19,1987,1998,TW,,HUA-LIEN CITY,,466990-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467060-99999_fig2.png,467060,99999,2,HpAc,101053,19.4,55.5,12,[,221,500,3055,],1,12,18,23,33,[,87,1,],12,360,[,0,79,0,72,102,0,106,],159,208,24.6,121.85,3,1987,1998,TW,,SUAO MET STATION,,467060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467080-99999_fig2.png,467080,99999,2,HpAc,101266,19.4,55.4,12,[,231,482,3297,],0,10,17,24,34,[,106,7,],12,360,[,0,81,0,66,103,0,110,],155,213,24.75,121.783,7,1987,1998,TW,,ILAN CITY,,467080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467300-99999_fig2.png,467300,99999,1,HpAc,100755,19.4,55.6,13,[,93,705,4454,],0,10,16,21,32,[,126,9,],12,364,[,0,52,0,71,95,0,146,],198,242,23.267,119.667,45,1987,1998,TW,,DONGSHI,,467300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467340-99999_fig2.png,467340,99999,2,HpAc,100917,19.4,55.5,13,[,141,537,4016,],0,10,15,21,31,[,110,4,],12,346,[,0,67,0,55,96,0,128,],175,224,23.569,119.628,31,1987,1998,TW,,MAGONG,,467340-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467350-99999_fig2.png,467350,99999,2,HpAc,101145,19.4,55.5,12,[,137,632,4112,],1,12,16,22,32,[,115,11,],12,360,[,0,66,0,65,95,0,134,],188,229,23.5,119.5,21,1987,1998,TW,,PENGHU ISLANDS,,467350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467360-99999_fig2.png,467360,99999,2,HpAc,101154,19.4,55.5,14,[,563,440,3372,],0,8,15,21,33,[,98,13,],12,364,[,0,137,0,42,75,0,110,],138,185,24.428,118.359,28,1987,1998,TW,,SHANG YI,,467360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467373-99999_fig2.png,467373,99999,2,HpAc,99643,19.4,56,2,[,268,675,3732,],0,9,18,23,32,[,116,13,],1,339,[,0,94,0,46,70,0,129,],157,199,24.933,121.3,141,1989,1989,TW,,BAKUAI/PA KUEI,,467373-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467380-99999_fig2.png,467380,99999,2,HpAc,100678,19.4,55.6,13,[,106,679,3586,],1,10,19,25,34,[,118,10,],9,336,[,0,45,0,71,96,0,125,],184,219,24.933,121.3,141,1987,1997,TW,,PA KUEI/BAKUAI,,467380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467400-99999_fig2.png,467400,99999,1,HpAc,101220,19.4,55.4,34,[,40,867,4411,],3,13,19,25,35,[,147,5,],34,364,[,0,22,0,77,97,0,167,],240,263,22.577,120.35,8,1987,2020,TW,,KAOHSIUNG INTL,,467400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467403-99999_fig2.png,467403,99999,3,HpAc,100802,19.4,55.6,19,[,20,394,2053,],1,6,10,13,19,[,62,2,],30,186,[,0,11,0,42,58,0,74,],112,131,22.755,121.102,44,1987,2020,TW,,FENGNIN,,467403-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467410-99999_fig2.png,467410,99999,1,HpAc,101083,19.4,55.5,12,[,99,778,4039,],1,13,19,26,35,[,143,13,],12,359,[,0,49,0,73,88,0,149,],208,237,23,120.217,14,1987,1998,TW,,TAINAN (=593580),,467410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467425-99999_fig2.png,467425,99999,2,HpAc,NaN,19.4,NaN,12,[,98,335,0,],0,NaN,NaN,NaN,NaN,[,153,66,],11,336,[,0,51,0,22,115,0,147,],149,265,NaN,NaN,0,1987,1997,TW,,BOGUS TAIWANESE,,467425-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467430-99999_fig2.png,467430,99999,3,HpAc,101100,19.4,55.5,18,[,49,381,2175,],1,6,10,13,19,[,74,4,],31,196,[,0,23,0,41,54,0,78,],115,132,22.95,120.206,19,1987,2020,TW,,TAINAN,,467430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467440-99999_fig2.png,467440,99999,1,HpAc,101186,19.4,55.4,12,[,35,842,4393,],0,13,19,24,34,[,138,5,],12,360,[,0,23,0,83,93,0,161,],232,253,22.633,120.283,29,1987,1998,TW,,KAOHSIUNG,,467440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467450-99999_fig2.png,467450,99999,2,HpAc,101153,19.4,55.5,13,[,96,661,4015,],0,10,17,24,34,[,130,5,],12,347,[,0,47,0,61,99,0,140,],201,239,22.783,120.262,10,1987,1998,TW,,GANGSHAN,,467450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467460-99999_fig2.png,467460,99999,2,HpAc,100938,19.4,55.5,12,[,174,583,3884,],0,9,17,25,34,[,138,15,],11,347,[,0,70,0,52,96,0,130,],180,226,23.462,120.393,26,1987,1998,TW,,CHIAYI,,467460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467480-99999_fig2.png,467480,99999,2,HpAc,100919,19.4,55.5,12,[,195,569,3534,],0,10,18,26,35,[,130,8,],12,360,[,0,76,0,62,100,0,122,],178,222,23.5,120.45,28,1987,1998,TW,,CHIAYI,,467480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467490-99999_fig2.png,467490,99999,2,HpAc,100265,19.4,55.8,12,[,172,616,3146,],1,13,20,27,36,[,116,2,],12,360,[,0,68,0,76,98,0,117,],186,214,24.15,120.683,78,1987,1998,TW,,TAICHUNG (=591580),,467490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467500-99999_fig2.png,467500,99999,1,HpAc,100950,19.4,55.5,13,[,38,794,4355,],0,10,18,26,36,[,165,25,],12,347,[,0,24,0,66,97,0,160,],225,257,22.672,120.462,24,1987,1998,TW,,PINGTUNG SOUTH,,467500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467510-99999_fig2.png,467510,99999,2,HpAc,100141,19.4,55.8,13,[,224,582,3541,],0,10,18,26,35,[,127,17,],12,347,[,0,78,0,57,92,0,120,],172,212,24.186,120.654,115,1987,1998,TW,,TAICHUNG,,467510-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467520-99999_fig2.png,467520,99999,1,__Ac,101172,19.4,55.4,12,[,7,803,4622,],1,11,18,24,34,[,149,7,],11,349,[,0,6,0,71,110,0,162,],241,271,22.041,120.73,14,1987,1997,TW,,HENGCHUN,,467520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467530-99999_fig2.png,467530,99999,4,Gs__,76566,19.4,67.3,12,[,2368,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],12,357,[,13,344,0,0,0,0,0,],0,0,23.517,120.8,2406,1987,1998,TW,,MOUNT ALISAN,,467530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467540-99999_fig2.png,467540,99999,1,__Ac,101012,19.4,55.5,12,[,11,824,3988,],0,11,20,26,39,[,128,11,],12,356,[,0,10,0,82,116,0,149,],231,261,22.35,120.9,8,1987,1998,TW,,DAWU,,467540-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467550-99999_fig2.png,467550,99999,6,Gs__,64403,19.4,76.7,12,[,4470,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],12,347,[,103,244,0,0,0,0,0,],0,0,23.483,120.95,3850,1987,1998,TW,,MOUNT MORRISON,,467550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467560-99999_fig2.png,467560,99999,2,HpAc,101153,19.4,55.5,12,[,283,541,3465,],0,10,17,23,34,[,105,8,],11,347,[,0,95,0,49,89,0,114,],158,203,24.818,120.939,8,1987,1998,TW,,HSINCHU,,467560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467570-99999_fig2.png,467570,99999,2,HpAc,100974,19.4,55.5,12,[,293,554,3079,],0,12,19,25,35,[,106,8,],12,360,[,0,96,0,65,90,0,109,],163,198,24.833,120,27,1987,1998,TW,,HSINCHU CITY,,467570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467580-99999_fig2.png,467580,99999,1,HpAc,100917,19.4,55.5,12,[,45,718,4237,],0,10,18,26,35,[,159,16,],11,347,[,0,27,0,66,102,0,152,],217,253,22.7,120.482,30,1987,1998,TW,,PINGTUNG NORTH,,467580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467590-99999_fig2.png,467590,99999,1,__Ac,100942,19.4,55.5,12,[,7,728,4175,],0,11,18,24,37,[,138,4,],12,360,[,0,8,0,87,116,0,149,],239,261,22,120.75,24,1987,1998,TW,,HENGCHUN (=595590),,467590-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467600-99999_fig2.png,467600,99999,1,HpAc,101138,19.4,55.5,12,[,34,667,3999,],0,11,18,23,34,[,117,5,],11,346,[,0,22,0,71,119,0,133,],205,253,22.793,121.182,37,1987,1998,TW,,JHIHHANG,,467600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467610-99999_fig2.png,467610,99999,1,HpAc,100838,19.4,55.6,12,[,50,625,3761,],1,11,18,23,34,[,112,2,],12,358,[,0,30,0,82,117,0,129,],200,245,23.1,121.367,37,1987,1998,TW,,CHENG-KUNG,,467610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467620-99999_fig2.png,467620,99999,2,HpAc,97528,19.4,56.8,12,[,58,273,3708,],0,9,13,18,30,[,47,0,],12,358,[,0,37,0,63,144,0,113,],158,258,22.029,121.534,13,1987,1998,TW,,LANYU,,467620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467630-99999_fig2.png,467630,99999,2,HpAc,101176,19.4,55.4,14,[,103,521,3640,],0,10,17,23,33,[,108,4,],12,346,[,0,50,0,67,111,0,118,],172,229,24.023,121.618,16,1987,1998,TW,,HUALIEN,,467630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/467640-99999_fig2.png,467640,99999,2,HpAc,101285,19.4,55.4,12,[,194,602,3934,],0,7,16,22,34,[,110,20,],11,347,[,0,72,0,54,96,0,125,],162,221,24.75,121.767,9,1987,1997,TW,,ILAN,,467640-99999_fig2.png
