URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/381412-99999_fig2.png,381412,99999,4,GsAc,100308,19.4,55.8,16,[,2097,468,184,],11,19,30,37,48,[,14,0,],16,362,[,39,167,1,54,34,44,24,],101,32,40.063,53.007,85,2005,2020,TX,,TURKMENBASHI,,381412-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/383880-99999_fig2.png,383880,99999,4,GsAc,101147,19.4,55.5,34,[,2619,647,103,],21,30,41,47,52,[,25,4,],33,363,[,61,143,1,44,29,66,19,],114,20,41.033,57.767,62,1987,2020,TX,,EKEZHE,,383880-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/383920-99999_fig2.png,383920,99999,4,GsAc,100819,19.4,55.6,34,[,2782,468,199,],20,26,38,44,49,[,30,4,],33,364,[,65,146,0,50,35,33,36,],104,38,41.75,59.817,82,1987,2020,TX,,DASHKHOVUZ,,383920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/384573-99999_fig2.png,384573,99999,3,GsEv,98688,19.4,56.4,14,[,1769,702,14,],32,38,43,49,52,[,17,0,],14,363,[,35,143,1,53,33,89,8,],132,8,37.619,61.897,222,2006,2020,TX,,MARY,,384573-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/384574-99999_fig2.png,384574,99999,4,GsAc,100333,19.4,55.8,12,[,2488,506,160,],21,25,37,42,46,[,25,3,],13,337,[,53,137,1,44,31,37,33,],103,36,41.761,59.827,83,2007,2020,TX,,DASHOGUZ,,384574-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/385070-99999_fig2.png,385070,99999,4,GsAc,100779,19.4,55.6,34,[,2132,400,206,],9,18,29,37,48,[,16,1,],33,364,[,40,172,1,56,36,36,22,],94,33,40.033,52.983,90,1987,2020,TX,,TURKMENBASHI,,385070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/385110-99999_fig2.png,385110,99999,3,GsAc,100451,19.4,55.7,20,[,1536,405,82,],12,16,24,28,32,[,16,2,],21,224,[,40,84,1,28,17,39,14,],70,15,40.783,55.333,115,2008,2020,TX,,CHAGYL,,385110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/385450-99999_fig2.png,385450,99999,4,GsAc,100060,19.4,55.9,34,[,2486,389,159,],17,21,38,45,49,[,26,4,],33,364,[,46,162,0,57,39,36,24,],100,27,40.467,62.283,142,1987,2020,TX,,DARGANATA,,385450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/386470-99999_fig2.png,386470,99999,3,GsAc,101199,19.4,55.4,34,[,1965,733,223,],21,28,37,43,52,[,33,3,],33,357,[,42,145,3,42,29,62,34,],125,35,39.25,55.517,31,1987,2020,TX,,GAZANDZHYK,,386470-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/386560-99999_fig2.png,386560,99999,3,GsAc,100724,19.4,55.6,34,[,2020,832,114,],28,31,42,48,53,[,29,3,],33,358,[,33,150,2,42,27,82,21,],131,22,39.317,58.6,87,1987,2020,TX,,ERBENT,,386560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/386870-99999_fig2.png,386870,99999,4,GsAc,99450,19.4,56.1,34,[,2075,469,40,],24,26,40,47,50,[,15,0,],33,364,[,46,150,1,57,40,58,13,],112,13,39.083,63.6,190,1987,2020,TX,,CHARDZHEV,,386870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/387500-99999_fig2.png,387500,99999,3,GsAc,102048,19.4,55.1,34,[,1591,381,1418,],2,16,22,28,43,[,45,5,],33,364,[,21,169,0,54,55,2,63,],111,111,37.467,53.967,-22,1987,2020,TX,,ESENGULY,,387500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/387630-99999_fig2.png,387630,99999,3,GsAc,100704,19.4,55.6,34,[,2008,739,362,],16,27,35,42,52,[,44,6,],33,364,[,48,141,1,45,32,50,47,],129,50,38.983,56.283,92,1987,2020,TX,,GYZYLARBAT,,387630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/387740-99999_fig2.png,387740,99999,3,GsAc,99915,19.4,55.9,32,[,1858,745,258,],19,30,38,44,52,[,34,3,],31,357,[,47,136,0,48,29,54,42,],127,43,38.433,57.417,159,1987,2020,TX,,BAKHERDEN,,387740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/387990-99999_fig2.png,387990,99999,3,GsAc,99483,19.4,56.1,34,[,1890,813,54,],25,34,45,50,54,[,34,3,],33,358,[,35,148,1,46,27,86,15,],129,16,38.083,62.8,185,1987,2020,TX,,UCHADZHY,,387990-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388060-99999_fig2.png,388060,99999,3,GsAc,99124,19.4,56.2,32,[,1884,529,50,],18,26,39,46,51,[,22,1,],31,357,[,39,150,0,56,35,62,14,],113,15,38.467,64.367,212,1987,2020,TX,,BYRDALYK,,388060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388800-99999_fig2.png,388800,99999,3,GsAc,99231,19.4,56.2,34,[,1888,703,93,],23,29,39,45,51,[,21,1,],33,364,[,44,144,1,49,31,75,21,],127,21,37.987,58.361,211,1987,2020,TX,,ASHGABAT,,388800-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388860-99999_fig2.png,388860,99999,3,GsAc,99548,19.4,56,34,[,1748,572,142,],20,29,39,45,50,[,33,3,],29,352,[,35,146,0,52,34,60,25,],120,27,37.383,60.517,186,1987,2020,TX,,TEDZHEN,,388860-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/388950-99999_fig2.png,388950,99999,3,GsAc,98953,19.4,56.3,33,[,1766,669,71,],25,30,41,47,51,[,30,2,],32,363,[,29,153,1,52,33,73,21,],128,21,37.6,62.183,240,1987,2020,TX,,BAJRAMALY,,388950-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389110-99999_fig2.png,389110,99999,3,GsAc,98794,19.4,56.3,34,[,1707,641,147,],19,25,39,46,51,[,37,4,],33,364,[,33,148,0,54,35,65,29,],129,30,37.833,65.2,240,1987,2020,TX,,KERKI,,389110-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389150-99999_fig2.png,389150,99999,2,GsAc,98517,19.4,56.4,34,[,1521,797,74,],25,22,43,49,52,[,30,2,],33,358,[,28,142,1,51,31,91,14,],137,15,37.517,66.017,265,1987,2020,TX,,CARSANGA,,389150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389740-99999_fig2.png,389740,99999,3,GsEv,98432,19.4,56.5,32,[,1593,705,20,],31,37,43,48,51,[,17,0,],31,359,[,32,142,3,50,33,90,8,],133,10,36.533,61.217,275,1987,2020,TX,,SARAGT,,389740-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/389870-99999_fig2.png,389870,99999,3,GsEv,94478,19.4,58.1,33,[,1919,445,1,],10,NaN,42,47,47,[,2,0,],32,363,[,44,150,5,55,40,68,1,],108,1,35.283,62.35,625,1987,2020,TX,,GYSHGY,,389870-99999_fig2.png
