URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/637290-99999_fig2.png,637290,99999,2,__Vt,88725,19.4,60.6,32,[,0,24,374,],1,13,20,27,33,[,0,0,],15,332,[,0,0,0,166,165,0,1,],34,162,-1.333,31.817,1137,2005,2020,TZ,,BUKOBA,,637290-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/637330-99999_fig2.png,637330,99999,2,__Vt,88661,19.4,60.6,34,[,0,142,474,],3,16,24,32,39,[,0,0,],15,356,[,0,0,0,104,249,1,2,],150,203,-1.5,33.8,1147,2005,2020,TZ,,MUSOMA,,637330-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/637560-99999_fig2.png,637560,99999,2,__Vt,88710,19.4,60.6,34,[,0,87,482,],1,14,23,31,39,[,0,0,],17,354,[,0,0,0,123,230,0,1,],113,195,-2.444,32.933,1147,1987,2020,TZ,,MWANZA,,637560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/637890-99999_fig2.png,637890,99999,3,HpVt,85737,19.4,62.1,30,[,48,13,6,],8,15,18,23,26,[,0,0,],14,270,[,0,46,0,207,16,1,0,],13,5,-3.368,36.633,1387,2005,2020,TZ,,ARUSHA,,637890-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/637910-99999_fig2.png,637910,99999,2,__Ac,91425,19.4,59.4,34,[,1,315,449,],3,14,25,35,45,[,4,0,],20,354,[,0,2,0,138,184,12,18,],169,147,-3.429,37.074,894,1987,2020,TZ,,KILIMANJARO INTL,,637910-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/638010-99999_fig2.png,638010,99999,2,__Ev,92023,19.4,59.1,31,[,0,191,1461,],0,11,19,27,39,[,1,0,],16,334,[,0,0,0,55,268,3,8,],160,247,-4.883,29.633,885,2005,2020,TZ,,KIGOMA,,638010-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/638320-99999_fig2.png,638320,99999,2,__Ev,88306,19.4,60.8,33,[,1,251,258,],2,13,23,33,41,[,0,0,],16,352,[,0,1,0,130,198,21,2,],156,112,-5.083,32.833,1190,2003,2020,TZ,,TABORA AIRPORT,,638320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/638620-99999_fig2.png,638620,99999,2,__Vt,89118,19.4,60.4,34,[,1,149,186,],7,15,25,34,40,[,0,0,],19,349,[,0,1,0,190,150,5,3,],119,84,-6.17,35.753,1120,1987,2020,TZ,,DODOMA,,638620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/638660-99999_fig2.png,638660,99999,1,__Ac,95389,19.4,57.7,34,[,0,485,2247,],1,13,22,31,40,[,60,0,],15,353,[,0,0,0,70,223,0,60,],231,264,-6.833,37.65,526,2005,2020,TZ,,MOROGORO (MET),,638660-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/638700-99999_fig2.png,638700,99999,1,__Ac,101134,19.4,55.5,34,[,0,1031,5832,],0,11,18,25,34,[,198,8,],18,352,[,0,0,0,1,142,0,209,],346,349,-6.222,39.225,16,1988,2020,TZ,,ZANZIBAR,,638700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/638810-99999_fig2.png,638810,99999,3,Hp__,82113,19.4,64,22,[,92,1,0,],0,0,0,0,0,[,0,0,],23,231,[,0,74,0,156,1,0,0,],1,0,-7.967,31.63,1923,2005,2020,TZ,,SUMBAWANGA,,638810-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/638870-99999_fig2.png,638870,99999,2,HpVt,85942,19.4,62,33,[,16,20,11,],3,23,24,32,36,[,0,0,],14,355,[,0,22,0,308,24,1,0,],22,7,-7.669,35.752,1426,2005,2020,TZ,,IRINGA,,638870-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/638940-99999_fig2.png,638940,99999,1,__Ac,100742,19.4,55.6,34,[,0,788,5007,],0,10,18,26,36,[,183,5,],27,349,[,0,0,0,3,182,0,164,],304,346,-6.878,39.203,56,1987,2020,TZ,,MWALIMU JULIUS K NYERERE INTL,,638940-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/639320-99999_fig2.png,639320,99999,3,Hp__,82430,19.4,63.8,29,[,256,4,0,],0,NaN,NaN,NaN,NaN,[,0,0,],11,348,[,0,130,0,214,4,0,0,],5,0,-8.933,33.467,1707,1988,2014,TZ,,MBEYA,,639320-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/639620-99999_fig2.png,639620,99999,2,HpVt,89801,19.4,60.1,34,[,24,91,349,],1,13,22,30,40,[,0,0,],15,352,[,0,27,0,164,157,3,1,],72,122,-10.683,35.583,1067,2005,2020,TZ,,SONGEA,,639620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/639710-99999_fig2.png,639710,99999,1,__Ac,100084,19.4,55.8,34,[,0,737,4775,],0,9,18,26,37,[,163,0,],15,356,[,0,0,0,5,193,0,158,],310,348,-10.339,40.182,113,2005,2020,TZ,,MTWARA,,639710-99999_fig2.png
