URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/330001-99999_fig2.png,330001,99999,5,GsEv,99017,19.4,56.2,10,[,3706,85,9,],13,9,29,38,41,[,0,0,],9,365,[,132,130,0,69,23,11,1,],34,4,48.417,39.374,194,2005,2013,UP,,LUHANSK INTL,,330001-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/330002-99999_fig2.png,330002,99999,3,Gs__,98462,19.4,56.5,2,[,401,7,0,],0,0,0,0,0,[,0,0,],9,41,[,12,19,0,7,2,1,0,],3,0,48.074,37.74,241,2008,2008,UP,,DONETSK INTL,,330002-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/330003-99999_fig2.png,330003,99999,5,GsVt,99839,19.4,55.9,16,[,3366,71,25,],13,13,30,38,43,[,1,0,],16,364,[,113,145,0,72,25,6,3,],33,9,48.043,33.21,124,2005,2020,UP,,LOZUVATKA INTL,,330003-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/330004-99999_fig2.png,330004,99999,5,GsVt,99576,19.4,56,16,[,3417,73,39,],9,15,29,38,43,[,3,0,],16,364,[,119,140,0,68,29,4,4,],35,14,48.357,35.101,147,2005,2020,UP,,DNIPROPETROVSK INTL,,330004-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/330005-99999_fig2.png,330005,99999,5,GsVt,98101,19.4,56.6,16,[,3438,10,22,],2,10,25,34,38,[,0,0,],16,364,[,109,181,0,63,11,0,0,],8,8,48.883,24.683,287,2005,2020,UP,,IVANO FRANKIVSK,,330005-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/330490-99999_fig2.png,330490,99999,3,Gs__,99784,19.4,56,17,[,1853,2,2,],2,2,7,10,11,[,0,0,],24,157,[,62,75,0,18,2,0,0,],2,1,52.183,32.583,161,1987,2015,UP,,SEMENOVKA,,330490-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/330580-99999_fig2.png,330580,99999,3,Hp__,99063,19.4,56.2,10,[,203,0,1,],0,1,1,2,2,[,0,0,],18,19,[,7,8,0,4,0,0,0,],0,0,52.05,33.95,190,2015,2015,UP,,DRUZHBA,,330580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/330670-99999_fig2.png,330670,99999,3,Hp__,99801,19.4,56,6,[,125,1,1,],0,0,1,1,2,[,0,0,],25,14,[,4,7,0,2,1,0,0,],1,0,51.483,23.85,164,2015,2015,UP,,SVITYAZ,,330670-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/330880-99999_fig2.png,330880,99999,5,Gs__,99801,19.4,56,34,[,3756,9,15,],7,13,25,35,38,[,0,0,],34,360,[,124,178,0,50,8,0,0,],7,5,51.283,26.617,156,1987,2020,UP,,SARNY,,330880-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/331350-99999_fig2.png,331350,99999,5,GsVt,100251,19.4,55.8,34,[,3969,12,17,],7,15,26,35,38,[,1,0,],34,364,[,131,166,0,55,11,0,1,],9,7,51.467,31.25,141,1987,2020,UP,,CHERNIHIV,,331350-99999_fig2.png
