URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/700001-26492_fig2.png,700001,26492,7,Gs__,100611,19.4,55.7,14,[,5514,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],14,363,[,176,186,0,1,0,0,0,],0,0,60.785,-148.839,31,2007,2020,US,AK,PORTAGE GLACIER,,700001-26492_fig2.png
https://bioclimatic.github.io/predilection/psych/700001-99999_fig2.png,700001,99999,6,Gs__,100977,19.4,55.5,1,[,5096,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],1,361,[,171,189,0,1,0,0,0,],0,0,60.783,-148.833,29,2005,2005,US,AK,PORTAGE GLACIER,,700001-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/700197-26558_fig2.png,700197,26558,8,Gs__,101096,19.4,55.5,4,[,7914,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],4,353,[,208,139,0,6,0,0,0,],0,0,66.6,-159.986,8,2007,2020,US,AK,SELAWIK,,700197-26558_fig2.png
https://bioclimatic.github.io/predilection/psych/700197-99999_fig2.png,700197,99999,8,____,101230,19.4,55.4,0,[,7886,0,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],11,337,[,NaN,325,NaN,12,0,NaN,NaN,],0,0,66.617,-160,8,1995,2005,US,AK,SELAWIK,,700197-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/700260-27502_fig2.png,700260,27502,8,Gs__,101403,19.4,55.4,23,[,10413,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],22,365,[,329,36,0,0,0,0,0,],0,0,71.283,-156.782,10,1987,2020,US,AK,W POST-WILL ROGERS MEMORIAL A,,700260-27502_fig2.png
https://bioclimatic.github.io/predilection/psych/700300-27508_fig2.png,700300,27508,3,Hp__,101220,19.4,55.4,0,[,1039,0,0,],0,0,0,0,0,[,0,0,],9,35,[,0,35,0,0,0,0,0,],0,0,70.617,-159.85,27,1999,1999,US,AK,WAINWRIGHT (DEW),,700300-27508_fig2.png
https://bioclimatic.github.io/predilection/psych/700300-99999_fig2.png,700300,99999,8,Gs__,101220,19.4,55.4,3,[,9869,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],3,351,[,294,57,0,0,0,0,0,],0,0,70.617,-159.85,27,2001,2004,US,AK,WAINWRIGHT (DEW),,700300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/700450-27512_fig2.png,700450,27512,8,____,101357,19.4,55.4,0,[,10191,0,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],1,329,[,NaN,329,NaN,0,0,NaN,NaN,],0,0,70.917,-153.25,9,1987,1987,US,AK,LONELY,,700450-27512_fig2.png
https://bioclimatic.github.io/predilection/psych/700631-25715_fig2.png,700631,25715,6,Gs__,101120,19.4,55.5,7,[,4513,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],5,328,[,117,211,0,0,0,0,0,],0,0,52.22,-174.206,17,2007,2012,US,AK,ATKA AIRPORT,,700631-25715_fig2.png
https://bioclimatic.github.io/predilection/psych/700631-99999_fig2.png,700631,99999,6,Gs__,101098,19.4,55.5,1,[,4528,0,0,],0,NaN,NaN,NaN,NaN,[,0,0,],1,345,[,134,211,0,0,0,0,0,],0,0,60.872,-146.691,19,2005,2005,US,AK,TATITLEK,,700631-99999_fig2.png
