URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/863150-99999_fig2.png,863150,99999,3,HpAc,100690,19.4,55.6,23,[,588,249,831,],1,12,22,32,43,[,34,2,],16,345,[,1,123,0,96,89,2,33,],95,109,-30.267,-57.583,53,1987,2009,UY,,BELLA UNION,,863150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/863300-99999_fig2.png,863300,99999,3,HpAc,100229,19.4,55.8,34,[,709,199,665,],1,12,23,33,43,[,33,2,],33,360,[,1,140,0,106,85,2,25,],84,95,-30.401,-56.508,128,1987,2020,UY,,ARTIGAS INTL,,863300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/863500-99999_fig2.png,863500,99999,3,HpAc,99004,19.4,56.3,30,[,759,146,498,],1,12,23,33,43,[,19,0,],28,355,[,1,155,0,104,76,2,17,],67,80,-30.975,-55.476,223,1987,2020,UY,,PRESIDENTE GENERAL DON OSCAR,,863500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/863600-99999_fig2.png,863600,99999,3,HpAc,101205,19.4,55.4,32,[,722,253,728,],1,12,24,33,44,[,35,3,],32,363,[,1,146,0,98,81,3,33,],93,97,-31.433,-57.983,57,1987,2020,UY,,NUEVA HESPERIDES INTL,,863600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/863700-99999_fig2.png,863700,99999,3,HpEv,99678,19.4,56,17,[,611,88,266,],1,9,16,23,30,[,9,0,],20,250,[,2,115,0,72,50,1,9,],43,53,-31.749,-55.926,138,1987,2006,UY,,TACUAREMBO,,863700-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/864300-99999_fig2.png,864300,99999,3,HpAc,100666,19.4,55.6,22,[,578,153,389,],1,8,18,25,31,[,18,2,],19,259,[,0,114,0,69,54,1,20,],60,61,-32.365,-58.061,55,1987,2005,UY,,TYDEO LARRE BORGES INTL,,864300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/864400-99999_fig2.png,864400,99999,3,HpAc,100187,19.4,55.8,28,[,832,143,525,],0,12,22,31,42,[,17,1,],28,351,[,2,162,0,99,70,1,18,],63,78,-32.338,-54.217,114,1987,2020,UY,,CERRO LARGO,,864400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/864500-99999_fig2.png,864500,99999,3,HpAc,100368,19.4,55.7,28,[,624,131,335,],2,9,18,24,33,[,13,0,],20,251,[,1,115,0,66,51,3,16,],52,55,-32.683,-57.633,80,1987,2012,UY,,YOUNG,,864500-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/864600-99999_fig2.png,864600,99999,3,HpAc,100674,19.4,55.6,34,[,953,125,379,],2,13,23,33,44,[,18,1,],30,357,[,2,178,0,96,65,2,14,],58,65,-32.8,-56.517,75,1987,2018,UY,,PASO DE LOS TOROS,,864600-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/864900-99999_fig2.png,864900,99999,3,HpAc,101513,19.4,55.3,32,[,871,162,459,],1,11,23,32,42,[,21,1,],28,338,[,2,163,0,88,63,2,20,],65,70,-33.25,-58.067,22,1987,2020,UY,,MERCEDES/RICARDO DE,,864900-99999_fig2.png
