URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/804030-99999_fig2.png,804030,99999,0,__Ac,101110,19.4,55.5,30,[,0,1708,6514,],1,14,21,27,37,[,282,67,],21,329,[,0,0,0,0,26,0,303,],328,329,11.415,-69.681,16,1988,2015,VE,,JOSE LEONARDO CHIRINOS,,804030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/804043-99999_fig2.png,804043,99999,3,__Ac,101050,19.4,55.5,10,[,0,260,776,],0,2,3,3,4,[,31,2,],17,41,[,0,0,0,0,0,0,41,],41,41,11.781,-70.151,23,2010,2013,VE,,JOSEFA CAMEJO,,804043-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/804070-99999_fig2.png,804070,99999,0,__Ac,100467,19.4,55.7,34,[,0,1768,7245,],0,12,21,28,37,[,321,60,],22,352,[,0,0,0,0,17,0,335,],352,352,10.558,-71.728,72,1991,2014,VE,,LA CHINITA INTL,,804070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/804100-99999_fig2.png,804100,99999,1,__Ac,94241,19.4,58.2,31,[,2,486,2379,],3,13,22,31,41,[,22,0,],28,353,[,0,0,0,6,317,0,30,],299,333,10.043,-69.359,622,1988,2020,VE,,BARQUISIMETO INTL,,804100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/804120-99999_fig2.png,804120,99999,3,____,101207,19.4,55.4,11,[,0,100,0,],0,0,0,0,0,[,0,0,],12,23,[,NaN,NaN,NaN,NaN,NaN,NaN,NaN,],23,23,10.481,-68.073,10,2011,2011,VE,,GENERAL BARTOLOME SALOM INTL,,804120-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/804130-99999_fig2.png,804130,99999,1,__Ac,96599,19.4,57.2,33,[,0,865,3584,],1,12,22,31,41,[,110,1,],21,342,[,0,0,0,3,210,0,129,],325,332,10.25,-67.649,408,1988,2020,VE,,MARISCAL SUCRE,,804130-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/804150-99999_fig2.png,804150,99999,0,__Ac,100743,19.4,55.6,34,[,0,1144,6793,],1,11,17,25,34,[,235,22,],34,361,[,0,0,0,0,107,0,254,],355,361,10.603,-66.991,72,1987,2020,VE,,SIMON BOLIVAR INTL,,804150-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/804160-99999_fig2.png,804160,99999,2,__Vt,91847,19.4,59.2,29,[,0,142,891,],2,11,18,25,32,[,2,0,],11,288,[,0,1,0,85,197,1,4,],129,178,10.485,-66.844,856,1990,2020,VE,,GENERALISIMO FRANCISCO DE MIR,,804160-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/804190-99999_fig2.png,804190,99999,1,__Ac,101230,19.4,55.4,31,[,0,1352,5779,],1,11,20,27,35,[,286,21,],18,331,[,0,0,0,0,41,0,290,],330,330,10.107,-64.689,8,1991,2016,VE,,GENERAL JOSE ANTONIO ANZOATEG,,804190-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/804200-99999_fig2.png,804200,99999,1,__Ac,101241,19.4,55.4,30,[,0,1224,4018,],3,15,24,31,38,[,160,1,],14,338,[,0,0,0,0,104,0,234,],336,336,10.45,-64.13,4,1992,2015,VE,,ANTONIO JOSE DE SUCRE,,804200-99999_fig2.png
