URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/488020-99999_fig2.png,488020,99999,3,Hp__,83951,19.4,63,3,[,278,0,3,],1,2,2,3,3,[,0,0,],28,84,[,1,49,0,30,4,0,0,],0,4,22.35,103.817,1581,2013,2020,VM,,SA PA,,488020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488030-99999_fig2.png,488030,99999,2,HpAc,99971,19.4,55.9,29,[,138,656,3778,],1,9,15,21,32,[,125,37,],33,305,[,0,50,0,48,78,0,130,],173,208,22.5,103.967,97,1993,2020,VM,,LAO CAI,,488030-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488060-99999_fig2.png,488060,99999,2,HpAc,93562,19.4,58.4,23,[,270,268,2190,],2,10,18,27,41,[,47,0,],23,360,[,0,77,0,80,172,0,30,],146,197,21.333,103.9,676,1998,2020,VM,,SON LA,,488060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488080-99999_fig2.png,488080,99999,2,HpAc,98403,19.4,56.5,29,[,322,431,2958,],1,8,14,22,32,[,107,20,],33,305,[,0,79,0,46,78,0,102,],148,180,22.667,106.25,243,1993,2020,VM,,CAO BANG,,488080-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488100-99999_fig2.png,488100,99999,3,HpAc,99158,19.4,56.2,10,[,58,159,1070,],1,2,4,6,9,[,34,7,],31,90,[,0,18,0,13,23,0,36,],48,59,22.15,105.833,176,2013,2020,VM,,BAC CAN,,488100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488200-99999_fig2.png,488200,99999,1,HpAc,101250,19.4,55.4,33,[,170,829,4836,],1,10,17,24,36,[,157,60,],33,362,[,0,60,0,53,83,0,167,],207,248,21.221,105.807,12,1987,2020,VM,,NOIBAI INTL,,488200-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488230-99999_fig2.png,488230,99999,2,HpAc,101142,19.4,55.5,28,[,141,692,4192,],0,9,14,19,28,[,128,45,],33,295,[,0,48,0,39,70,0,139,],169,209,20.433,106.15,3,1993,2020,VM,,NAM DINH,,488230-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488250-99999_fig2.png,488250,99999,3,HpAc,101068,19.4,55.5,9,[,32,234,1245,],0,3,4,6,9,[,39,16,],33,87,[,0,12,0,12,20,0,43,],53,62,20.967,105.767,8,2013,2020,VM,,HA DONG,,488250-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488251-99999_fig2.png,488251,99999,1,HpAc,101303,19.4,55.4,3,[,90,934,5578,],0,11,16,21,36,[,152,62,],3,363,[,0,36,0,56,95,0,177,],220,269,20.819,106.725,2,2018,2020,VM,,CAT BI INTL ARPT/HAI PHONG,,488251-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488260-99999_fig2.png,488260,99999,2,HpAc,99830,19.4,55.9,34,[,177,675,5091,],0,8,14,21,34,[,147,42,],30,360,[,0,61,0,45,92,0,163,],196,253,20.8,106.633,116,1991,2020,VM,,PHU LIEN,,488260-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488300-99999_fig2.png,488300,99999,2,HpAc,98179,19.4,56.6,29,[,388,385,2797,],1,8,14,21,31,[,92,6,],33,305,[,0,83,0,44,84,0,94,],142,178,21.833,106.767,263,1993,2020,VM,,LANG SON,,488300-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488310-99999_fig2.png,488310,99999,3,HpAc,100728,19.4,55.6,9,[,40,210,1213,],1,3,4,6,9,[,37,9,],31,90,[,0,15,0,13,20,0,42,],52,62,21.6,105.833,32,2013,2020,VM,,THAI NGUYEN,,488310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488380-99999_fig2.png,488380,99999,3,HpAc,101146,19.4,55.5,26,[,167,480,3089,],1,7,11,14,25,[,87,12,],26,239,[,0,49,0,35,52,0,104,],131,155,21.517,107.967,7,1998,2020,VM,,MONG CAI,,488380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488390-99999_fig2.png,488390,99999,1,HpAc,100497,19.4,55.7,34,[,135,769,5246,],0,11,15,20,31,[,141,25,],30,357,[,0,51,0,49,89,0,168,],205,256,20.133,107.717,56,1991,2020,VM,,BACH LONG VI,,488390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488400-99999_fig2.png,488400,99999,2,HpAc,101005,19.4,55.5,29,[,115,664,4240,],0,9,14,19,29,[,128,37,],33,306,[,0,45,0,42,78,0,142,],174,219,19.75,105.783,5,1993,2020,VM,,THANH HOA,,488400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488450-99999_fig2.png,488450,99999,1,HpAc,101000,19.4,55.5,34,[,115,915,4921,],1,12,18,25,36,[,158,49,],33,357,[,0,47,0,41,95,0,174,],208,269,18.737,105.671,5,1987,2020,VM,,VINH,,488450-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488460-99999_fig2.png,488460,99999,3,HpAc,100922,19.4,55.5,26,[,76,565,2868,],2,9,12,15,22,[,82,16,],20,212,[,0,29,0,25,56,0,102,],127,158,18.35,105.9,3,1999,2014,VM,,HA TINH,,488460-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488480-99999_fig2.png,488480,99999,1,HpAc,101006,19.4,55.5,34,[,61,928,4992,],1,13,19,25,36,[,159,38,],32,357,[,0,31,0,40,108,0,178,],220,287,17.483,106.6,8,1987,2020,VM,,DONG HOI,,488480-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488520-99999_fig2.png,488520,99999,2,HpAc,101223,19.4,55.4,29,[,27,817,4662,],0,8,15,22,31,[,168,58,],33,307,[,0,17,0,23,96,0,171,],208,266,16.402,107.703,15,1993,2020,VM,,PHUBAI,,488520-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488550-99999_fig2.png,488550,99999,1,__Ac,101240,19.4,55.4,34,[,3,984,5363,],2,12,19,26,36,[,187,42,],33,360,[,0,3,0,32,129,0,196,],268,324,16.044,108.199,10,1987,2020,VM,,DANANG INTL,,488550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488630-99999_fig2.png,488630,99999,3,__Ac,100936,19.4,55.5,20,[,1,617,3412,],3,7,10,14,19,[,106,26,],28,197,[,0,1,0,11,65,0,120,],157,186,15.133,108.783,9,2004,2020,VM,,QUANG NGAI,,488630-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/488660-99999_fig2.png,488660,99999,3,__Vt,92440,19.4,58.9,25,[,5,75,1203,],4,8,13,18,28,[,2,0,],24,244,[,0,5,0,66,171,0,2,],70,170,14.005,108.017,742,2000,2020,VM,,PLEIKU,,488660-99999_fig2.png
