URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/680020-99999_fig2.png,680020,99999,3,HpEv,83045,19.4,63.5,15,[,87,85,0,],0,0,0,0,0,[,0,0,],27,103,[,0,29,19,22,21,11,0,],36,0,-22.612,17.08,1699,2013,2020,WA,,EROS,,680020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680025-99999_fig2.png,680025,99999,2,HpAc,90788,19.4,59.7,12,[,100,491,559,],5,14,22,30,41,[,8,0,],8,287,[,0,35,3,71,111,36,31,],157,101,-17.633,24.167,958,2010,2020,WA,,KATIMA MULILO,,680025-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680040-99999_fig2.png,680040,99999,3,HpVt,85350,19.4,62.3,16,[,45,62,7,],1,1,4,6,7,[,1,0,],24,82,[,0,18,11,25,20,8,0,],29,1,-20.43,16.67,1475,2005,2019,WA,,OTJIWARONGO,,680040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680060-99999_fig2.png,680060,99999,3,HuEv,89283,19.4,60.4,19,[,14,313,73,],4,7,11,15,18,[,6,0,],23,144,[,0,7,11,34,46,39,6,],87,24,-17.878,15.953,1097,2008,2020,WA,,ONDANGWA,,680060-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680100-99999_fig2.png,680100,99999,3,HpEv,88929,19.4,60.5,22,[,20,216,17,],3,7,9,11,14,[,2,0,],7,100,[,0,12,13,14,27,31,2,],61,6,-19.183,15.917,1100,2016,2019,WA,,OKAUKUEJO,,680100-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680140-99999_fig2.png,680140,99999,2,HpEv,85798,19.4,62.1,31,[,210,274,30,],8,15,27,35,40,[,1,0,],24,346,[,0,73,20,136,82,34,2,],116,9,-19.602,18.123,1413,1987,2019,WA,,GROOTFONTEIN,,680140-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680180-99999_fig2.png,680180,99999,2,HpAc,89246,19.4,60.4,31,[,74,510,197,],6,14,25,36,45,[,4,0,],22,346,[,0,39,12,97,124,63,11,],171,74,-17.956,19.719,1106,1988,2019,WA,,RUNDU,,680180-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/680980-99999_fig2.png,680980,99999,3,HpVt,100504,19.4,55.7,18,[,392,37,7,],6,5,15,19,20,[,2,0,],23,200,[,0,122,1,64,9,3,1,],14,3,-22.98,14.645,91,2005,2020,WA,,WALVIS BAY,,680980-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681020-99999_fig2.png,681020,99999,3,HpVt,87293,19.4,61.3,12,[,33,24,1,],2,0,3,5,6,[,0,0,],13,51,[,0,13,6,19,11,3,0,],13,1,-20.114,16.154,1250,2005,2006,WA,,OUTJO,,681020-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681040-99999_fig2.png,681040,99999,3,HpVt,101302,19.4,55.4,17,[,927,18,25,],4,12,21,30,36,[,1,0,],16,346,[,0,265,0,68,10,2,1,],9,7,-22.883,14.433,0,1987,2002,WA,,WALVIS BAY (PELICAN POINT),,681040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681041-99999_fig2.png,681041,99999,2,HpEv,88655,19.4,60.7,14,[,258,576,21,],13,13,24,32,36,[,2,0,],5,272,[,0,67,35,42,49,76,4,],132,11,-24.605,17.925,1112,2006,2019,WA,,MARIENTAL,,681041-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/681060-99999_fig2.png,681060,99999,3,HpVt,96750,19.4,57.1,6,[,31,41,3,],0,0,3,4,4,[,3,0,],13,49,[,0,11,2,18,12,4,1,],17,1,-23.57,15.05,400,2005,2013,WA,,GOBABEB,,681060-99999_fig2.png
