URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/917350-99999_fig2.png,917350,99999,3,__Vt,99397,19.4,56.1,0,[,0,531,0,],0,0,0,0,0,[,0,0,],2,161,[,0,0,0,0,161,0,0,],160,161,-13.45,-172.4,121,2016,2017,WS,,LE PIU TAI,,917350-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917360-99999_fig2.png,917360,99999,3,__Vt,100691,19.4,55.6,2,[,0,402,0,],0,0,0,0,0,[,0,0,],2,122,[,0,0,0,0,122,0,0,],121,122,-13.75,-172.25,23,2016,2016,WS,,MAOTA INT,,917360-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917370-99999_fig2.png,917370,99999,1,____,97449,19.4,56.9,3,[,0,715,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],1,347,[,NaN,0,NaN,2,345,NaN,NaN,],335,346,-13.533,-172.717,236,2016,2016,WS,,MT TALU,,917370-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917380-99999_fig2.png,917380,99999,3,__Ac,100952,19.4,55.5,5,[,0,461,2646,],0,2,5,8,11,[,104,24,],3,121,[,0,0,0,0,14,6,101,],120,111,-13.833,-172,10,2016,2016,WS,,FALEOLO INT EAST,,917380-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917390-99999_fig2.png,917390,99999,3,__Ac,100935,19.4,55.5,3,[,0,389,2534,],1,5,9,12,16,[,65,0,],4,159,[,0,0,0,1,82,0,76,],158,159,-13.833,-172.017,10,2016,2017,WS,,FALEOLO INT WEST,,917390-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917400-99999_fig2.png,917400,99999,1,__Ac,100223,19.4,55.8,2,[,0,927,7103,],0,9,16,26,36,[,314,48,],1,337,[,0,0,0,0,31,0,306,],335,337,-13.85,-172.117,46,2016,2017,WS,,MANONO,,917400-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917410-99999_fig2.png,917410,99999,3,__Vt,100784,19.4,55.6,2,[,0,506,0,],0,0,0,0,0,[,0,0,],2,169,[,0,0,0,6,163,0,0,],168,151,-13.883,-171.6,48,2016,2017,WS,,LUFI-LUFI,,917410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917430-99999_fig2.png,917430,99999,3,__Vt,97828,19.4,56.7,0,[,0,63,0,],0,0,0,0,0,[,0,0,],2,122,[,0,0,0,1,121,0,0,],79,120,-13.95,-171.6,292,2016,2016,WS,,LE MAFA,,917430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917550-99999_fig2.png,917550,99999,1,____,98945,19.4,56.3,0,[,0,985,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],5,349,[,NaN,0,NaN,0,349,NaN,NaN,],348,349,-13.483,-172.767,200,1995,2000,WS,,AVATA,,917550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917560-99999_fig2.png,917560,99999,1,____,101290,19.4,55.4,0,[,0,903,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],8,359,[,NaN,0,NaN,0,359,NaN,NaN,],359,359,-13.817,-171.75,-1000,1999,2009,WS,,APIA WHARF,,917560-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917570-99999_fig2.png,917570,99999,1,____,101193,19.4,55.4,0,[,0,1012,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],6,350,[,NaN,NaN,NaN,NaN,NaN,NaN,NaN,],349,350,-13.6,-172.217,11,1995,2000,WS,,AVAVO,,917570-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917580-99999_fig2.png,917580,99999,2,____,101109,19.4,55.5,0,[,0,244,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],5,352,[,NaN,0,NaN,4,348,NaN,NaN,],166,351,-13.817,-171.983,18,1995,1999,WS,,FALEOLO ARPT,,917580-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917590-99999_fig2.png,917590,99999,2,__Ac,101260,19.4,55.4,24,[,0,780,4996,],1,7,13,19,25,[,207,1,],26,272,[,0,0,0,0,70,0,202,],270,272,-13.83,-172.008,18,1998,2020,WS,,FALEOLO INTL,,917590-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917620-99999_fig2.png,917620,99999,1,__Ac,101300,19.4,55.4,32,[,0,973,6145,],0,10,16,21,31,[,213,1,],18,321,[,0,0,0,0,68,0,253,],320,321,-13.8,-171.783,2,1987,2017,WS,,APIA/UPOLU ISLAND,,917620-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/917630-99999_fig2.png,917630,99999,1,____,100774,19.4,55.6,0,[,0,1121,NaN,],NaN,NaN,NaN,NaN,NaN,[,NaN,NaN,],5,345,[,NaN,NaN,NaN,NaN,NaN,NaN,NaN,],345,345,-14.05,-171.45,46,1995,1999,WS,,CAPE TAPAGA,,917630-99999_fig2.png
