URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/682990-99999_fig2.png,682990,99999,3,Hp__,88980,19.4,60.5,13,[,975,6,23,],4,13,19,29,32,[,1,0,],3,324,[,5,217,2,92,8,0,0,],6,4,-25.967,31.25,1099,2012,2020,WZ,,PIGGS PEAK,,682990-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683820-99999_fig2.png,683820,99999,3,HpVt,93825,19.4,58.3,7,[,659,27,56,],11,15,25,34,38,[,3,0,],4,316,[,3,163,5,121,21,1,2,],20,11,-27.162,31.439,701,2012,2018,WZ,,JERICHO,,683820-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683830-99999_fig2.png,683830,99999,2,HpAc,98570,19.4,56.4,9,[,122,158,301,],9,16,26,36,43,[,18,0,],3,333,[,0,66,1,164,86,4,12,],84,74,-26.957,31.955,207,2012,2014,WZ,,NDZEVANE,,683830-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683860-99999_fig2.png,683860,99999,2,HpAc,97871,19.4,56.7,8,[,164,167,530,],3,14,24,35,43,[,34,4,],4,323,[,0,79,1,135,91,3,15,],86,90,-26.115,31.45,320,2012,2016,WZ,,NYONYANE,,683860-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683900-99999_fig2.png,683900,99999,3,HpVt,96211,19.4,57.3,9,[,59,52,130,],0,5,8,12,15,[,8,0,],3,104,[,0,27,0,40,30,2,4,],25,28,-25.883,31.5,480,2018,2018,WZ,,MAYIWANNE,,683900-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683920-99999_fig2.png,683920,99999,3,Hp__,88729,19.4,60.6,8,[,173,4,15,],0,3,6,9,11,[,0,0,],7,87,[,0,49,0,30,8,0,0,],4,6,-27.05,31.1,1102,2017,2018,WZ,,NHLANGANO,,683920-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683923-99999_fig2.png,683923,99999,3,HpAc,97438,19.4,56.9,8,[,241,131,231,],6,12,19,26,33,[,12,1,],4,235,[,0,82,0,82,55,5,11,],60,51,-26.704,31.426,341,2013,2020,WZ,,MOTI,,683923-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683924-99999_fig2.png,683924,99999,3,HpVt,90355,19.4,59.9,6,[,278,27,79,],0,6,10,16,20,[,0,0,],2,175,[,0,88,0,58,27,2,0,],15,23,-26.722,30.912,956,2017,2017,WZ,,MUSI,,683924-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683925-99999_fig2.png,683925,99999,2,HpAc,98053,19.4,56.6,2,[,282,207,824,],6,14,23,32,39,[,28,0,],1,346,[,0,77,0,121,128,5,15,],104,128,-26.082,31.886,276,2012,2012,WZ,,VUVULANE,,683925-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683960-99999_fig2.png,683960,99999,2,HpAc,94589,19.4,58,30,[,120,269,576,],1,11,23,29,41,[,6,0,],22,324,[,0,62,1,127,100,10,24,],116,96,-26.529,31.308,633,1998,2017,WZ,,MATSAPHA,,683960-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683980-99999_fig2.png,683980,99999,3,HpVt,93695,19.4,58.4,14,[,191,42,275,],0,7,13,21,28,[,7,0,],6,221,[,0,74,1,84,58,1,3,],27,54,-26.433,31.95,667,2012,2020,WZ,,SITEKI,,683980-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/683990-99999_fig2.png,683990,99999,2,HpAc,100657,19.4,55.6,13,[,235,341,1130,],1,13,24,36,44,[,94,17,],3,333,[,1,79,0,109,95,1,48,],128,134,-26.85,31.917,94,2008,2016,WZ,,BIG BEND,,683990-99999_fig2.png
