URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/413410-99999_fig2.png,413410,99999,0,__Ac,79496,19.4,65.5,5,[,0,2341,8740,],8,22,25,28,42,[,208,78,],3,349,[,0,0,0,0,55,0,294,],349,348,16.083,43.167,2000,2009,2012,YM,,ABBS,,413410-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/413440-99999_fig2.png,413440,99999,2,HpEv,77638,19.4,66.7,6,[,220,149,0,],0,NaN,NaN,NaN,NaN,[,0,0,],3,325,[,0,89,28,125,70,14,0,],86,0,15.517,44.183,2190,1988,1990,YM,,SANA'A (CIV/MIL),,413440-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/413820-99999_fig2.png,413820,99999,3,__Ac,101121,19.4,55.5,13,[,0,442,1742,],0,3,4,5,7,[,45,27,],19,74,[,0,0,0,0,17,0,57,],74,74,13.25,43.283,3,2011,2014,YM,,MOKHA,,413820-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/413905-99999_fig2.png,413905,99999,3,__Ac,101121,19.4,55.5,7,[,0,364,1362,],0,4,5,6,10,[,40,11,],4,78,[,0,0,0,3,19,1,55,],76,71,14.65,49.367,17,2001,2001,YM,,RIYAN,,413905-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/413910-99999_fig2.png,413910,99999,3,HpVt,81893,19.4,64.1,12,[,23,26,12,],0,3,6,7,9,[,0,0,],15,88,[,0,16,0,48,23,1,0,],21,5,15.833,43.583,1760,2011,2014,YM,,HAJJAH,,413910-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/414040-99999_fig2.png,414040,99999,3,HpVt,78636,19.4,66,25,[,347,56,0,],0,NaN,NaN,NaN,NaN,[,0,0,],18,344,[,0,122,38,139,43,3,0,],48,0,15.476,44.22,2206,1993,2014,YM,,SANAA INTL,,414040-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/414050-99999_fig2.png,414050,99999,2,HpEv,80592,19.4,64.9,11,[,69,552,0,],5,NaN,40,44,44,[,0,0,],6,348,[,0,43,14,118,78,94,0,],174,0,16.967,43.733,1890,2007,2014,YM,,SAADA/SADAH,,414050-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/414070-99999_fig2.png,414070,99999,2,HuEv,89114,19.4,60.4,15,[,6,1405,32,],15,11,27,29,32,[,3,0,],13,205,[,0,4,8,21,23,142,7,],174,8,15.433,45.333,1070,2005,2014,YM,,MARIB,,414070-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/414310-99999_fig2.png,414310,99999,0,__Ac,100799,19.4,55.6,21,[,0,2043,8622,],1,14,20,25,36,[,243,151,],7,353,[,0,0,0,2,77,0,274,],346,351,14.753,42.976,12,2007,2014,YM,,HODEIDAH,,414310-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/414340-99999_fig2.png,414340,99999,3,Hp__,75768,19.4,67.9,13,[,632,0,0,],0,0,0,0,0,[,0,0,],7,303,[,0,200,14,89,0,0,0,],0,0,14.583,44.417,2425,2008,2014,YM,,DHAMAR,,414340-99999_fig2.png
