URL,WMOstn,WBANo,Acz,HVAC,meanPa,WBref,hBASE,dpy,[,avHDD,avCDD,avChD,],low,min,ave,max,best,[,WsD,YsD,],yrs,dys,[,Icy,Hea,Hum,Pas,Vtn,EvC,DX,],24Cd,67Fd,latitude,longitude,elev,base,stop,CC,ST,Placename,,psychrometric_chart_image
https://bioclimatic.github.io/predilection/psych/677550-99999_fig2.png,677550,99999,3,__Ac,94201,19.4,58.2,28,[,2,586,947,],1,9,17,21,33,[,25,0,],6,216,[,0,2,0,53,76,24,60,],154,108,-17.617,27.333,617,1993,1998,ZI,,BINGA,,677550-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/677610-99999_fig2.png,677610,99999,1,__Ac,95426,19.4,57.7,34,[,5,947,1703,],2,13,24,32,51,[,70,0,],15,335,[,0,6,0,85,109,36,98,],236,173,-16.52,28.885,520,1988,2014,ZI,,KARIBA INTL,,677610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/677650-99999_fig2.png,677650,99999,3,HpVt,86838,19.4,61.5,32,[,219,53,22,],6,16,22,30,34,[,0,0,],19,331,[,0,92,0,193,41,5,0,],33,15,-16.833,29.617,1344,1987,2014,ZI,,KAROI,,677650-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/677750-99999_fig2.png,677750,99999,3,HpVt,84794,19.4,62.6,34,[,358,22,2,],4,12,21,31,33,[,0,0,],30,350,[,0,122,2,205,20,1,0,],19,2,-17.93,31.094,1490,1987,2019,ZI,,ROBERT GABRIEL MUGABE INTL /,,677750-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/677790-99999_fig2.png,677790,99999,2,HpEv,90745,19.4,59.7,32,[,76,234,353,],2,13,23,31,43,[,0,0,],11,316,[,0,46,0,120,121,21,8,],114,86,-16.783,31.583,966,1988,2005,ZI,,MOUNT DARWIN,,677790-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/677810-99999_fig2.png,677810,99999,2,HpVt,87974,19.4,61,32,[,182,85,53,],4,12,22,31,38,[,0,0,],12,328,[,0,82,0,174,63,8,1,],53,28,-17.432,32.185,1204,1992,2017,ZI,,MUTOKO,,677810-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/678430-99999_fig2.png,678430,99999,2,HpAc,89555,19.4,60.2,32,[,125,365,305,],2,14,24,33,46,[,2,0,],16,326,[,0,51,3,107,116,34,14,],132,80,-18.096,25.839,1064,1987,2017,ZI,,VICTORIA FALLS INTL,,678430-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/678530-99999_fig2.png,678530,99999,2,HpEv,89590,19.4,60.2,31,[,210,206,126,],4,13,23,33,43,[,1,0,],15,327,[,0,79,3,119,101,23,2,],97,50,-18.63,27.021,1080,1988,2002,ZI,,HWANGE NATIONAL PARK,,678530-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/678610-99999_fig2.png,678610,99999,2,HpEv,87558,19.4,61.2,32,[,107,167,46,],6,13,23,31,39,[,0,0,],19,325,[,0,57,4,166,77,20,1,],82,25,-18.217,28.933,1282,1988,2017,ZI,,GOKWE,,678610-99999_fig2.png
https://bioclimatic.github.io/predilection/psych/678650-99999_fig2.png,678650,99999,2,HpEv,88259,19.4,60.8,32,[,114,222,132,],1,12,23,32,43,[,0,0,],5,322,[,0,58,3,133,101,24,3,],105,46,-18.933,29.833,1213,2005,2016,ZI,,KWEKWE,,678650-99999_fig2.png
